Original Signal,Approximation,D 1,D 2,D 3,D 4
-2.000000000000000042e-02,-2.061439371003925269e-01,-1.606559450176842374e-01,1.887633151153793598e-01,-6.981868557826105270e-01,-8.955405210390959825e-02
4.000000000000000222e-01,-1.629733041986428377e-01,-5.690485671076508239e-02,-1.047368647601797514e-01,-1.203493571008210417e+00,-7.140649035017436475e-02
9.100000000000000311e-01,-1.120479326803500847e-01,-5.203124180326083870e-02,-3.144873801802706703e-01,-1.415408908000714616e+00,-5.221115968490068482e-02
1.199999999999999956e+00,-5.685528503751094420e-02,1.113394584698798040e-01,-1.646626234983981640e-01,-1.285467932925339563e+00,-4.926376804737669923e-02
1.179999999999999938e+00,-1.301243256479709754e-03,-4.250384752523053006e-02,5.143147881993416493e-02,-8.151598269592932322e-01,-7.509993085369057186e-02
1.040000000000000036e+00,5.112332625872540587e-02,4.382623000534980467e-02,8.481420040341121000e-03,-1.030254042724754876e-01,-1.301851863323478242e-01
7.099999999999999645e-01,9.767314171520738442e-02,-1.948585455583867407e-02,-1.766438457222067326e-01,6.749351654870680006e-01,-2.022952642976705295e-01
3.400000000000000244e-01,1.365606817102979209e-01,-1.826385543668749556e-01,-2.120936467684708671e-01,1.292159806435066782e+00,-2.686659815193013223e-01
-3.099999999999999978e-01,1.669327471965957044e-01,2.560891751913675352e-01,1.255996823589359147e-03,1.543487516027526318e+00,-3.047117377958629691e-01
-1.280000000000000027e+00,1.889776241431933290e-01,-1.842204554629699870e-02,3.154018609951245167e-01,1.357952561656584178e+00,-2.957450641901007149e-01
-1.020000000000000018e+00,2.041201921090875782e-01,-9.584486251723389749e-02,4.345426998298320131e-01,8.059157878429621391e-01,-2.392114257726145332e-01
-6.600000000000000311e-01,2.146043146253558132e-01,-3.083674952886860873e-02,1.876631588714343657e-01,6.687766010625673108e-02,-1.406788044280613825e-01
2.999999999999999889e-02,2.226210703024917581e-01,4.794412165597466968e-02,-1.794952806587268856e-01,-6.474914805836008425e-01,-1.319732347669911980e-02
7.099999999999999645e-01,2.295184306132193042e-01,2.114682416013024743e-02,-2.782205359311258897e-01,-1.181207901563399831e+00,1.237431170056243063e-01
1.219999999999999973e+00,2.352571985282507494e-01,4.994934767955193367e-02,-1.106033446714408119e-01,-1.433096766282218715e+00,2.467314152490842905e-01
1.379999999999999893e+00,2.386176957921003206e-01,-8.390663469057578483e-02,3.774524033589461008e-02,-1.353736378735995505e+00,3.298770796382482495e-01
1.340000000000000080e+00,2.380917991576767534e-01,-1.309811526685367433e-01,5.438600662166084149e-02,-9.413601487506317866e-01,3.525742520632682564e-01
1.250000000000000000e+00,2.325213725368089346e-01,2.586540633941669109e-01,7.036093480027049568e-03,-2.535457555063905799e-01,3.116471338682623715e-01
9.399999999999999467e-01,2.214466560498186964e-01,-9.816110289453096327e-02,-1.173984356159234466e-01,5.509558722271297171e-01,2.229166257531114137e-01
3.300000000000000155e-01,2.052733738451597290e-01,-1.880828021817667478e-02,-2.982706198133271980e-01,1.240360000822247954e+00,1.131740661280633137e-01
-6.800000000000000488e-01,1.851500994920328436e-01,7.542666105306221162e-03,-2.207901669287501145e-01,1.586500051834130121e+00,1.154641026988510386e-02
-1.469999999999999973e+00,1.630451893231447125e-01,1.084682649269943545e-02,2.698943484865486964e-01,1.460335660097482835e+00,-5.938795543933638593e-02
