Original Signal,Approximation,D 1,D 2,D 3,D 4
-9.200000000000000400e-01,-7.490178407490928336e-01,2.578040036174134575e-01,1.257205604102299423e-01,9.799092705693177585e-01,-1.386017066516537525e-03
1.000000000000000056e-01,-6.697453561499420172e-01,-1.066392130905357560e-01,3.088352280595649813e-01,9.548008541857885279e-01,8.449102211527176332e-02
2.200000000000000011e-01,-5.782814836934391245e-01,-6.935402390277833895e-02,1.825913307062096980e-01,6.451530112558843122e-01,1.623663210504673049e-01
1.020000000000000018e+00,-4.762446106739097185e-01,6.893035699838115371e-02,-7.080247596192103254e-02,1.620731746105692206e-01,2.262044802228087848e-01
1.699999999999999956e+00,-3.654851052999290029e-01,-6.133144445494639191e-02,-2.214823449938294608e-01,-3.263140812240426514e-01,2.704226565749536793e-01
1.610000000000000098e+00,-2.481039079858832763e-01,1.992401695384821980e-01,-1.962435876350329400e-01,-6.586130873670502650e-01,2.890468090902430509e-01
1.120000000000000107e+00,-1.264825521434868594e-01,5.526888501895164084e-03,-3.934235777539984297e-02,-7.469072535636774868e-01,2.778824315320772009e-01
3.499999999999999778e-01,-2.881297927527472907e-03,-7.450277813660955983e-01,8.711132155530232346e-02,-5.879700401519694086e-01,2.378508993274802696e-01
-1.700000000000000122e-01,1.206290378265906099e-01,9.765858226920151042e-01,1.055850333351607689e-01,-2.492602800558915144e-01,1.753449084598894814e-01
-5.999999999999999778e-01,2.421514021867721134e-01,-3.956201856661846206e-01,1.150465310499577815e-01,1.577798720354735285e-01,1.019375734257417648e-01
-1.459999999999999964e+00,3.599145555937357521e-01,-5.690266825938236454e-03,9.489337190975696834e-02,5.134252402550200101e-01,3.217026333160568491e-02
-2.350000000000000089e+00,4.722104142259754278e-01,5.327513328887090865e-02,-5.051139168419651465e-02,7.170193386266626723e-01,-2.047641230917129559e-02
-2.620000000000000107e+00,5.775492021422183875e-01,-6.660603765478868843e-02,-1.705246020203441959e-01,7.071977615056557198e-01,-4.638245174050523167e-02
-1.459999999999999964e+00,6.747864017879319221e-01,-6.232042365412001142e-03,-6.627542479733702918e-02,4.746878465205592312e-01,-4.233970717377884968e-02
-1.459999999999999964e+00,7.632834432699314720e-01,-1.808459905461964196e-02,1.255267977969052040e-01,7.486337076629837051e-02,-1.387836214945717059e-02
-2.100000000000000089e+00,8.428459514187962576e-01,1.083503142502971056e-01,1.147280402236979246e-01,-3.821026139774692520e-01,2.600219817522291324e-02
-1.659999999999999920e+00,9.135473681871907337e-01,5.163242465013288818e-02,-6.955042673466085845e-02,-7.573438233990977819e-01,6.032051119889401264e-02
-5.999999999999999778e-01,9.754533732033280335e-01,-1.543519682912662672e-01,-1.325651036055812415e-01,-9.230037379400963804e-01,7.134308456621119010e-02
-2.999999999999999889e-02,1.028365746816194859e+00,-1.125259657354835963e-01,-1.097298107416883051e-02,-8.114704285245295523e-01,4.460614393974088321e-02
-3.099999999999999978e-01,1.071815062546867869e+00,1.274763736111327039e-01,5.106727744640332523e-02,-4.457608308115160733e-01,-2.714465166039827307e-02
1.000000000000000056e-01,1.104955898920290780e+00,3.711783049638175958e-01,-5.935241049050600515e-02,5.615059935525357204e-02,-1.418540303803279001e-01
1.020000000000000018e+00,1.126757884844594271e+00,-4.060209200035391208e-01,-1.219116732518199381e-01,5.271607490707709287e-01,-2.861771280360594361e-01
9.100000000000000311e-01,1.136388924761169816e+00,-2.309465049854169116e-01,3.799600315965982050e-02,8.094931772097025968e-01,-4.362932825979199403e-01
2.200000000000000011e-01,1.133368718851794243e+00,3.582198503793650457e-01,2.247870068134313337e-01,8.132662805631262204e-01,-5.646207910722894630e-01
