Original Signal,Approximation,D 1,D 2,D 3,D 4
-1.000000000000000056e-01,4.781470719790765767e-01,-1.524511446317242391e-01,5.081124847040154047e-02,-5.248837790661384783e-01,5.685824835072128547e-01
-8.599999999999999867e-01,4.972806637593332746e-01,6.257769532145224245e-02,-5.675237088175071332e-01,-7.288741760744363862e-01,6.110714992639323384e-01
-2.500000000000000000e-01,5.157067187962327548e-01,-1.787116873896906488e-01,-4.327626226439315604e-01,-7.962570903526760002e-01,6.008248802331416227e-01
-2.500000000000000000e-01,5.314882695638244448e-01,3.935004347460578367e-01,4.131495516788185607e-01,-6.938607285824187620e-01,5.391858249571481743e-01
5.500000000000000444e-01,5.434281766611481768e-01,-6.300880719424156728e-01,4.847146023693967298e-01,-3.958738802319401451e-01,4.284525040609216129e-01
1.439999999999999947e+00,5.513022060524805923e-01,5.231750005209985233e-01,-4.228575989372326815e-01,4.938996036458548171e-03,2.741528194597799284e-01
1.239999999999999991e+00,5.563640101164979423e-01,5.561037018149675437e-02,-6.071457851579357134e-01,4.337808845250759049e-01,9.293214824309976863e-02
1.500000000000000000e+00,5.598921319857261825e-01,-2.958251889092685660e-01,1.323685169945724438e-01,7.528509166335995983e-01,-8.468692387653559139e-02
1.280000000000000027e+00,5.622351141470059988e-01,-1.043131899649957783e-01,4.202422133594016507e-01,8.269220488351758380e-01,-2.313722164631249745e-01
-2.500000000000000000e-01,5.638439080265518211e-01,3.781365315424907170e-01,2.661892548644841372e-01,6.816107290059171264e-01,-3.366921659963201252e-01
-6.199999999999999956e-01,5.653601027472121565e-01,-2.743886679612136392e-01,2.738058794632686754e-01,4.054216803129003233e-01,-4.041767047180044869e-01
5.200000000000000178e-01,5.678950492929329963e-01,1.419011360555272050e-01,1.263978517813349189e-01,1.103939288641982430e-01,-4.434397068038563039e-01
-1.700000000000000122e-01,5.731184748436807253e-01,2.545044991068316775e-02,-2.409302293388191629e-01,-1.261090253449318466e-01,-4.583256193849750137e-01
3.499999999999999778e-01,5.814748190412256657e-01,-2.445759930052278930e-01,-4.811966475967165424e-01,-3.252423500006321744e-01,-4.433999816627642865e-01
-2.500000000000000000e-01,5.916725522982237973e-01,3.115209412063444927e-01,-4.860615630462605807e-01,-5.341855714506795749e-01,-3.964744611275712316e-01
8.000000000000000167e-02,6.019292452254482173e-01,-3.392628963285988092e-02,-5.277718519773640093e-02,-7.188117043420007013e-01,-3.269598514403431189e-01
6.099999999999999867e-01,6.106293783483066617e-01,-4.278275559498608827e-01,5.869180008223420231e-01,-7.603289508937454144e-01,-2.485268510395988451e-01
9.799999999999999822e-01,6.172737143307180929e-01,3.260798068789690918e-01,5.180322895118929516e-01,-5.661449942382501543e-01,-1.688362541590985311e-01
1.610000000000000098e+00,6.229693777721766468e-01,3.546747874629750941e-01,-2.264173748052664414e-01,-1.250003074202779840e-01,-8.533383205628461421e-02
1.889999999999999902e+00,6.288518167775274392e-01,-5.974998585164502662e-01,-5.160365325523009750e-01,4.115948838623164630e-01,1.105749322215290702e-02
4.600000000000000200e-01,6.354284626524464574e-01,3.323070782418448554e-01,-6.435087674883892273e-02,7.910007520780908408e-01,1.211431608786945197e-01
