Original Signal,Approximation,D 1,D 2,D 3,D 4
-2.000000000000000111e-01,-4.314070826323956193e-02,-3.147064455514172326e-02,2.439141244428828237e-01,-1.062139404221337902e+00,-2.118370710110291100e-01
-4.000000000000000083e-02,-5.824351123539888569e-03,3.833682716111847660e-02,-1.330040916053839596e-02,-1.000411004096513290e+00,-2.932515150955407601e-01
3.300000000000000155e-01,3.570824031052777930e-02,-4.558658218572383264e-02,-2.871910414668321643e-01,-6.664541040371579905e-01,-3.869354940970764489e-01
6.999999999999999556e-01,7.921817343075893136e-02,6.614339814727714095e-02,-3.920968413720847257e-01,-1.471046103813865580e-01,-4.810303894080239506e-01
9.599999999999999645e-01,1.228527914279247679e-01,-5.953525347456884581e-02,-3.131190948372343241e-01,4.119525300849213867e-01,-5.540695496934918696e-01
1.199999999999999956e+00,1.647154913640088980e-01,6.384328530819098624e-02,2.142001712937611872e-04,8.678014920495615847e-01,-5.808692075137980027e-01
1.229999999999999982e+00,2.039393100239234868e-01,-1.285916788738771521e-01,4.276350043884138419e-01,1.127423561182142375e+00,-5.371854158001553303e-01
1.020000000000000018e+00,2.405356990737833323e-01,1.062765509237140610e-01,4.767060899461098566e-01,1.131507111720400527e+00,-4.160631894504153716e-01
5.500000000000000444e-01,2.747546939703442437e-01,8.969632719651288166e-03,2.116358673976304061e-02,8.793468597016098620e-01,-2.292203537591558093e-01
-3.400000000000000244e-01,3.073558762759929786e-01,-1.426313260998729807e-02,-3.090222847370865944e-01,3.819459504215035883e-01,8.551696262555910297e-03
-7.099999999999999645e-01,3.387911549636634101e-01,-2.658929168711014757e-02,-1.334458155212885910e-01,-3.402209427972558986e-01,2.759405654945658037e-01
-3.900000000000000133e-01,3.684406018616767087e-01,-1.347342356278265554e-02,1.293355007699435455e-01,-1.122832213664442635e+00,5.378269806067693670e-01
-2.000000000000000111e-01,3.953779528385207298e-01,3.261767701507559819e-02,1.120825468141638248e-01,-1.720346616959730568e+00,7.541100959353398414e-01
1.300000000000000044e-01,4.182603204386154405e-01,1.494779908047355740e-03,-1.744917752098634409e-02,-1.868855181723322545e+00,8.849006910665996317e-01
