sl.no,spi
1,-0.16
2,-0.14
3,0.21
4,0.51
5,0.92
6,1.21
7,1.29
8,0.96
9,0.38
10,-0.71
11,-0.92
12,-0.60
13,-0.44
14,-0.29
15,-0.06
16,0.46
17,1.03
18,1.53
19,1.46
20,1.07
21,0.14
22,-0.56
23,-1.16
24,-0.92
25,-0.92
26,-0.65
27,-0.65
28,0.24
29,0.71
30,1.11
31,1.15
32,0.96
33,0.46
34,-0.18
35,-0.84
36,-0.71
37,-0.92
38,-0.92
39,-0.71
40,0.38
41,1.17
42,1.59
43,1.47
44,0.95
45,0.14
46,-0.52
47,-0.52
48,-0.44
49,-0.44
50,-1.16
51,-0.77
52,-0.02
53,0.72
54,1.18
55,1.28
56,1.05
57,0.46
58,-0.14
59,-0.77
60,-0.52
61,-0.44
62,-0.41
63,-0.56
64,0.42
65,1.00
66,1.36
67,1.22
68,0.82
69,0.38
70,0.00
71,-0.31
72,-1.02
73,-0.92
74,-0.92
75,-0.56
76,-0.21
77,0.54
78,0.83
79,0.89
80,0.53
81,0.18
82,-0.21
83,-0.52
84,-0.84
85,-0.84
86,-0.56
87,-0.29
88,0.37
89,0.82
90,1.17
91,1.15
92,0.83
93,0.20
94,-0.77
95,0.21
96,0.16
97,-1.37
98,-1.37
99,-0.60
100,0.35
101,0.91
102,1.28
103,1.23
104,0.84
105,0.15
106,-1.02
107,-0.78
108,-0.77
109,-0.44
110,-0.16
111,0.27
112,0.61
113,1.03
114,1.26
115,1.29
116,1.11
117,0.71
118,0.24
119,-0.41
120,0.04
121,-0.12
122,-0.27
123,-0.42
124,-0.08
125,0.79
126,1.28
127,1.33
128,0.95
129,0.38
130,-0.14
131,-0.41
132,-0.71
133,-0.92
134,-0.84
135,-0.31
136,0.21
137,0.89
138,1.25
139,1.31
140,0.89
141,0.23
142,-0.60
143,-1.16
144,-1.37
145,-1.37
146,-0.71
147,-0.29
148,0.44
149,1.04
150,1.37
151,1.38
152,1.03
153,0.47
154,-0.23
155,-1.16
156,-1.37
157,-1.37
158,-1.16
159,-0.77
160,0.38
161,1.31
162,1.72
163,1.71
164,1.19
165,0.56
166,-0.14
167,-0.52
168,-0.48
169,-0.34
170,-0.56
171,0.07
172,0.28
173,0.94
174,1.15
175,1.32
176,1.08
177,0.74
178,0.24
179,-0.31
180,-0.92
181,-0.77
182,-0.92
183,-0.71
184,0.14
185,0.92
186,1.29
187,1.22
188,0.74
189,0.04
190,-0.52
191,-0.71
192,-0.77
193,-0.56
194,-0.29
195,-0.23
196,0.15
197,0.71
198,1.35
199,1.39
200,1.01
201,0.15
202,-0.31
203,-0.18
204,-0.29
205,-0.37
206,-0.60
207,-0.44
208,0.31
209,0.83
210,1.13
211,1.11
212,0.96
213,0.67
214,0.24
215,-0.44
216,0.76
217,0.83
218,0.91
219,-0.31
220,0.38
221,0.84
222,1.28
223,1.30
224,1.09
225,0.37
226,-0.44
227,-1.37
228,-0.84
229,-0.84
230,-0.71
231,-0.48
232,0.36
233,0.78
234,1.00
235,0.87
236,0.50
237,-0.04
238,-0.92
239,0.50
240,0.59
241,-0.65
242,-0.44
243,-0.10
244,0.44
245,1.26
246,1.54
247,1.47
248,0.85
249,0.24
250,-0.34
251,-0.48
252,-0.71
253,-0.56
254,-0.84
255,-0.37
256,0.11
257,0.62
258,0.98
259,1.00
260,0.72
261,0.11
262,-0.60
263,-1.37
264,-1.16
265,-0.71
266,-0.71
267,-0.56
268,0.41
269,1.04
270,1.47
271,1.47
272,1.34
273,0.82
274,0.36
275,-0.48
276,-0.48
277,-0.71
278,-0.60
279,-0.41
280,0.28
281,0.89
282,1.36
283,1.31
284,1.00
285,0.27
286,-0.23
287,-0.77
288,-0.71
289,-0.60
290,-0.77
291,-0.48
292,0.27
293,1.00
294,1.27
295,1.41
296,1.13
297,0.77
298,0.11
299,-0.92
300,-1.02
301,-0.71
302,-0.44
303,-0.04
304,0.32
305,0.97
306,1.40
307,1.49
308,1.07
309,0.37
310,-0.60
311,-0.92
312,-0.71
313,-0.71
314,-0.60
315,-0.60
316,0.39
317,0.80
318,1.20
319,1.34
320,1.15
321,0.71
322,-0.31
323,-0.65
324,-0.56
325,-0.34
326,-0.34
327,-0.23
328,0.58
329,1.09
330,1.48
331,1.55
332,1.19
333,0.62
334,-0.84
335,-5.86
336,-5.86
337,-5.86
338,-1.37
339,-0.52
340,-0.08
341,1.02
342,1.30
343,1.35
344,0.78
345,0.27
346,-0.14
347,-0.77
348,-1.37
349,-1.37
350,-1.37
351,-0.34
352,0.42
353,0.99
354,1.26
355,1.25
356,0.93
357,0.47
358,0.02
359,-0.41
360,-0.44
361,-0.92
362,-0.37
363,-0.10
364,0.38
365,0.88
366,1.23
367,1.46
368,1.09
369,0.54
370,-1.02
371,-0.65
372,-0.65
373,-0.77
374,-0.60
375,-0.44
376,0.39
377,1.13
378,1.60
379,1.59
380,1.09
381,0.50
382,-0.16
383,-0.37
384,-1.16
385,-1.16
386,-0.41
387,-0.34
388,0.45
389,0.93
390,1.24
391,1.20
392,1.16
393,0.80
394,0.41
395,0.91
396,-0.92
397,-0.65
398,-0.56
399,-0.21
400,0.14
401,1.01
402,1.29
403,1.47
404,1.00
405,0.51
406,-0.34
407,-0.84
408,-0.84
409,-0.84
410,-0.56
411,-0.41
412,0.39
413,0.92
414,1.36
415,1.38
416,0.99
417,0.35
418,-0.71
419,-0.92
420,-1.02
421,-1.16
422,-0.92
423,-0.65
424,-0.04
425,0.59
426,1.03
427,1.19
428,1.04
429,0.56
430,-0.08
431,-1.16
432,-1.37
433,-0.77
434,-0.77
435,-0.65
436,0.11
437,0.95
438,1.28
439,1.29
440,0.87
441,0.37
442,-0.21
443,-1.37
444,-5.86
445,-5.86
446,-0.71
447,-0.37
448,0.12
449,0.79
450,1.22
451,1.28
452,0.89
453,0.18
454,-0.16
455,-0.41
456,-0.31
457,-0.77
458,-0.65
459,-0.34
460,-0.04
461,0.76
462,1.28
463,1.52
464,1.24
465,0.60
466,-0.26
467,-1.37
468,-0.44
469,-0.21
470,-0.10
471,-0.23
472,0.66
473,0.87
474,1.34
475,1.04
476,0.98
477,0.23
478,-0.18
479,0.62
480,0.66
481,0.70
482,-1.23
483,-0.36
484,0.22
485,0.84
486,0.98
487,1.13
488,0.71
489,0.48
490,-0.17
