Original Signal,Approximation,D 1,D 2,D 3,D 4
-1.540000000000000036e+00,-3.994073034975205716e-01,1.237894769509493148e-01,4.328206828311786936e-01,9.097842241582021483e-01,7.568609643295880207e-02
-1.540000000000000036e+00,-3.356916275745887024e-01,-2.959810318110698071e-02,1.531908943090978248e-01,3.033805261824601973e-01,1.500122385289283655e-01
-1.199999999999999956e+00,-2.652928379010134896e-01,7.926829790081892091e-02,-2.332091091745523981e-01,-3.122896646972529999e-01,2.158152204955048892e-01
1.499999999999999944e-01,-1.894374948520565483e-01,-1.495234763356824599e-02,-5.303509844081930602e-01,-7.126868389782397006e-01,2.662501355386470703e-01
1.199999999999999956e+00,-1.091105248550051920e-01,-7.610230526135487727e-02,-5.076911324739643572e-01,-8.194925254463174547e-01,2.938586913662445954e-01
1.199999999999999956e+00,-2.548776049882026801e-02,1.298616865605076443e-01,-3.505147221556480924e-02,-6.809273144393374055e-01,2.882213538986128087e-01
1.330000000000000071e+00,5.975009778044407249e-02,2.271021892166486672e-02,5.582079164370791213e-01,-3.993627242467039928e-01,2.444668421494958499e-01
1.330000000000000071e+00,1.447583490626383751e-01,-4.836385831293797399e-01,6.214077556243029488e-01,-6.292751380077817036e-02,1.712816568495444947e-01
1.199999999999999956e+00,2.277636562867729197e-01,5.184528970371756751e-01,8.419018534175617963e-02,2.745597953432594718e-01,8.558719758427413282e-02
3.300000000000000155e-01,3.073955655941073561e-01,-1.108718365020608804e-01,-3.895909036287275584e-01,5.629907059657913715e-01,5.332986582289681379e-03
-1.209999999999999964e+00,3.827833999587268998e-01,8.432118971354250758e-02,-3.825423694989182888e-01,7.324179333637731437e-01,-5.612456560657838600e-02
-2.439999999999999947e+00,4.532775681119131650e-01,-8.936809773547602087e-02,-1.240433576302032020e-01,7.108699984265671734e-01,-9.389214426677187919e-02
-1.209999999999999964e+00,5.182391927246955410e-01,-1.993430922355249046e-01,9.365983521600400319e-02,4.636181084337203107e-01,-1.072429607555440562e-01
-6.600000000000000311e-01,5.771484599116923908e-01,1.527254805184836695e-01,2.434810359910785926e-01,3.163725556481945117e-02,-9.539342182581993235e-02
-9.200000000000000400e-01,6.296839087971730642e-01,7.294420510773341748e-02,2.933188212966255648e-01,-4.712711959534991446e-01,-6.361936420163777361e-02
-2.439999999999999947e+00,6.757719814752033427e-01,7.788943316304806908e-02,8.612239523117297402e-02,-8.876410550073139394e-01,-2.792672971594438794e-02
-1.199999999999999956e+00,7.157111218057172763e-01,-1.033477046540895450e-01,-3.229090541015693372e-01,-1.056636069950724011e+00,-9.028334180910852977e-03
-9.200000000000000400e-01,7.496741598391575279e-01,-2.359840097489008803e-01,-5.042264082535186098e-01,-8.913405829860120422e-01,-2.346439598360211889e-02
