sl.no.,rainfall,spi_6
1,232.03,-0.02
2,237.30,0.40
3,321.68,0.91
4,268.95,1.20
5,42.19,1.18
6,5.27,1.04
7,0.00,0.71
8,10.55,0.34
9,31.64,-0.31
10,26.37,-1.28
11,89.65,-1.02
12,89.65,-0.66
13,247.85,0.03
14,384.96,0.71
15,411.33,1.22
16,158.20,1.38
17,58.01,1.34
18,15.82,1.25
19,0.00,0.94
20,0.00,0.33
21,10.55,-0.68
22,5.27,-1.47
23,10.55,-1.95
24,42.19,-1.65
25,216.21,-0.54
26,253.12,0.12
27,268.95,0.59
28,179.30,0.85
29,126.56,1.01
30,0.00,0.96
31,10.55,0.66
32,5.27,0.22
33,15.82,-0.37
34,0.00,-1.04
35,42.19,-1.60
36,47.46,-1.25
37,216.21,-0.40
38,369.14,0.41
39,263.67,0.81
40,116.02,0.97
41,36.91,0.96
42,0.00,0.90
43,0.00,0.57
44,68.55,0.00
45,5.27,-0.74
46,0.00,-1.31
47,0.00,-1.60
48,10.55,-1.51
49,100.20,-0.92
50,290.04,-0.19
51,305.86,0.44
52,210.94,0.78
53,137.11,0.97
54,5.27,0.96
55,0.00,0.82
56,26.37,0.40
57,21.09,-0.20
58,0.00,-0.89
59,26.37,-1.55
60,10.55,-1.51
61,263.67,-0.34
62,300.59,0.29
63,353.32,0.83
64,126.56,1.01
65,58.01,1.05
66,79.10,1.14
67,0.00,0.78
68,5.27,0.29
69,0.00,-0.59
70,5.27,-1.10
71,5.27,-1.43
72,36.91,-1.82
73,84.38,-1.15
74,205.66,-0.37
75,226.76,0.17
76,100.20,0.35
77,63.28,0.46
78,63.28,0.50
79,5.27,0.36
80,0.00,-0.06
81,15.82,-0.66
82,5.27,-1.07
83,21.09,-1.31
84,52.73,-1.39
85,147.66,-0.68
86,226.76,-0.03
87,232.03,0.40
88,152.93,0.65
89,31.64,0.67
90,5.27,0.59
91,0.00,0.34
92,0.00,-0.15
93,0.00,-0.89
94,15.82,-1.82
95,5.27,-2.22
96,36.91,-1.76
97,221.48,-0.55
98,268.95,0.14
99,337.50,0.73
100,216.21,1.01
101,10.55,1.02
102,0.00,0.97
103,5.27,0.66
104,0.00,0.18
105,42.19,-0.57
106,31.64,-1.47
107,21.09,-1.39
108,226.76,-0.40
109,232.03,0.15
110,274.22,0.64
111,400.78,1.14
112,221.48,1.37
113,195.12,1.56
114,47.46,1.36
115,0.00,1.08
116,0.00,0.70
117,0.00,-0.05
118,5.27,-0.66
119,0.00,-1.82
120,0.00,-3.01
121,147.66,-1.07
122,337.50,0.01
123,284.77,0.56
124,174.02,0.82
125,58.01,0.90
126,52.73,0.97
127,5.27,0.77
128,5.27,0.20
129,0.00,-0.50
130,0.00,-1.25
131,10.55,-1.60
132,63.28,-1.51
133,142.38,-0.76
134,311.13,0.09
135,358.59,0.73
136,131.84,0.92
137,31.64,0.95
138,26.37,0.90
139,0.00,0.69
140,0.00,0.14
141,5.27,-0.87
142,5.27,-1.65
143,31.64,-1.65
144,58.01,-1.39
145,200.39,-0.49
146,337.50,0.32
147,268.95,0.75
148,221.48,1.06
149,110.74,1.16
150,0.00,1.08
151,0.00,0.81
152,0.00,0.24
153,5.27,-0.37
154,0.00,-1.28
155,10.55,-2.49
156,79.10,-1.43
157,179.30,-0.57
158,522.07,0.59
159,316.41,1.04
160,200.39,1.29
161,89.65,1.38
162,10.55,1.30
163,0.00,1.08
164,52.73,0.37
165,10.55,-0.30
166,21.09,-0.92
167,10.55,-1.35
168,110.74,-0.83
169,126.56,-0.39
170,390.23,0.37
171,242.58,0.75
172,221.48,1.03
173,126.56,1.18
174,36.91,1.09
175,0.00,0.92
176,10.55,0.32
177,10.55,-0.19
178,5.27,-0.89
179,15.82,-1.55
180,10.55,-1.82
181,152.93,-0.83
182,290.04,0.00
183,279.49,0.52
184,121.29,0.71
185,58.01,0.77
186,15.82,0.78
187,0.00,0.54
188,15.82,0.01
189,0.00,-0.80
190,31.64,-1.25
191,89.65,-1.07
192,15.82,-1.07
193,94.92,-0.66
194,284.77,0.07
195,348.05,0.70
196,137.11,0.85
197,15.82,0.75
198,42.19,0.79
199,31.64,0.69
200,15.82,0.22
201,15.82,-0.63
202,10.55,-1.18
203,10.55,-1.22
204,21.09,-1.35
205,184.57,-0.63
206,274.22,0.07
207,200.39,0.43
208,168.75,0.69
209,184.57,0.94
210,73.83,1.01
211,0.00,0.75
212,0.00,0.30
213,0.00,-0.13
214,0.00,-0.63
215,0.00,-1.60
216,58.01,-1.76
217,179.30,-0.70
218,158.20,-0.21
219,500.98,0.75
220,184.57,1.01
221,58.01,1.08
222,0.00,1.01
223,0.00,0.75
224,0.00,0.50
225,36.91,-0.55
226,0.00,-1.43
227,10.55,-1.88
228,47.46,-1.43
229,284.77,-0.26
230,221.48,0.24
231,268.95,0.65
232,105.47,0.81
233,15.82,0.82
234,0.00,0.75
235,0.00,0.27
236,0.00,-0.23
237,0.00,-1.25
238,21.09,-2.03
239,31.64,-1.82
240,58.01,-1.31
241,210.94,-0.42
242,348.05,0.37
243,348.05,0.92
244,131.84,1.07
245,52.73,1.10
246,42.19,1.08
247,0.00,0.79
248,31.64,0.26
249,0.00,-0.63
250,15.82,-1.13
251,21.09,-1.31
252,31.64,-1.39
253,163.48,-0.61
254,184.57,-0.16
255,284.77,0.43
256,84.38,0.55
257,26.37,0.56
258,0.00,0.50
259,0.00,0.20
260,0.00,-0.21
261,10.55,-1.25
262,26.37,-1.70
263,15.82,-1.82
264,10.55,-1.70
265,121.29,-0.92
266,411.33,0.23
267,363.87,0.82
268,237.30,1.11
269,226.76,1.36
270,0.00,1.35
271,47.46,1.27
272,47.46,0.79
273,0.00,0.16
274,5.27,-0.40
275,36.91,-1.15
276,21.09,-1.04
277,232.03,-0.36
278,342.77,0.32
279,263.67,0.75
280,221.48,1.06
281,79.10,1.11
282,0.00,1.08
283,0.00,0.76
284,42.19,0.26
285,5.27,-0.34
286,10.55,-1.15
287,15.82,-1.60
288,52.73,-1.22
289,163.48,-0.52
290,342.77,0.22
291,242.58,0.64
292,332.23,1.10
293,195.12,1.32
294,5.27,1.26
295,5.27,1.06
296,0.00,0.56
297,0.00,0.12
298,31.64,-0.70
299,63.28,-1.35
300,68.55,-0.99
301,105.47,-0.59
302,374.41,0.33
303,369.14,0.91
304,263.67,1.21
305,10.55,1.15
306,42.19,1.12
307,0.00,0.98
308,0.00,0.40
309,21.09,-0.37
310,0.00,-1.60
311,10.55,-1.60
312,26.37,-1.76
313,342.77,-0.20
314,210.94,0.27
315,284.77,0.71
316,237.30,1.05
317,68.55,1.12
318,21.09,1.12
319,0.00,0.63
320,15.82,0.30
321,26.37,-0.28
322,58.01,-0.89
323,21.09,-1.13
324,21.09,-1.13
325,253.12,-0.21
326,305.86,0.40
327,268.95,0.79
