Original Signal,Approximation,D 1,D 2,D 3,D 4
-8.000000000000000167e-02,2.850665377071557871e-01,-1.701221122290163812e-01,-2.371409698416473630e-02,-9.530060887065332498e-01,2.034897141297035694e-01
-9.200000000000000400e-01,3.148394327918023206e-01,-2.018500922222345520e-02,-4.794898555966228271e-01,-6.655747237124828297e-01,2.460137233241130872e-01
2.200000000000000011e-01,3.463897822132964155e-01,-1.824896910645663062e-01,-4.761576822560135147e-01,-2.271842207494441657e-01,2.607213760937465152e-01
-2.000000000000000042e-02,3.765884671740206691e-01,3.624889156404152435e-01,1.135638406965645830e-01,2.174168776349816867e-01,2.427440128731730151e-01
4.799999999999999822e-01,4.028077020413836640e-01,-4.832808002560204375e-01,2.986190698128133314e-01,5.550270569800700438e-01,1.898829689414543997e-01
9.200000000000000400e-01,4.238070422153800143e-01,4.248170493086086963e-01,-1.119992037494940695e-01,7.562082835612173870e-01,1.025132839004493646e-01
1.260000000000000009e+00,4.394719080341301098e-01,-6.146149854076917579e-02,-1.217356373524149521e-01,8.261571587313206733e-01,-4.260862612942882023e-03
1.370000000000000107e+00,4.503580228748434999e-01,-1.002314325104316090e-01,1.974398558021711048e-01,7.306505308142712263e-01,-1.062257466477416340e-01
1.169999999999999929e+00,4.574002351942383360e-01,-2.308339449024077450e-01,8.426401738312010170e-02,4.615410550007559842e-01,-1.862187650736090716e-01
-2.200000000000000011e-01,4.614226845251416798e-01,5.488750548051383182e-01,-2.125400627236726306e-02,5.369332566941246998e-02,-2.359162839285277313e-01
1.199999999999999956e+00,4.633535952516489309e-01,-4.412280555464078713e-01,2.468387532260483685e-01,-4.158531117903269125e-01,-2.573489131008586672e-01
-9.200000000000000400e-01,4.643614721680394686e-01,1.255940841873655067e-01,1.988294447191761016e-01,-7.724634003180755881e-01,-2.610203742457116172e-01
-5.200000000000000178e-01,4.649507557068061625e-01,2.515037660795987895e-02,-2.615256616777523746e-01,-8.947763746886705505e-01,-2.516069424457396675e-01
-3.099999999999999978e-01,4.646096409063639743e-01,1.857634843281551901e-02,-4.552206460710015445e-01,-7.800336508304129834e-01,-2.273337953356630858e-01
-3.099999999999999978e-01,4.619580163608098533e-01,1.294087624607270087e-02,-1.957681992823099848e-01,-4.630995857612363875e-01,-1.906743067253939827e-01
-8.000000000000000167e-02,4.549945702858664842e-01,-8.913768583309501781e-02,1.778552965167363997e-01,-6.824895736569921989e-02,-1.467513481272980369e-01
2.600000000000000089e-01,4.425442935526834876e-01,-1.966582362040072141e-01,3.237331507963334687e-01,3.016248770292209724e-01,-1.023732475286342480e-01
9.799999999999999822e-01,4.251234824954953084e-01,7.908739580089724219e-01,1.973017280245531746e-01,6.199316070040598037e-01,-6.362837717093036694e-02
1.540000000000000036e+00,4.042384113698595516e-01,-1.053118762627175631e+00,-2.476793802344587000e-02,8.081909643781481911e-01,-2.537278146641439025e-02
1.850000000000000089e+00,3.819995589747652298e-01,6.390237009430729254e-01,-2.867211694176043935e-01,7.981787814889604871e-01,2.304687971983609279e-02
