Original Signal,Approximation,D 1,D 2,D 3,D 4
7.299999999999999822e-01,2.094236237360212471e-01,4.572949935491662510e-01,1.754496224567247686e-01,3.326648642615734897e-01,5.261729871008192366e-02
3.800000000000000044e-01,2.408657436615137815e-01,-2.759911252945176918e-01,-2.494374907022784971e-01,-8.310936330855060727e-02,5.846894951183811973e-02
9.200000000000000400e-01,2.724159377104911628e-01,-6.988084034247776799e-03,-4.371127471820533406e-01,-3.833216215214522160e-01,4.956452059766357915e-02
9.100000000000000311e-01,3.040103532743232417e-01,2.683834241687601541e-01,-3.093673398994414847e-01,-4.867057622465034150e-01,3.144739347539550478e-02
6.600000000000000311e-01,3.354324895965617448e-01,-3.760691775853654550e-01,-2.713973817301364860e-02,-3.801945126043674850e-01,7.761854082684394376e-03
9.000000000000000222e-01,3.659526252550231451e-01,3.447848426340925643e-02,3.270836294205677341e-01,-1.313297337911258078e-01,-1.870693406593424216e-02
1.120000000000000107e+00,3.946559809403885066e-01,3.393952345289720229e-01,5.013569199149152666e-01,1.120555238494591460e-01,-4.245301860209434869e-02
6.600000000000000311e-01,4.208800038987484116e-01,-2.006684425380084180e-01,1.652278406566154989e-01,2.945744346678262349e-01,-5.815422478232673553e-02
1.120000000000000107e+00,4.440960859167513708e-01,-1.658838278517069109e-01,-3.343673446958725926e-01,3.757896386525410026e-01,-5.948804421004436765e-02
1.120000000000000107e+00,4.642952692372448453e-01,3.005708136237204009e-01,-3.453749180629747118e-01,3.238623406025520346e-01,-4.275614644963647570e-02
3.800000000000000044e-01,4.816482594783437210e-01,-1.514387465360118867e-01,-5.589427524013752813e-02,1.881686534573213943e-01,-1.174389005852935139e-02
-9.699999999999999734e-01,4.962243046424210657e-01,-9.312278712006917536e-02,5.757358501696765302e-02,6.826710200344816848e-03,2.673282394934459877e-02
-1.000000000000000056e-01,5.085162853175674291e-01,1.854943237147015922e-01,1.358176741481618433e-01,-1.728922853930976722e-01,6.522161661266835664e-02
-9.699999999999999734e-01,5.191541042216470947e-01,-3.735888020462161535e-02,2.858212318747919700e-01,-2.929187816278998047e-01,9.555362209900748749e-02
3.800000000000000044e-01,5.288795604699229047e-01,-2.310514894533784447e-01,1.624695010891935298e-01,-3.458729028480173606e-01,1.103747639105869538e-01
-3.599999999999999867e-01,5.385354786375532443e-01,3.305026888579050692e-01,-3.322781140506250730e-01,-3.377067853520930862e-01,1.018535925660793706e-01
-6.099999999999999867e-01,5.484000630524543674e-01,-2.715023305844581000e-02,-5.938928270136062393e-01,-2.724071619622181473e-01,6.340426256778891601e-02
-7.600000000000000089e-01,5.581874271330951043e-01,-2.271268215921002642e-01,-7.509549985857399967e-02,-1.501895732773173564e-01,-1.048354859563739670e-03
6.600000000000000311e-01,5.673910887670784442e-01,-1.190069712773534072e-01,6.277716253979092054e-01,3.416761354726271377e-02,-7.935906380880396183e-02
-9.699999999999999734e-01,5.750435224933810874e-01,5.428717330565094867e-01,5.133943159737031081e-01,2.455656913563901145e-01,-1.586072826807124747e-01
-9.699999999999999734e-01,5.799594281140751928e-01,-5.536395883340925472e-01,-2.027391347913186370e-01,4.154835755541363973e-01,-2.241957382951775268e-01
3.800000000000000044e-01,5.816379919297445245e-01,5.740575520559363376e-01,-5.131139870407872561e-01,4.715201929207082920e-01,-2.648798792838045202e-01
9.000000000000000222e-01,5.800129204750830159e-01,-5.459862233897117001e-01,-1.685940365942049934e-01,3.627422018016781546e-01,-2.748699554311581084e-01
3.800000000000000044e-01,5.754337583963925473e-01,7.849778245095134777e-02,2.439087958429531355e-01,1.296033340803774969e-01,-2.472265305558559167e-01
5.000000000000000278e-02,5.690263844701908269e-01,1.793764505859981873e-01,3.206634966377050477e-01,-1.313199218256421164e-01,-1.798294128696184269e-01
3.800000000000000044e-01,5.616347589317352007e-01,4.173545682678447832e-01,1.081852010995854735e-01,-3.330542653377044915e-01,-8.462052062234602656e-02
1.500000000000000000e+00,5.538169087152239323e-01,-9.863487799484725871e-01,-2.521438744760522432e-01,-3.971163769040552682e-01,2.162452981899433413e-02
5.000000000000000278e-02,5.462801601698689113e-01,4.269493515507336578e-01,-3.929397715074920971e-01,-3.171018651114160813e-01,1.234096990583218034e-01
8.000000000000000444e-01,5.391146347277381290e-01,4.753071870844913782e-01,-4.414205288422928114e-02,-1.471881073497139925e-01,2.058034138679868119e-01
3.800000000000000044e-01,5.319215704863419214e-01,-3.063553867280127685e-01,2.859374896459356830e-01,5.594385370193395018e-02,2.631674561240093246e-01
9.000000000000000222e-01,5.241048258015572614e-01,-3.323269712040511914e-01,1.808079597148720408e-01,2.053188546305331208e-01,2.958790355746070966e-01
1.120000000000000107e+00,5.145484254007819391e-01,1.359978733710334176e-01,1.819464124597207008e-02,2.375412041282303488e-01,3.004684459190021251e-01
3.800000000000000044e-01,5.021676354365619543e-01,2.877087308537220056e-01,-3.107682383480583552e-02,1.619408083746416982e-01,2.781815644084451589e-01
1.120000000000000107e+00,4.866108685421436930e-01,1.265212265150266746e-01,-1.163504140943932286e-01,2.913224360065743909e-02,2.396935168779727732e-01
1.090000000000000080e+00,4.680926683703797164e-01,-7.436603262431897843e-01,-8.014754846568317159e-02,-6.448521976736384942e-02,1.954692897947920283e-01
-9.699999999999999734e-01,4.477222694461707730e-01,6.505684645999180171e-01,5.445824121936407997e-02,-4.827617023341265051e-02,1.541886114984157563e-01
6.600000000000000311e-01,4.275941734448646114e-01,-2.718387292736081928e-01,8.579444112507228493e-02,4.651528135741439529e-02,1.206764122518414611e-01
3.800000000000000044e-01,4.095677431780799793e-01,1.963470855719357255e-01,1.363740241118567009e-01,1.290675691678032089e-01,8.869457390992593893e-02
-9.699999999999999734e-01,3.949479952523988202e-01,-1.334574995447126711e-01,9.174753768367634177e-02,1.028630539832593727e-01,5.075168952621818275e-02
5.000000000000000278e-02,3.844598476123264330e-01,-2.280672927506737779e-01,-2.858871879286187245e-01,-4.431562853442650579e-02,6.472483675108548287e-03
3.800000000000000044e-01,3.777182749040805532e-01,5.585600835255910557e-01,-4.719766463572974136e-01,-2.146063052816593597e-01,-4.517733228186785605e-02
-3.599999999999999867e-01,3.740109686172627956e-01,-2.885398688456528582e-01,-1.815132202368436101e-02,-2.804105192611593966e-01,-1.057326337547302986e-01
-3.599999999999999867e-01,3.726789263204933200e-01,-5.898369790843345228e-01,5.055806229521986328e-01,-1.749484804849914255e-01,-1.736338817661273182e-01
3.800000000000000044e-01,3.725628425548920264e-01,1.151616728472706130e+00,4.636975049153085338e-01,2.840008717115493839e-02,-2.458283539969890741e-01
1.500000000000000000e+00,3.725489106325974853e-01,-6.161723053846691611e-01,-6.125177622904632441e-02,1.893039947681011137e-01,-3.131846984272501078e-01
1.320000000000000062e+00,3.721203818907595218e-01,-4.464497147688967771e-01,-4.377994923702550611e-01,1.927764671442475097e-01,-3.594861697871281070e-01
3.800000000000000044e-01,3.713147170078727188e-01,8.052957266772517997e-01,-1.486592508341448571e-01,2.615661359403361613e-02,-3.727952581964446566e-01
9.000000000000000222e-01,3.711102269762270867e-01,-1.641542751896104824e-01,2.030602924476393456e-01,-1.683451879202630397e-01,-3.496736294480145557e-01
-9.699999999999999734e-01,3.732770054794361525e-01,-4.480177578361849156e-01,-1.351647376923555965e-01,-2.522195631779111102e-01,-2.905825519468910323e-01
-3.599999999999999867e-01,3.792745764207234305e-01,1.767933971182374386e-01,-3.123008139248312776e-01,-1.564154985965859890e-01,-2.003116647723364452e-01
-9.699999999999999734e-01,3.897988722934219719e-01,2.400479640182423546e-01,3.575204715953760881e-01,8.613482205862917074e-02,-8.600499069234393557e-02
-9.699999999999999734e-01,4.046210043714941751e-01,6.605257618359174077e-02,6.166998559914785849e-01,3.076539014106992598e-01,4.282416319609021887e-02
-9.699999999999999734e-01,4.222987093407875037e-01,-3.675420805141882963e-01,-1.842928502316920347e-01,3.978771149873457369e-01,1.703124779729866256e-01
-3.599999999999999867e-01,4.409194280776728148e-01,-1.178585652380768553e-02,-6.325455287100675283e-01,3.313791713674260064e-01,2.784579208079004942e-01
3.800000000000000044e-01,4.587898096472474707e-01,4.998730396122565978e-01,-3.319224162028068525e-02,1.471925506490107949e-01,3.540958464742012812e-01
6.600000000000000311e-01,4.744784622538944507e-01,-6.830413149912479831e-01,4.017463332719725111e-01,-2.544357995186677379e-02,3.919033924890231724e-01
1.120000000000000107e+00,4.871752481236137355e-01,6.284419967150378650e-01,1.119265444703032922e-02,-1.360927265293454536e-01,3.920199952694269907e-01
6.600000000000000311e-01,4.966722259696241815e-01,-3.401126788307636817e-01,-3.071009139610873517e-01,-2.052279670893191466e-01,3.557264810142394262e-01
3.800000000000000044e-01,5.031052470511486741e-01,4.982807495099889766e-02,-5.690105242533873182e-03,-2.477182891246647034e-01,2.848771282272781757e-01
1.090000000000000080e+00,5.072537442381143125e-01,-4.243555998931313605e-02,2.839452348650237101e-01,-3.049748145495684293e-01,1.855855698371924600e-01
5.000000000000000278e-02,5.104516184463332440e-01,1.138668901612802375e-01,1.115082239532217273e-01,-3.408609948489698116e-01,6.854119523122520485e-02
-9.699999999999999734e-01,5.138281941007761811e-01,-7.971850230591999431e-03,-7.712295420344501828e-02,-2.792688437054980932e-01,-5.375954736348339397e-02
9.000000000000000222e-01,5.177855707866683144e-01,-8.683936738562708646e-02,1.993506521743393205e-03,-1.231073778931802143e-01,-1.686440484383386340e-01
1.000000000000000056e-01,5.217540638730681080e-01,1.157837120678008175e-01,-9.627198464869568539e-02,1.025939768186211742e-01,-2.693838146992509341e-01
-3.599999999999999867e-01,5.240500416431307373e-01,-2.312878865153758789e-01,-2.783234891175520587e-01,3.129943110950811902e-01,-3.513970738766199475e-01
-3.599999999999999867e-01,5.225092698083216858e-01,1.524472830612347007e-01,5.268585924630351386e-02,4.078463712144854147e-01,-4.042370327159505172e-01
3.800000000000000044e-01,5.154288294738289533e-01,3.388679071569832280e-01,3.159734730573096062e-01,3.924864641287613143e-01,-4.187946777351959637e-01
3.800000000000000044e-01,5.018393049439132669e-01,-6.252247864237430175e-01,-4.611765167562478784e-02,2.844258625187363609e-01,-3.916512139682708504e-01
-9.699999999999999734e-01,4.816127648834278019e-01,1.758674999409212333e-02,-1.361438516103251339e-01,1.250616937255487615e-01,-3.220474317058036884e-01
1.669999999999999929e+00,4.554567028264368544e-01,8.864322995270803585e-01,1.425658375503524034e-01,-2.653907943146898568e-02,-2.155666248687034547e-01
-3.599999999999999867e-01,4.244895683813818543e-01,-8.323527772210749243e-01,-1.160381517834495058e-01,-1.812967094644091504e-01,-8.321136562468196829e-02
-2.999999999999999889e-02,3.898903452130517699e-01,-1.206050433353833464e-03,-3.475713850108982372e-01,-3.085084951078261306e-01,6.735655733680863400e-02
1.320000000000000062e+00,3.529251324806933487e-01,2.776114406539135215e-01,2.390687261279883513e-01,-3.573175988998000263e-01,2.234885409674128298e-01
-9.699999999999999734e-01,3.147960145858923475e-01,2.152850826395577843e-01,6.636204262852222202e-01,-3.182804851334941065e-01,3.621846190806630172e-01
6.600000000000000311e-01,2.762628824080294865e-01,-3.995112910973700471e-01,1.380011481479610225e-01,-1.706945652086494791e-01,4.648392303517321356e-01
3.800000000000000044e-01,2.376219557388503378e-01,-2.743150994062941161e-01,-4.789353353301852301e-01,3.774759411893478800e-02,5.187819014550023589e-01
-3.599999999999999867e-01,1.986033735854345894e-01,1.167009082959628685e+00,-4.557160741688877637e-01,2.149504509511398764e-01,5.147761696653104790e-01
-9.699999999999999734e-01,1.584666587693965012e-01,-1.379475451411008136e+00,-1.511374397784044088e-01,3.211955391535801230e-01,4.551138466423800821e-01
1.669999999999999929e+00,1.168566069571295302e-01,7.051929110066746942e-01,8.505559869727416511e-02,3.375216667910437840e-01,3.475823950039467203e-01
3.800000000000000044e-01,7.419512287960321195e-02,3.373077462153598050e-01,2.086133322759337883e-01,2.746535600321714510e-01,1.979850279030614946e-01
6.600000000000000311e-01,3.168934787834037925e-02,-1.105991524859455621e+00,1.184123910791958778e-01,1.669175396494037011e-01,2.334901078565878099e-02
5.000000000000000278e-02,-8.548050889061173385e-03,1.172563836258096570e+00,3.056531105091233810e-03,2.262583192415532074e-02,-1.492797303139057064e-01
1.120000000000000107e+00,-4.424988900770837619e-02,-4.441269401195703792e-01,1.148608395242775582e-01,-1.555025569881393066e-01,-2.989698842496148479e-01
3.800000000000000044e-01,-7.375263235915886784e-02,-3.685081181322953370e-01,2.169709598593433930e-01,-3.307100955539364340e-01,-4.085735766405509950e-01
5.500000000000000444e-01,-9.578107433705912444e-02,1.209707523782101030e-01,7.303345562597872431e-02,-4.326554690223897159e-01,-4.672344953565569781e-01
9.000000000000000222e-01,-1.095843791586945393e-01,9.253797665412784035e-01,-1.938612954240761244e-01,-4.063692229051911742e-01,-4.782203803216538707e-01
6.700000000000000400e-01,-1.152243306413082841e-01,-1.164295320987158933e+00,-3.299147571459927764e-01,-2.401859351612842253e-01,-4.452857090460257683e-01
-3.599999999999999867e-01,-1.129041541696130108e-01,4.022560276468838403e-01,-1.174210607458351374e-01,1.571782582555763738e-02,-3.681486301155366681e-01
