Original Signal,Approximation,D 1,D 2,D 3,D 4,D 5,D 6,D 7
-1.540000000000000036e+00,1.105353407465171217e-02,6.169181464584468921e-01,1.676441684934151244e-01,-3.434397322355127735e-01,-5.949368978198080748e-01,1.599016138905161033e-01,-2.563499302106579392e-01,2.156479149417643015e-01
-1.540000000000000036e+00,1.378933513932053406e-02,-6.528941916244324073e-01,5.465242708095859880e-01,-3.738640408850925634e-01,-4.526219747951209516e-01,1.168888932309762319e-01,-3.131671478577480183e-01,1.997704607819739131e-01
-1.199999999999999956e+00,1.351445639162969850e-02,-3.329822110639570898e-01,9.920975227276717101e-01,-4.436824852962292232e-01,-2.911421286827244881e-01,8.335964961766201275e-02,-3.669944289753829247e-01,1.863293011868975557e-01
1.499999999999999944e-01,1.184941135133004558e-02,-3.760335737772479425e-01,7.072570522903044443e-01,-3.838224474666471764e-01,-1.033279308839057525e-01,9.673704411433511896e-02,-4.062293800184894055e-01,1.769448648280328162e-01
1.199999999999999956e+00,9.619774973410322172e-03,1.003049082826210081e-02,-4.240251340709014771e-01,-2.494987244209571076e-01,2.761685002905918396e-02,1.415666466281285951e-01,-4.208624473713123981e-01,1.700622925070061631e-01
1.199999999999999956e+00,5.456091050402796239e-03,3.860335737772478959e-01,-1.196663922675938796e+00,1.745302499172483590e-01,1.552685595898532778e-01,1.994663560385070700e-01,-4.131705472129705292e-01,1.676536211174550206e-01
1.330000000000000071e+00,1.047199047046823428e-04,5.168584287042077285e-02,-1.105904735363362867e+00,8.282090818477307881e-01,2.454473089400332209e-01,2.336412394540480775e-01,-3.840796628363786214e-01,1.699259191746976816e-01
1.330000000000000071e+00,-3.264214940006414378e-03,3.249999999999997335e-02,-3.771533558059907421e-01,1.185482311224199448e+00,2.963318746522786706e-01,2.286611144413664143e-01,-3.479323427230321952e-01,1.766774164886605880e-01
1.199999999999999956e+00,-4.256471583448731555e-03,5.629165124598856096e-02,3.267583009202428279e-01,1.159299718020305736e+00,2.883180216584757538e-01,1.828057477004377818e-01,-3.259810275026149839e-01,1.901652887612877429e-01
3.300000000000000155e-01,-1.967886228036626328e-03,2.646105253231152421e-01,4.248303736014419352e-01,5.681317594457500064e-01,1.922322046000765061e-01,1.254613087905420699e-01,-3.075518139098079584e-01,2.041072310618123331e-01
-1.209999999999999964e+00,2.012754236101851890e-03,2.965239548340146136e-01,3.037635188915002171e-01,-3.975758984359933357e-01,6.568895020615306279e-02,8.026943082331486345e-02,-2.850258929911363426e-01,2.157961851276433141e-01
-2.439999999999999947e+00,5.414909111870792879e-03,-4.455771365940053297e-02,4.417254516182069768e-01,-1.078540680948094188e+00,-2.294684291405729715e-02,3.357237240090815006e-02,-2.531569513788120007e-01,2.211567978330460371e-01
-1.209999999999999964e+00,7.610052464737601663e-03,-8.684725921207234745e-01,8.035919656498260455e-01,-1.383638826137315814e+00,6.874004050448911940e-03,-2.138582520452631669e-02,-2.295730425154008936e-01,2.209429452781453973e-01
-6.600000000000000311e-01,8.170751497697414933e-03,7.118695315924794542e-03,7.227310086960530011e-01,-1.137945492580844986e+00,1.190947406440575618e-01,-1.017243603632767002e-01,-2.218024637180670000e-01,2.176510037929635655e-01
-9.200000000000000400e-01,8.874858221829109994e-03,3.388444629097033811e-01,-3.130404026160497621e-01,-4.652684719496408272e-01,2.686856988344478725e-01,-2.152970955062730174e-01,-2.364486208702479830e-01,2.128614124388618634e-01
-2.439999999999999947e+00,8.982016464588231386e-03,5.044181464584468477e-01,-1.156930802088631527e+00,2.352875132224610810e-01,3.511663804944935574e-01,-3.174707838674935001e-01,-2.546363265550404820e-01,2.110945900213075377e-01
-1.199999999999999956e+00,8.393162909170158448e-03,-8.272595264191642261e-01,-5.530474780373714205e-01,8.865866715204290260e-01,3.767676450483112838e-01,-3.771741204001994863e-01,-2.564174962440392003e-01,2.132559766510347954e-01
-9.200000000000000400e-01,7.142544203721838680e-03,7.528856829700270037e-02,4.636830065039547200e-01,1.227783262490848681e+00,3.901226990386554849e-01,-3.804145770005566418e-01,-2.399499711721548023e-01,2.225919051023235173e-01
-6.600000000000000311e-01,5.753262395687075426e-03,9.467622392718755275e-02,2.663139720814410305e-01,1.146852706002403188e+00,4.181907790158414517e-01,-3.691425086670757638e-01,-2.121589851312051245e-01,2.358855322855677450e-01
-9.200000000000000400e-01,6.610921617108751758e-03,1.794134295108992250e-01,-4.724899031640742431e-01,7.557175967298833674e-01,3.962655189874729755e-01,-3.932027280652773960e-01,-1.841310148127098811e-01,2.526336108035170391e-01
1.499999999999999944e-01,8.940015582757969426e-03,-4.066201442663487375e-01,-3.586925560541363023e-01,2.071518500103574356e-01,2.650428051833251808e-01,-4.449062836284605749e-01,-1.497767103175257075e-01,2.692961782181422237e-01
6.400000000000000133e-01,1.273790886235968978e-02,7.637023679041773927e-02,6.012141602730458612e-02,-2.285127009098854578e-01,3.706335408211097748e-02,-5.148766510832680776e-01,-1.141258305256768329e-01,2.806729454788615130e-01
4.899999999999999911e-01,1.630906031978627407e-02,2.716377481542537886e-01,-9.959657480095746029e-02,-4.507499960706651265e-01,-1.948688703646719034e-01,-5.605572023930791570e-01,-7.864318269699770159e-02,2.855010363667012108e-01
1.499999999999999944e-01,1.866351035779197781e-02,1.234502712852710293e-01,-3.194430570778459821e-01,-4.734356761528794588e-01,-2.670501489698373643e-01,-5.736864959178599177e-01,-4.971865146860834916e-02,2.819006332204713194e-01
9.300000000000000488e-01,2.074797140674189411e-02,-3.651009063798820176e-01,3.341388427257409310e-02,-4.894140797926388453e-01,-1.772462346351062479e-01,-5.706013148111732658e-01,-3.331423303560020199e-02,2.731968617913351216e-01
9.300000000000000488e-01,2.242829087550147343e-02,1.638878406783227382e-01,3.999718676455116806e-01,-5.834836523782072071e-01,5.638995829670673254e-03,-5.563885524493163981e-01,-2.263858056987844841e-02,2.608129257613048813e-01
3.300000000000000155e-01,2.410019858535945164e-02,2.762787643056313081e-01,1.249017680694634036e-01,-6.352879342699437881e-01,1.655897620825013405e-01,-5.387336599651862956e-01,-1.157301098871491712e-02,2.507159665883511579e-01
-6.600000000000000311e-01,2.541780357798351445e-02,1.880912874366485743e-01,-1.511466194912579608e-01,-6.591317863948540356e-01,3.112050682229511867e-01,-4.888383623080526652e-01,9.294183871350183979e-03,2.480670870478256518e-01
-2.999999999999999889e-02,2.592186191806802875e-02,-5.175528116637148068e-01,2.292700086237133006e-01,-5.364570875762303404e-01,4.947632999531167419e-01,-4.144615884507316106e-01,3.919059758963304441e-02,2.503023530780166261e-01
1.070000000000000062e+00,2.620971901784191135e-02,-3.087482734773692172e-01,6.141713450625190251e-01,-3.266057331997615498e-01,6.960779404569347184e-01,-2.996047046955865323e-01,7.678840967235729675e-02,2.570174865160247402e-01
1.070000000000000062e+00,2.556208456016057992e-02,3.326490010960491128e-01,1.468352755971276680e-01,-1.129698791567656097e-01,7.792990901328331610e-01,-1.458052671799250910e-01,1.260851013520030706e-01,2.681117249886285081e-01
1.199999999999999956e+00,2.724401221537339768e-02,5.626116041772633025e-02,-6.425667621858728307e-01,1.336549213938346414e-01,6.786822514097929915e-01,-1.787141499807179401e-02,1.828496403219018740e-01,2.796223430410689770e-01
1.499999999999999944e-01,3.067107125360497150e-02,3.910816684934150245e-01,-6.335006088201258212e-01,3.485669442870094059e-01,4.087619453940870562e-01,6.052161434214003988e-02,2.293405857915415402e-01,2.873839148162618540e-01
-4.400000000000000022e-01,3.853348626527158122e-02,-4.911542731880103041e-02,-1.481889720814416611e-02,5.360986249353334454e-01,6.877145622579086681e-02,7.600344433806990874e-02,2.672388818754445894e-01,2.909774091975895205e-01
-9.200000000000000400e-01,4.859000446279026358e-02,-7.965862003928247947e-02,5.092814850170112040e-01,5.224284687105424929e-01,-2.289046850793764187e-01,7.347467865103179951e-02,2.966736543284550498e-01,2.901653874436027625e-01
-2.999999999999999889e-02,5.787203188533593390e-02,-4.779293994002422608e-01,7.207658311032395515e-01,2.988186466962893806e-01,-4.732821307439135095e-01,9.010673392251178360e-02,3.187308488622101477e-01,2.827999897526956574e-01
-2.999999999999999889e-02,6.600474247364479519e-02,1.785769515458673629e-01,3.707703477303020412e-01,1.409363827424875426e-03,-7.182824272305013968e-01,1.355288418914865345e-01,3.244992384509107208e-01,2.673785900822276962e-01
-4.400000000000000022e-01,7.159671184508636932e-02,2.214582562299425850e-01,-3.500556017681464294e-01,-2.498733881501215837e-01,-9.506250049625676324e-01,2.104827264657739283e-01,3.183657901393638356e-01,2.492147415196373783e-01
-4.400000000000000022e-01,7.715947220239202653e-02,-1.024999999999999800e-01,-5.811400603659930830e-01,-1.680389680668876728e-01,-1.050239080326414776e+00,3.072713725455441525e-01,2.907329930061758327e-01,2.288983473238467847e-01
-2.200000000000000011e-01,8.218101191006861594e-02,-1.126490010960490840e-01,-1.144578708613193108e-01,1.444161801183843075e-01,-1.019307719113135224e+00,4.098496171583007053e-01,2.564453089916223227e-01,2.132303321921959482e-01
-4.299999999999999933e-01,8.747058611571657816e-02,1.267163336986829869e-01,1.681197357667083558e-01,4.514957723994049155e-01,-8.625787355253035082e-01,5.153204330018151813e-01,2.388711889893507245e-01,2.041300622127766862e-01
-4.299999999999999933e-01,9.118717355531881508e-02,-3.236860279185582723e-02,-4.554923554968920429e-03,5.600095707165313463e-01,-6.504078673453310699e-01,6.077105410251555373e-01,2.261269945034813933e-01,1.989575596847417138e-01
7.900000000000000355e-01,9.268291175434206774e-02,-4.358540818529367811e-01,-6.859754585868932386e-03,3.662399426610208342e-01,-4.802427284701044630e-01,6.818130349851895255e-01,2.107833079109051044e-01,1.961562938290720703e-01
1.570000000000000062e+00,9.348718982446801995e-02,3.862504626203439040e-02,3.828087619688541610e-02,7.043204984748480113e-02,-3.559314775773042006e-01,7.196246652153894807e-01,1.802922949167287126e-01,1.918548649645442361e-01
1.570000000000000062e+00,9.596877535082176669e-02,3.066377481542537087e-01,-3.536966410505412162e-01,-1.522176593578470349e-01,-2.176789726534411051e-01,7.309238273569609312e-01,1.467850423490412726e-01,1.883827202186120209e-01
1.199999999999999956e+00,1.021660851196173753e-01,1.977323035880260704e-01,-6.266861588459923249e-01,-1.734160086004225276e-01,-3.870768304695828416e-02,6.967673307564679064e-01,1.169809026252054962e-01,1.822266435785537264e-01
1.499999999999999944e-01,1.108572272147368559e-01,2.660816684934150245e-01,-1.971253391065888594e-01,-1.142107062454516125e-01,1.516599030645395252e-01,5.993486397131043697e-01,1.039799807841252227e-01,1.747574660249764933e-01
-2.200000000000000011e-01,1.203296882547953417e-01,-1.700000000000000122e-01,4.454333687415606424e-01,-1.597799387420976713e-01,3.083980691784321548e-01,5.153985896198904904e-01,9.842869470174170354e-02,1.624032127718537111e-01
-1.540000000000000036e+00,1.282995390438684546e-01,2.622067147554495437e-01,7.399116335952167223e-01,-3.603010081118585561e-01,4.024406154630727483e-01,4.610225231629139220e-01,8.825028685590935451e-02,1.448640275238029240e-01
-1.540000000000000036e+00,1.354858650231093864e-01,-3.638573498500605741e-01,6.515659220555747311e-01,-6.112825467453923967e-01,4.170787085622936208e-01,4.497323576206363471e-01,7.399233308649680319e-02,1.205634284750112528e-01
-1.929999999999999938e+00,1.408683624853268590e-01,1.239909362011804017e-02,4.183196216833560133e-01,-7.505964360148539294e-01,4.718573577735356017e-01,4.395320033107955604e-01,6.099444938778122993e-02,9.540992071950735176e-02
-1.540000000000000036e+00,1.441809049989039582e-01,-2.306874768689827215e-01,1.125104128114971236e-01,-5.776504751421578376e-01,5.558239525672482584e-01,4.170113005840553333e-01,5.852046928774468776e-02,7.551394604830673207e-02
-6.600000000000000311e-01,1.434340799798040633e-01,-2.387130657015592572e-01,-2.369770856167688899e-01,-6.098448388999819225e-02,5.932052854700625710e-01,3.822324623982933378e-01,5.095623504364326511e-02,6.182812564369715574e-02
1.499999999999999944e-01,1.405561890295200234e-01,-2.093266739736610038e-02,-4.600727740253937048e-01,5.396060192792275778e-01,5.419944397434752759e-01,3.246353918629185653e-01,3.721418585738860835e-02,5.180020661166193086e-02
9.300000000000000488e-01,1.373060026398488231e-01,1.665063509461094104e-02,-6.494801916967717359e-01,1.091862431870967320e+00,3.818704414896867405e-01,2.181888310301204337e-01,1.247790409896313429e-02,4.354164831725985951e-02
1.070000000000000062e+00,1.362155049806251794e-01,2.213092551338934899e-01,-6.983648106400053290e-01,1.293323417542045162e+00,1.761473594195953618e-01,8.727873855722291518e-02,-1.921437558660667871e-02,3.384363353064850921e-02
9.300000000000000488e-01,1.379111411874699988e-01,1.541858428704209194e-01,-4.226809871367697702e-01,1.102904499364018021e+00,-5.374480946901376288e-02,-4.888684727492795951e-02,-4.760905370632432382e-02,2.446101071092967108e-02
-2.200000000000000011e-01,1.413990328621181070e-01,3.705431927204814735e-01,-1.921676532934082915e-02,6.119065727406596267e-01,-1.980819396943586663e-01,-1.709301767624024082e-01,-7.358647354253829154e-02,1.387350233220346202e-02
-6.600000000000000311e-01,1.451445729327815737e-01,-1.500480947161670908e-01,4.086404919966507565e-01,-1.231202386438370600e-01,-3.222551856610355037e-01,-2.896845835101800604e-01,-9.191934574341556474e-02,3.683612376890160744e-03
