Original Signal,Approximation,D 1,D 2,D 3,D 4,D 5,D 6
-1.54,-0.04,0.21,0.21,0.18,-0.18,-0.19,0.17
-1.54,-0.04,-0.68,-0.12,0.24,-0.12,-0.24,0.18
-1.20,-0.04,0.27,-0.19,0.23,-0.06,-0.26,0.19
0.15,-0.04,0.17,0.00,0.25,-0.05,-0.25,0.20
1.20,-0.04,0.21,0.24,0.35,-0.06,-0.23,0.21
1.20,-0.04,0.10,0.46,0.42,-0.04,-0.21,0.21
1.33,-0.04,-0.31,0.35,0.39,0.02,-0.21,0.22
1.33,-0.04,-0.06,-0.45,0.18,0.12,-0.21,0.24
1.20,-0.04,0.06,-1.14,-0.14,0.20,-0.21,0.25
0.33,-0.04,0.12,-0.85,-0.40,0.25,-0.21,0.25
-1.21,-0.04,-0.02,0.13,-0.54,0.27,-0.22,0.26
-2.44,-0.04,-0.22,0.96,-0.57,0.28,-0.24,0.25
-1.21,-0.04,-0.36,0.96,-0.49,0.29,-0.26,0.25
-0.66,-0.03,0.64,0.31,-0.42,0.26,-0.28,0.24
-0.92,-0.03,0.21,-0.15,-0.23,0.22,-0.27,0.23
-2.44,-0.02,-0.11,-0.06,0.15,0.14,-0.24,0.22
-1.20,-0.02,-0.80,0.10,0.62,0.03,-0.19,0.21
-0.92,-0.02,0.60,-0.40,1.05,-0.08,-0.14,0.20
-0.66,-0.02,0.14,-1.11,1.09,-0.20,-0.10,0.19
-0.92,-0.02,-0.07,-0.67,0.61,-0.32,-0.07,0.19
0.15,-0.02,-0.36,0.66,-0.18,-0.42,-0.05,0.19
0.64,-0.01,0.31,1.00,-1.02,-0.49,-0.04,0.18
0.49,-0.01,0.13,0.08,-1.46,-0.52,-0.03,0.18
0.15,-0.01,-0.17,-0.39,-1.30,-0.49,-0.04,0.16
0.93,-0.01,-0.28,0.01,-0.69,-0.41,-0.04,0.15
0.93,-0.01,0.36,0.16,0.18,-0.29,-0.03,0.13
0.33,0.00,0.08,-0.14,0.94,-0.13,0.00,0.11
-0.66,0.00,-0.14,-0.06,1.32,0.05,0.05,0.09
-0.03,-0.01,-0.38,0.33,1.27,0.24,0.11,0.08
1.07,-0.01,0.23,0.22,0.81,0.39,0.18,0.06
1.07,-0.01,0.43,-0.27,0.15,0.47,0.23,0.05
1.20,-0.01,-0.24,-0.22,-0.44,0.48,0.27,0.05
0.15,-0.02,0.05,0.28,-0.78,0.44,0.29,0.04
-0.44,-0.02,-0.26,0.21,-0.84,0.38,0.30,0.03
-0.92,-0.03,0.01,-0.47,-0.71,0.31,0.29,0.02
-0.03,-0.03,-0.11,-0.66,-0.51,0.24,0.28,0.01
-0.03,-0.03,0.42,-0.04,-0.36,0.17,0.26,0.00
-0.44,-0.03,0.00,0.58,-0.22,0.12,0.26,-0.01
-0.44,-0.03,-0.28,0.70,-0.05,0.11,0.27,-0.02
-0.22,-0.03,0.00,0.30,0.15,0.16,0.29,-0.02
-0.43,-0.03,0.18,-0.44,0.37,0.22,0.30,-0.03
-0.43,-0.04,-0.09,-0.80,0.56,0.23,0.31,-0.03
0.79,-0.04,-0.22,-0.29,0.69,0.17,0.29,-0.03
1.57,-0.05,0.32,0.35,0.72,0.04,0.26,-0.03
1.57,-0.05,0.15,0.33,0.58,-0.09,0.22,-0.02
1.20,-0.06,-0.18,0.10,0.28,-0.21,0.18,-0.03
0.15,-0.06,-0.04,0.09,-0.14,-0.31,0.13,-0.03
-0.22,-0.06,-0.22,-0.10,-0.47,-0.40,0.07,-0.04
-1.54,-0.07,0.28,-0.41,-0.56,-0.46,0.03,-0.06
-1.54,-0.07,-0.28,-0.19,-0.37,-0.42,-0.01,-0.08
-1.93,-0.07,0.23,0.40,-0.03,-0.27,-0.01,-0.09
-1.54,-0.07,-0.07,0.64,0.20,-0.04,0.00,-0.11
-0.66,-0.08,0.00,0.33,0.19,0.17,0.02,-0.12
0.15,-0.08,0.13,-0.11,-0.01,0.32,0.03,-0.13
0.93,-0.08,0.00,-0.41,-0.22,0.39,0.02,-0.14
1.07,-0.09,0.04,-0.51,-0.28,0.39,0.00,-0.15
0.93,-0.09,-0.09,-0.41,-0.21,0.32,-0.02,-0.15
-0.22,-0.10,0.07,-0.22,-0.10,0.16,-0.03,-0.15
-0.66,-0.10,-0.29,-0.04,-0.12,-0.10,-0.04,-0.16
-1.54,-0.10,0.16,0.20,-0.27,-0.39,-0.06,-0.16
-0.03,-0.10,-0.35,0.44,-0.39,-0.63,-0.09,-0.17
-0.66,-0.10,0.75,0.53,-0.33,-0.79,-0.12,-0.18
-0.43,-0.10,-0.34,0.48,-0.01,-0.84,-0.13,-0.19
-1.53,-0.10,0.11,0.27,0.50,-0.81,-0.14,-0.19
-0.43,-0.10,-0.52,-0.16,0.96,-0.73,-0.14,-0.18
-0.03,-0.10,0.43,-0.73,1.17,-0.57,-0.16,-0.18
-0.22,-0.10,0.18,-0.91,1.01,-0.35,-0.20,-0.16
0.79,-0.10,-0.41,-0.24,0.48,-0.09,-0.26,-0.15
0.49,-0.10,0.34,0.58,-0.23,0.16,-0.32,-0.14
0.33,-0.10,-0.13,0.53,-0.95,0.36,-0.38,-0.13
-0.03,-0.10,-0.07,-0.08,-1.43,0.50,-0.43,-0.13
-0.22,-0.10,-0.03,-0.23,-1.47,0.62,-0.46,-0.13
0.64,-0.10,-0.12,0.00,-1.07,0.73,-0.49,-0.13
-0.03,-0.10,0.46,0.07,-0.30,0.81,-0.51,-0.14
0.15,-0.10,-0.33,0.17,0.53,0.84,-0.51,-0.14
-0.66,-0.10,0.14,0.32,1.12,0.80,-0.48,-0.14
0.49,-0.10,-0.40,0.11,1.28,0.70,-0.43,-0.14
0.79,-0.10,0.43,-0.32,1.01,0.55,-0.38,-0.13
1.33,-0.11,-0.02,-0.44,0.51,0.38,-0.34,-0.11
0.33,-0.11,0.17,-0.07,0.01,0.18,-0.30,-0.09
0.79,-0.12,-0.52,0.30,-0.33,-0.06,-0.27,-0.07
