Original Signal,Approximation,D 1,D 2,D 3,D 4,D 5,D 6
-0.08,-0.04,0.08,0.17,-1.12,-0.10,-0.10,0.09
0.39,-0.03,-0.28,0.70,-1.02,-0.26,-0.10,0.08
0.86,-0.02,0.18,0.65,-0.64,-0.36,-0.08,0.08
1.09,-0.02,0.16,0.32,-0.13,-0.40,-0.04,0.08
1.08,-0.01,-0.04,-0.01,0.36,-0.34,0.00,0.09
0.94,-0.01,-0.08,-0.12,0.77,-0.19,0.04,0.10
0.69,-0.01,-0.02,-0.20,1.03,-0.01,0.06,0.11
0.26,-0.01,0.02,-0.44,1.04,0.17,0.06,0.12
-0.39,-0.01,0.01,-0.44,0.78,0.27,0.05,0.13
-1.35,0.00,0.01,-0.01,0.22,0.29,0.01,0.12
-1.29,0.00,-0.22,0.34,-0.52,0.21,-0.03,0.11
-0.89,0.01,0.12,0.34,-1.12,0.08,-0.07,0.10
-0.25,0.02,0.12,0.16,-1.38,-0.07,-0.09,0.09
0.47,0.02,0.02,0.01,-1.19,-0.19,-0.08,0.08
1.11,0.03,-0.01,0.01,-0.59,-0.27,-0.04,0.08
1.25,0.03,0.04,-0.08,0.13,-0.29,0.01,0.08
1.25,0.03,-0.09,-0.37,0.71,-0.24,0.05,0.08
1.18,0.03,-0.05,-0.47,1.00,-0.11,0.09,0.09
0.92,0.03,0.03,-0.20,0.94,0.05,0.11,0.11
0.37,0.03,0.03,0.15,0.61,0.20,0.10,0.12
-0.77,0.04,0.04,0.41,0.21,0.30,0.08,0.13
-1.59,0.04,-0.17,0.52,-0.13,0.31,0.03,0.12
-1.80,0.05,-0.07,0.34,-0.28,0.23,-0.03,0.11
-1.69,0.05,0.12,0.00,-0.19,0.12,-0.09,0.10
-0.64,0.06,-0.04,-0.20,0.03,0.00,-0.12,0.09
-0.01,0.07,0.23,-0.12,0.25,-0.09,-0.13,0.08
0.48,0.07,-0.02,0.00,0.36,-0.14,-0.11,0.07
0.81,0.08,-0.09,-0.13,0.22,-0.14,-0.08,0.07
0.91,0.08,-0.02,-0.39,-0.13,-0.07,-0.05,0.07
0.88,0.08,-0.02,-0.49,-0.56,0.06,-0.03,0.08
0.64,0.08,0.01,-0.30,-0.90,0.23,-0.02,0.08
0.27,0.08,-0.01,0.16,-1.00,0.36,-0.03,0.09
-0.32,0.08,0.01,0.56,-0.78,0.41,-0.05,0.09
-1.17,0.09,0.01,0.58,-0.35,0.36,-0.10,0.08
-1.86,0.09,-0.07,0.32,0.18,0.22,-0.15,0.07
-1.59,0.10,-0.13,0.05,0.69,0.02,-0.19,0.05
