Original Signal,Approximation,D 1,D 2,D 3,D 4,D 5,D 6
0.14,-0.08,0.09,0.29,-1.22,-0.10,-0.02,0.11
0.55,-0.07,-0.29,0.70,-1.11,-0.23,0.03,0.11
1.02,-0.06,0.17,0.60,-0.71,-0.32,0.10,0.11
1.31,-0.06,0.16,0.26,-0.16,-0.34,0.18,0.11
1.31,-0.06,-0.01,-0.04,0.38,-0.27,0.25,0.12
1.20,-0.06,-0.09,-0.12,0.83,-0.13,0.31,0.13
0.79,-0.06,0.00,-0.19,1.09,0.05,0.35,0.14
0.44,-0.06,-0.05,-0.44,1.08,0.21,0.37,0.16
-0.08,-0.06,0.03,-0.47,0.76,0.29,0.35,0.16
-0.86,-0.06,0.04,-0.05,0.14,0.27,0.31,0.16
-0.76,-0.05,-0.19,0.34,-0.60,0.17,0.25,0.15
-0.38,-0.05,0.10,0.40,-1.18,0.01,0.18,0.15
0.09,-0.04,0.12,0.23,-1.38,-0.16,0.12,0.14
0.70,-0.04,-0.02,0.01,-1.12,-0.29,0.09,0.13
1.23,-0.04,0.00,-0.08,-0.50,-0.37,0.07,0.13
1.31,-0.04,0.05,-0.14,0.23,-0.38,0.07,0.13
1.32,-0.04,-0.09,-0.33,0.80,-0.30,0.06,0.14
1.21,-0.04,-0.03,-0.37,1.06,-0.14,0.05,0.15
0.97,-0.04,0.02,-0.11,0.96,0.06,0.03,0.16
0.41,-0.04,0.04,0.16,0.59,0.25,-0.01,0.17
-0.82,-0.04,0.05,0.34,0.15,0.37,-0.07,0.17
-1.35,-0.04,-0.25,0.41,-0.21,0.40,-0.15,0.16
-1.95,-0.03,0.11,0.27,-0.36,0.33,-0.23,0.15
-1.62,-0.03,-0.07,-0.01,-0.26,0.23,-0.31,0.13
-0.55,-0.02,0.04,-0.16,-0.02,0.11,-0.36,0.11
-0.02,-0.02,0.27,-0.07,0.20,0.01,-0.36,0.09
0.51,-0.01,-0.09,0.01,0.30,-0.06,-0.34,0.07
0.78,-0.01,-0.07,-0.12,0.17,-0.08,-0.30,0.06
0.89,-0.01,-0.03,-0.34,-0.15,-0.04,-0.25,0.06
0.84,-0.01,-0.01,-0.49,-0.50,0.07,-0.21,0.06
0.57,-0.01,0.01,-0.35,-0.76,0.21,-0.18,0.06
0.27,-0.01,-0.03,0.16,-0.81,0.32,-0.16,0.06
-0.37,-0.01,0.05,0.59,-0.62,0.34,-0.16,0.05
-1.06,-0.01,-0.04,0.57,-0.26,0.27,-0.18,0.04
-1.62,-0.01,-0.05,0.31,0.18,0.11,-0.21,0.02
-1.35,-0.01,-0.10,0.04,0.60,-0.08,-0.24,0.00
-0.49,-0.01,0.08,-0.16,0.92,-0.30,-0.23,-0.03
0.39,-0.01,0.16,-0.22,1.09,-0.52,-0.20,-0.05
0.78,-0.01,0.08,-0.13,1.02,-0.70,-0.14,-0.06
0.89,-0.01,-0.10,-0.05,0.66,-0.79,-0.06,-0.07
0.88,-0.01,-0.10,-0.14,0.06,-0.78,0.01,-0.08
0.84,-0.02,-0.02,-0.39,-0.64,-0.65,0.07,-0.08
0.56,-0.02,0.06,-0.42,-1.19,-0.44,0.11,-0.07
-0.12,-0.03,0.04,-0.02,-1.38,-0.19,0.12,-0.07
-0.98,-0.04,-0.05,0.50,-1.18,0.08,0.12,-0.08
-1.51,-0.04,-0.10,0.65,-0.65,0.34,0.09,-0.09
-1.62,-0.04,0.01,0.37,-0.01,0.56,0.06,-0.10
-1.56,-0.04,0.10,-0.02,0.56,0.70,0.02,-0.12
-0.96,-0.04,-0.03,-0.18,0.98,0.77,0.01,-0.14
-0.11,-0.04,0.04,-0.11,1.18,0.74,0.02,-0.16
0.45,-0.04,0.11,-0.09,1.14,0.64,0.05,-0.17
0.81,-0.04,-0.04,-0.24,0.84,0.48,0.09,-0.18
0.93,-0.05,-0.05,-0.34,0.29,0.26,0.12,-0.18
0.93,-0.05,-0.04,-0.27,-0.38,0.02,0.14,-0.17
0.81,-0.06,0.00,-0.14,-0.96,-0.19,0.14,-0.16
0.38,-0.06,0.04,0.06,-1.23,-0.34,0.11,-0.16
-0.17,-0.07,-0.03,0.34,-1.12,-0.41,0.06,-0.15
-0.93,-0.07,0.00,0.48,-0.68,-0.41,0.00,-0.16
-1.39,-0.08,-0.08,0.36,-0.07,-0.33,-0.07,-0.17
-1.24,-0.08,-0.04,0.09,0.50,-0.20,-0.12,-0.18
0.01,-0.08,-0.03,-0.11,0.91,-0.03,-0.14,-0.20
0.45,-0.08,0.37,-0.17,1.09,0.15,-0.13,-0.21
0.95,-0.09,-0.11,-0.12,1.00,0.28,-0.10,-0.21
1.12,-0.09,-0.07,-0.07,0.64,0.32,-0.04,-0.21
1.12,-0.10,-0.04,-0.18,0.09,0.26,0.01,-0.21
1.16,-0.11,-0.04,-0.45,-0.52,0.11,0.06,-0.19
0.70,-0.11,0.10,-0.44,-1.02,-0.07,0.09,-0.17
0.29,-0.12,-0.07,0.07,-1.22,-0.25,0.10,-0.15
-0.60,-0.13,0.06,0.56,-1.08,-0.40,0.09,-0.14
