Original Signal,Approximation,D 1,D 2,D 3,D 4,D 5,D 6,D 7
-8.000000000000000167e-02,3.794906028323546954e-01,-7.836663013169667402e-04,4.263652885326975617e-01,-3.319094813359303453e-01,-1.604813567779805883e-01,-1.015450543419876839e-01,1.512861745815108905e-01,-5.368628542818063010e-02
-9.200000000000000400e-01,3.757815058277463871e-01,2.829598902285044848e-01,-8.510455974562897152e-02,-5.224143129562305310e-01,-2.328678888581006967e-01,-1.238656123379457130e-01,1.422232464105766259e-01,-5.608406775814264722e-02
2.200000000000000011e-01,3.716721679793784650e-01,-5.984021765691038830e-01,-2.188865457863495290e-01,-4.316558231697628090e-01,-1.954399796243129206e-01,-9.922537506276596364e-02,1.556601849000840421e-01,-5.133509847402778492e-02
-2.000000000000000042e-02,3.680013311462274617e-01,2.900961894323341728e-01,4.439185628167572478e-02,-8.327970754317332025e-02,-6.530171048010516288e-02,-3.494972829028414329e-02,1.768312062040091059e-01,-3.883882120100906610e-02
4.799999999999999822e-01,3.642122568967876006e-01,-1.264359353944898290e-01,-1.338140877365273373e-01,2.682905153241347262e-01,2.495027105359359787e-02,2.454715779019717159e-02,2.000344169405403327e-01,-2.822835495867059841e-02
9.200000000000000400e-01,3.623493271869889232e-01,-4.722431864335463469e-02,-3.610395856167688544e-01,5.006829997388666520e-01,1.496107671469326661e-01,7.931349027915896022e-02,2.146112140850315320e-01,-2.019767616835432822e-02
1.260000000000000009e+00,3.624096434668189759e-01,3.964101615137749501e-02,-1.938849349188049298e-01,5.701775495863513621e-01,1.709095107269627545e-01,1.067518795894996375e-01,2.031209685192687520e-01,-2.047802593250644398e-02
1.370000000000000107e+00,3.647401733311195771e-01,8.769709581221607486e-02,-1.508473224071866792e-01,3.837124760831157055e-01,1.152725284817229245e-01,9.548197612513378840e-02,1.723537104991296753e-01,-2.701262053530398277e-02
1.169999999999999929e+00,3.674153003029078102e-01,1.269134295108992339e-01,-1.584955758970065243e-01,1.067201344690408837e-01,7.504526027265046029e-02,8.206690963915458381e-02,1.404612538461277871e-01,-3.309188078346131379e-02
-2.200000000000000011e-01,3.663913063210841869e-01,4.347595264191643771e-01,9.116174925030307019e-03,-8.444361778251784079e-02,6.976028635546455137e-02,6.441279916122966132e-02,1.089825645573780644e-01,-3.391209641097298055e-02
