Original Signal,Approximation,D 1,D 2,D 3,D 4,D 5,D 6,D 7
7.299999999999999822e-01,2.528029913115736882e-01,2.753049082826208860e-02,5.297098208354525939e-01,-2.554780047409599408e-01,-2.991337860413780803e-01,1.398257172569757345e-01,-1.536980568164766636e-01,1.220892886508003206e-01
3.800000000000000044e-01,2.517690090223492771e-01,1.636297632095822241e-01,2.580968676455118738e-01,-1.476656415623959773e-01,-1.422851598642213555e-01,9.569715573994320990e-02,-1.820889366436690415e-01,1.166095786191556627e-01
9.200000000000000400e-01,2.526408940129190595e-01,-2.691682389825159061e-01,-1.987764058318574611e-01,-2.601000508659882526e-01,-5.277725079038823874e-02,9.018886064935377478e-02,-2.026373084683508463e-01,1.118029342689452199e-01
9.100000000000000311e-01,2.522868352239602263e-01,1.063878406783226316e-01,-1.099077799089844265e-01,-1.203233155283833788e-01,5.880515161693262993e-02,1.296042433536018501e-01,-2.134537397304686335e-01,1.073256030935637595e-01
6.600000000000000311e-01,2.498541889426152407e-01,1.322900172474266167e-01,-9.982168731257567984e-02,5.137737003928255497e-02,1.054250605789687767e-01,1.370840156582838198e-01,-2.165465357494650855e-01,1.069070464793950848e-01
9.000000000000000222e-01,2.490022158761656113e-01,-1.453765877365273962e-01,-1.809671275669467727e-01,1.983857519180859397e-01,2.087737835894481753e-01,1.389221971510363751e-01,-2.088288233560995355e-01,1.070160223083118922e-01
1.120000000000000107e+00,2.476458612885030774e-01,-3.800798494467161337e-02,4.164183315065839164e-02,3.992900788930564548e-01,2.794938698735051075e-01,1.365427932876830119e-01,-1.819403483337860006e-01,1.075607244747335545e-01
6.600000000000000311e-01,2.468424346915644163e-01,2.340544456622767333e-01,7.890222283113840218e-02,3.394338630001823010e-01,2.295786081425615077e-01,9.038839076912177917e-02,-1.681029351385410764e-01,1.134328020286168859e-01
1.120000000000000107e+00,2.490557905561421870e-01,-2.519615242270664135e-01,-7.273477771688618976e-02,1.288179385870064642e-01,1.525238404485635135e-01,5.461291669037147967e-02,-1.615157454970519435e-01,1.231634166029836053e-01
1.120000000000000107e+00,2.521460497423779756e-01,7.290707856478950699e-02,4.018550376383211997e-02,-7.955597164192640403e-03,-5.242801203982516700e-03,1.891195605152767856e-02,-1.472264381954131174e-01,1.292832479056789663e-01
3.800000000000000044e-01,2.552189843678926984e-01,2.948076211353315434e-01,3.611978202874277510e-02,-1.132286174904206244e-01,-7.717808384699217927e-02,-4.324494096868788939e-03,-1.291156403833446931e-01,1.326296943683409890e-01
-9.699999999999999734e-01,2.566688488361492659e-01,2.760335737772480202e-01,-1.249058530658680999e-01,-1.716679152595226854e-01,-8.193159171717181999e-02,-4.331980538367103534e-02,-1.060845919088881095e-01,1.353602437364280209e-01
-1.000000000000000056e-01,2.572268908471036508e-01,-7.023252250232364657e-01,2.297287196153308120e-01,-1.191660384965279040e-01,-3.351748562874301562e-02,-9.780637011908857592e-02,-1.013626521395294966e-01,1.357844022626362168e-01
-9.699999999999999734e-01,2.573471285545008147e-01,3.910769515458674128e-01,6.185178967324590493e-01,-1.034071064962274189e-01,-4.367910389598833598e-02,-1.549771617024926773e-01,-1.023913931192563104e-01,1.359027334044457247e-01
3.800000000000000044e-01,2.584322886852234991e-01,-5.989230484541325783e-01,2.190912643056312503e-01,-1.233903870359877031e-01,-7.331805444595818066e-02,-2.285920320460913813e-01,-1.144568585808825312e-01,1.361288527439604712e-01
-3.599999999999999867e-01,2.589957871000766465e-01,5.106041743770056707e-01,-3.105311690414396253e-01,-3.014971695275353580e-02,-1.866798729836804949e-02,-2.588538120635071604e-01,-1.189297462578768477e-01,1.361913559354725467e-01
-6.099999999999999867e-01,2.579358858248502195e-01,2.391016151377542420e-02,-4.732859091200045665e-01,1.857010535880260216e-01,2.125822387711162609e-02,-2.526200587836491263e-01,-1.136457352548725375e-01,1.361414694465396535e-01
-7.600000000000000089e-01,2.571058890396048513e-01,-7.898874705820463360e-02,-3.172447126356909841e-01,3.761637628347335172e-01,9.838500502079489118e-02,-2.316136718111637960e-01,-9.776822433974048654e-02,1.414238695507418209e-01
6.600000000000000311e-01,2.550449927460387567e-01,-5.453156060800030680e-01,2.126654257470670939e-01,5.025247766337160860e-01,1.607946270379662090e-01,-2.494956421183325557e-01,-8.616305241965480088e-02,1.478394793207389868e-01
-9.699999999999999734e-01,2.555253225588730581e-01,8.979293994002421897e-01,2.089210059559302723e-01,5.343855129717395291e-01,1.264576800999572259e-01,-3.134877022008252800e-01,-8.747180980365312775e-02,1.531315400164233176e-01
-9.699999999999999734e-01,2.576743246262852560e-01,-2.775609816565242083e-01,-3.455676717092227013e-01,2.346647792834141988e-01,5.778005676958208880e-02,-3.502449506066563356e-01,-7.093015177115212511e-02,1.558239446475017109e-01
3.800000000000000044e-01,2.598966713760363922e-01,-6.101889258194067578e-01,-2.682046181365432824e-02,-7.217757948245680233e-02,4.043432835893812083e-02,-3.821758450809545904e-01,-5.498491739363894903e-02,1.541335318582949254e-01
9.000000000000000222e-01,2.619910537876140033e-01,1.599166975080229258e-01,4.707855931444330788e-01,-2.074616417355718001e-01,3.732644427604875359e-02,-3.815331896429042247e-01,-4.757888359543860357e-02,1.516326442025714427e-01
3.800000000000000044e-01,2.644014139649809580e-01,4.311168762692250134e-01,-2.343257260469458481e-01,-3.374192640497038487e-01,2.390538241552497833e-02,-3.638779137710195233e-01,-2.334682877570835868e-02,1.486458813645316068e-01
