Original Signal,Approximation,D 1,D 2,D 3,D 4,D 5,D 6
7.299999999999999822e-01,1.266808040482000075e-01,3.033462334784809977e-01,-2.145071007716572165e-01,1.654375784363356361e-01,-1.161775897120614354e-01,-4.074453492264121235e-02,9.415343961893418712e-02
3.800000000000000044e-01,1.285476112850114094e-01,1.259406054324593571e-01,-2.059176524973660993e-01,1.685362069405857421e-01,-1.043133175806142121e-01,-7.160259151259348864e-02,9.581058170721276634e-02
9.200000000000000400e-01,1.300495859144428779e-01,-2.835002119218600347e-01,-1.178067162809676161e-02,2.115154479832098144e-01,-1.180673328625045093e-01,-9.602935927338415723e-02,9.572989366326239979e-02
9.100000000000000311e-01,1.312491173382575593e-01,1.963508715840562857e-01,3.314687865964045521e-01,2.571982791732763118e-01,-1.462826610190758325e-01,-1.093926514216322921e-01,9.286788545929891558e-02
6.600000000000000311e-01,1.323467427204363944e-01,3.202550685470889613e-02,2.840242076625004164e-01,3.437762622477528729e-01,-1.569127840079621583e-01,-1.171637818892872634e-01,9.037826897748885147e-02
9.000000000000000222e-01,1.334902747844911308e-01,-1.895030289146584779e-01,-2.415274376891520247e-01,3.007257248678996686e-01,-1.165914826646908820e-01,-1.269255653312373888e-01,9.064611028324157105e-02
1.120000000000000107e+00,1.345706457803356459e-01,6.778410294726400220e-02,-3.538450507216728269e-01,7.054968343093870331e-02,-4.044843540235949775e-02,-1.393204942888993658e-01,9.202993100940573545e-02
6.600000000000000311e-01,1.358224133816844925e-01,1.701729723876573841e-01,-1.073344245483227044e-01,-1.546230315363764096e-01,3.141954702694699231e-02,-1.461408060718090152e-01,9.403911080791568788e-02
1.120000000000000107e+00,1.375342069457519967e-01,-2.833850754705356523e-01,-4.717147068095250972e-02,-3.874963475355935882e-01,6.680121358146061394e-02,-1.501978725459556796e-01,9.557329682629447931e-02
1.120000000000000107e+00,1.400393322725558831e-01,1.724600713225888926e-01,9.048538069766892677e-02,-4.526058539562253236e-01,1.012072826107699858e-01,-1.541463776452059731e-01,9.457233860993749519e-02
3.800000000000000044e-01,1.436685573794319604e-01,1.371211934870329441e-01,2.211657376190476754e-01,-3.509164019756322306e-01,1.438463903331565208e-01,-1.569577802553252521e-01,9.317156615263941233e-02
-9.699999999999999734e-01,1.478743420534472941e-01,-8.585957710145800115e-02,5.259272512496399044e-02,-2.792748909104288968e-01,1.731200645321062104e-01,-1.645404773283158650e-01,9.308293116820176571e-02
-1.000000000000000056e-01,1.523351844271511879e-01,-5.359673102910891274e-01,-1.516805074149579768e-02,-1.355227898757717098e-01,1.893178684519790655e-01,-1.718331851220868955e-01,9.211163815822004386e-02
-9.699999999999999734e-01,1.572770856705777986e-01,6.814754285289693625e-01,3.271796619943656559e-02,-2.312764594246374816e-02,1.714806760194858282e-01,-1.730371963680387426e-01,9.021635080101028659e-02
3.800000000000000044e-01,1.620527289220103362e-01,-4.447136615257702985e-01,-1.272566917793512831e-01,9.292727251966495516e-02,1.311562808059941188e-01,-1.599710437234119209e-01,8.907445128460822481e-02
-3.599999999999999867e-01,1.666479668572243278e-01,5.309865115694989424e-01,-4.874917297878716971e-02,3.013544426088909933e-01,6.978575751059369614e-02,-1.346796357014632128e-01,8.777515609042588207e-02
-6.099999999999999867e-01,1.713763731663997814e-01,-2.845319840303968117e-01,3.417787733891688995e-01,4.001113804745326519e-01,3.008228440364364709e-03,-1.101416986458602920e-01,8.787931796212319902e-02
-7.600000000000000089e-01,1.757055375550631848e-01,-1.422164431949058394e-01,2.236536458862389831e-01,3.722422313704078500e-01,-7.025067377359119070e-02,-8.476651100135075556e-02,9.104905417330608208e-02
6.600000000000000311e-01,1.795659514370804566e-01,-1.737336301552297457e-01,-3.290139688075909841e-01,2.363003489830283743e-01,-1.640635399348338574e-01,-6.365503861157384424e-02,9.461684867868311311e-02
-9.699999999999999734e-01,1.834923201218961186e-01,8.267125870704341573e-01,-5.401798539216660089e-01,-2.795610549416238655e-03,-2.411198998870718868e-01,-5.396633229525238384e-02,9.802005464260674095e-02
-9.699999999999999734e-01,1.873068273184063937e-01,-7.017741593777131470e-01,-2.754330774676548854e-01,-1.895328025049192733e-01,-2.963728450647286072e-01,-5.057419075127469327e-02,1.017833388799234684e-01
3.800000000000000044e-01,1.908292304638247172e-01,-2.408465897822191226e-01,2.941333846310850153e-01,-2.464254601270358669e-01,-3.124555826527096736e-01,-5.216742942266153898e-02,1.039784513307101532e-01
9.000000000000000222e-01,1.948227301079691609e-01,5.849735254760395353e-01,5.346561194911969572e-01,-2.390261946656837000e-01,-3.005908196417926836e-01,-5.728866801698773159e-02,1.041421665262477758e-01
3.800000000000000044e-01,1.991467761986866758e-01,1.510485850542071518e-01,-2.000778197212735310e-02,-2.079666757118491249e-01,-2.561187176418388001e-01,-6.509251990987144354e-02,1.028475415257047998e-01
5.000000000000000278e-02,2.033425419568608561e-01,-3.841657313414961195e-01,-2.397969537034302934e-01,-1.479621577879133842e-01,-1.780128912401619523e-01,-6.990884909895184185e-02,9.900236004067719531e-02
3.800000000000000044e-01,2.070098168286324258e-01,-1.772448004148269585e-01,3.005240603345747941e-01,-6.066028392975308936e-02,-8.279542991204576208e-02,-6.855598996233180920e-02,9.391522243456815189e-02
1.500000000000000000e+00,2.097336466184845927e-01,7.504111513884521856e-02,1.292645727431320779e-01,6.732352794588825073e-02,5.734942261818877507e-02,-5.908782492146704562e-02,8.861514508074386232e-02
5.000000000000000278e-02,2.116114114134229063e-01,6.478735013300498391e-01,-6.038946074658818608e-01,2.609338789160696725e-01,1.981402870104337077e-01,-3.664822927173851802e-02,8.303429271237430798e-02
8.000000000000000444e-01,2.128849588046756169e-01,-7.905914591934566360e-01,-2.993857858641158498e-01,4.159010429599681036e-01,3.035872959535567683e-01,-7.330347854087870818e-03,7.830772542371811085e-02
3.800000000000000044e-01,2.137768561877574636e-01,3.262563014839051645e-01,5.564113197501737718e-01,3.717950260346664648e-01,3.541576223074009433e-01,2.218273876626439267e-02,7.552014972087656153e-02
9.000000000000000222e-01,2.143544739228436524e-01,-1.097439330929015633e-01,4.783081224278352694e-01,1.874670551473055224e-01,3.570759949882051365e-01,4.557578049486082916e-02,7.373238298014347936e-02
1.120000000000000107e+00,2.144748369162481905e-01,1.172421609245670737e-01,-2.328876416428115603e-01,-8.650332680909783578e-02,3.285754170728420465e-01,6.470408739799869691e-02,7.262245444565051944e-02
3.800000000000000044e-01,2.143016374054254325e-01,1.643856776093285954e-01,-3.351220377082682611e-01,-3.802776620973799537e-01,2.780431662053202135e-01,8.189827077671012201e-02,7.258709932291271261e-02
1.120000000000000107e+00,2.146404340146006451e-01,-4.525110231002623662e-01,1.142597021689251147e-01,-4.551670445736825665e-01,2.265493442582225403e-01,9.210950172687125403e-02,7.193848882803580147e-02
