Original Signal,Approximation,D 1,D 2,D 3,D 4,D 5,D 6,D 7
-1.000000000000000056e-01,3.533766281247098240e-01,2.212435565298213891e-01,4.812410824009611399e-01,-7.580767607149749843e-01,2.336860442427698137e-01,1.374441555659444703e-02,-1.213796412375949818e-01,1.736474744677103110e-01
-8.599999999999999867e-01,3.514134038604363464e-01,2.090720495501817433e-01,-2.239334612656297407e-01,-7.684933676635964384e-01,1.514865728401943445e-01,-1.011930001335896723e-01,-1.374922202097124124e-01,1.722430146550399388e-01
-2.500000000000000000e-01,3.484828503682459999e-01,-4.285159698893429847e-01,-3.533103881087458209e-01,-4.718293321683246222e-01,1.893196270166614403e-01,-1.796789305674390547e-01,-1.370166602334978445e-01,1.777175035561712746e-01
-2.500000000000000000e-01,3.460860968841968921e-01,8.295517328095664000e-02,1.213654041877837847e-01,1.245154361337751925e-01,3.135482979836533568e-01,-1.857805974222779544e-01,-1.097553469801204606e-01,1.897790377130723349e-01
5.500000000000000444e-01,3.429471341155614361e-01,-2.173862066797608295e-01,4.747112003928256191e-02,5.458061952046766585e-01,3.408602538765881373e-01,-1.741510688283384733e-01,-6.400747713345794621e-02,2.010712386927117068e-01
1.439999999999999947e+00,3.425092888904002209e-01,-1.039406523420375317e-01,-2.822823945403609702e-01,7.168418403938985328e-01,3.364903569573214903e-01,-1.701950056850692339e-01,-2.614953581932311089e-02,2.089093062518727895e-01
1.239999999999999991e+00,3.443051379413845647e-01,3.640063509461095581e-01,-4.073740673456328620e-01,7.553124344250350397e-01,2.565564161355394779e-01,-1.691627325471929122e-01,-6.557775157050860226e-03,2.128002512735625851e-01
1.500000000000000000e+00,3.483151439829573759e-01,-5.735099890395101152e-02,-4.653796938165304375e-01,4.957482744597028201e-01,5.801346931645162686e-02,-2.377380673437145264e-01,-1.022536440328081220e-02,2.129941104842789090e-01
1.280000000000000027e+00,3.527025117893365369e-01,1.218301270189221519e-01,-1.569522906524560835e-01,2.138871036552682792e-01,-1.296591251127561517e-01,-2.989766921740665828e-01,4.992697656225897340e-04,2.095710327299386555e-01
-2.500000000000000000e-01,3.541171331197522920e-01,4.912963681935362814e-01,2.205163552579661457e-01,2.793708768227268213e-02,-1.935853044969930437e-01,-3.323058804738142080e-01,7.688232976167497235e-03,2.106960690983268325e-01
-6.199999999999999956e-01,3.531749329481648214e-01,-2.762740473580834744e-01,3.491489085719799990e-01,-3.442858754058124582e-01,-2.937103348425472715e-01,-3.908677700463759619e-01,4.487481046853869504e-03,2.091993748593088398e-01
5.200000000000000178e-01,3.514843529895103069e-01,-6.218219570261127593e-01,7.111236357149750553e-01,-6.806786093500651891e-01,-3.583121743262450698e-01,-4.519464566378113002e-01,7.505941829886175753e-04,2.001933677784766274e-01
-1.700000000000000122e-01,3.502220192254074105e-01,4.867820323027550744e-01,6.361448929686269738e-01,-7.838938659367714612e-01,-3.805963912263199966e-01,-5.002197497131948278e-01,-8.677103377492889624e-03,1.956812796626980488e-01
3.499999999999999778e-01,3.492392687926365591e-01,-2.457660624134119787e-01,-2.718461200392824351e-01,-7.595720485678478795e-01,-3.575101230343732950e-01,-5.044653310691844528e-01,-4.616914697418428304e-03,1.917874603300959158e-01
-2.500000000000000000e-01,3.476389209808747327e-01,2.717644284148501010e-01,-5.895923741494664139e-01,-3.854210974976653992e-01,-1.953063217163332477e-01,-4.382916456914349168e-01,1.193519960686273418e-02,1.907445118888574931e-01
8.000000000000000167e-02,3.456151147803818713e-01,-2.151137933202391384e-01,-1.763548757212004825e-01,2.617995099523987568e-01,2.645009450353374980e-02,-3.065764224818342543e-01,5.755049906201986643e-02,1.968072074512614567e-01
6.099999999999999867e-01,3.440524017433607695e-01,-1.534021765691039041e-01,5.472592951089920443e-02,6.288278146959345172e-01,1.885826743172027142e-01,-1.647457623966048224e-01,9.655408060713560614e-02,1.971220740774374813e-01
9.799999999999999822e-01,3.438301428239932123e-01,3.633974596215555630e-02,5.198675082203677023e-02,7.813782967996472095e-01,2.363629146336101439e-01,-6.084432254009952690e-02,1.323384863454755700e-01,1.938553297822427912e-01
1.610000000000000098e+00,3.479169666404929306e-01,-7.415063509461095048e-02,-1.697900172474265668e-01,7.072013242838967040e-01,2.072267563705106619e-01,2.458169616247768419e-02,1.527977836931852518e-01,1.839972900122435195e-01
1.889999999999999902e+00,3.553905640784071340e-01,9.573557158514989229e-02,-3.350988638816795318e-01,2.765341306638330332e-01,6.676513123254554372e-02,6.819398558510675334e-02,1.716178842819698902e-01,1.706803995188651280e-01
4.600000000000000200e-01,3.618181569410184872e-01,6.160030829489857584e-01,-2.960127481542537131e-01,3.255662018149446668e-02,-4.076908782215615812e-02,1.183458951577020801e-01,1.871487123050224466e-01,1.577238841714663220e-01
2.300000000000000100e-01,3.673465406961823887e-01,-2.533317610174840584e-01,-7.693790849964055045e-02,-1.230092537586262580e-01,-1.163853639036689647e-01,1.372376912457989040e-01,1.882679402878862929e-01,1.428785407791558493e-01
