sl.no,spi
1,-0.20
2,-0.04
3,0.33
4,0.70
5,0.96
6,1.20
7,1.23
8,1.02
9,0.55
10,-0.34
11,-0.71
12,-0.39
13,-0.20
14,0.13
15,0.30
16,0.74
17,1.12
18,1.44
19,1.36
20,1.01
21,0.37
22,-0.17
23,-0.71
24,-0.83
25,-0.71
26,-0.55
27,-0.27
28,0.45
29,0.86
30,1.14
31,1.10
32,0.95
33,0.53
34,0.10
35,-0.71
36,-0.49
37,-0.62
38,-0.27
39,-0.09
40,0.53
41,1.02
42,1.26
43,1.15
44,0.72
45,0.15
46,-0.43
47,-0.20
48,-0.17
49,-0.17
50,-1.01
51,-0.83
52,0.00
53,0.69
54,1.09
55,1.21
56,1.04
57,0.61
58,0.12
59,-0.49
60,-0.34
61,-0.34
62,-0.34
63,-0.43
64,0.51
65,0.95
66,1.32
67,1.18
68,0.90
69,0.44
70,0.10
71,-0.12
72,-1.01
73,-0.83
74,-0.83
75,-0.34
76,0.06
77,0.57
78,0.87
79,0.89
80,0.68
81,0.35
82,0.08
83,-0.20
84,-0.62
85,-0.62
86,-0.39
87,-0.14
88,0.34
89,0.74
90,0.99
91,0.99
92,0.72
93,0.26
94,-0.43
95,-1.01
96,-4.90
97,-0.71
98,-0.62
99,-0.27
100,0.44
101,0.88
102,1.23
103,1.23
104,0.93
105,0.35
106,-0.71
107,-1.01
108,-0.34
109,-0.17
110,-0.07
111,0.47
112,0.82
113,1.13
114,1.31
115,1.30
116,1.22
117,0.79
118,0.39
119,-0.34
120,-4.85
121,-1.01
122,-1.01
123,-1.01
124,0.13
125,0.82
126,1.17
127,1.20
128,0.87
129,0.48
130,0.02
131,-0.23
132,-0.83
133,-1.01
134,-0.83
135,-0.17
136,0.33
137,0.87
138,1.22
139,1.21
140,0.88
141,0.26
142,-0.27
143,-0.55
144,-1.01
145,-0.83
146,-0.39
147,-0.07
148,0.49
149,0.97
150,1.21
151,1.23
152,0.98
153,0.58
154,0.00
155,-4.85
156,-1.01
157,-1.01
158,-0.71
159,-0.09
160,0.45
161,1.18
162,1.42
163,1.44
164,0.99
165,0.51
166,-0.04
167,-0.23
168,-0.23
169,-0.12
170,-0.39
171,0.12
172,0.40
173,1.01
174,1.16
175,1.26
176,0.97
