Original Signal,Approximation,D 1,D 2,D 3,D 4,D 5,D 6
-2.000000000000000111e-01,2.031618324366190054e-01,-1.534807621135331202e-01,3.497250662495837714e-01,-8.864720121031213207e-01,-1.760182486602857033e-01,-4.622852732470701387e-01,1.120340082147243399e-01
-4.000000000000000083e-02,2.192915010487518912e-01,-1.443653347947320975e-01,3.635768358907810471e-01,-9.248967803147967182e-01,-1.350391171627704223e-01,-4.202541854155459333e-01,1.420412575168707170e-01
3.300000000000000155e-01,2.345151082460396330e-01,-9.642304845413264547e-02,2.039482750491030394e-01,-7.087615053070692728e-01,-2.673217499127271413e-02,-3.283189968610185083e-01,1.970923476948664155e-01
6.999999999999999556e-01,2.403442097100750574e-01,-1.921633369868303021e-02,-1.378268821528156052e-01,-3.488470054492813222e-01,1.258360241995965523e-01,-2.329347401525051209e-01,2.396777430181381008e-01
9.599999999999999645e-01,2.340992806044036034e-01,3.756569860407193984e-02,-3.798115904766500295e-01,7.737640465305697934e-02,2.813954467321575503e-01,-1.536334231185786381e-01,2.614569289232327454e-01
1.199999999999999956e+00,2.229259490273160504e-01,1.689582562299418722e-02,-3.643825070519792764e-01,4.619089918777294912e-01,4.000649817789396767e-01,-6.362965205318556194e-02,2.821532585243751723e-01
1.229999999999999982e+00,2.132328682753028559e-01,7.354646071760506665e-02,-2.095492276910194684e-01,6.724519476165322640e-01,4.450563262711702550e-01,5.178711746008368699e-04,2.875312870771806750e-01
1.020000000000000018e+00,2.063254062070677963e-01,1.011778579257492927e-01,-4.700360710371254136e-02,6.436122989788661819e-01,3.861256353614990755e-01,1.122891492516774059e-02,2.736365753279771940e-01
5.500000000000000444e-01,2.053652334653607303e-01,1.107531754730547435e-01,8.132127881293510496e-02,4.056688228182049327e-01,2.448543964384436444e-01,-7.066475687065018607e-03,2.498296802010074869e-01
-3.400000000000000244e-01,2.107887187732503387e-01,1.672243186433546025e-01,2.032855931444331188e-01,2.343294104023796454e-02,5.073823790715470405e-02,-3.798108360659774307e-02,2.150095741283387096e-01
-7.099999999999999645e-01,2.200871018134566426e-01,-1.391506350946109527e-01,3.458464591458710879e-01,-3.240079434830575034e-01,-1.727602340650923884e-01,-7.353274495067373129e-02,1.759181903227391430e-01
-3.900000000000000133e-01,2.331699262263977890e-01,-2.832226846447926105e-01,4.734433961844345951e-01,-5.244878433176091148e-01,-3.436296136086263164e-01,-1.017124828482037502e-01,1.461226103261970555e-01
