Original Signal,Approximation,D 1,D 2,D 3,D 4,D 5,D 6
-1.54,-0.09,0.62,0.17,-0.34,-0.59,0.16,-0.26
-1.54,-0.08,-0.65,0.55,-0.37,-0.45,0.12,-0.31
-1.20,-0.07,-0.33,0.99,-0.44,-0.29,0.08,-0.37
0.15,-0.06,-0.38,0.71,-0.38,-0.10,0.10,-0.41
1.20,-0.05,0.01,-0.42,-0.25,0.03,0.14,-0.42
1.20,-0.04,0.39,-1.20,0.17,0.16,0.20,-0.41
1.33,-0.04,0.05,-1.11,0.83,0.25,0.23,-0.38
1.33,-0.04,0.03,-0.38,1.19,0.30,0.23,-0.35
1.20,-0.06,0.06,0.33,1.16,0.29,0.18,-0.33
0.33,-0.08,0.26,0.42,0.57,0.19,0.13,-0.31
-1.21,-0.09,0.30,0.30,-0.40,0.07,0.08,-0.29
-2.44,-0.11,-0.04,0.44,-1.08,-0.02,0.03,-0.25
-1.21,-0.11,-0.87,0.80,-1.38,0.01,-0.02,-0.23
-0.66,-0.11,0.01,0.72,-1.14,0.12,-0.10,-0.22
-0.92,-0.10,0.34,-0.31,-0.47,0.27,-0.22,-0.24
-2.44,-0.10,0.50,-1.16,0.24,0.35,-0.32,-0.25
-1.20,-0.10,-0.83,-0.55,0.89,0.38,-0.38,-0.26
-0.92,-0.11,0.08,0.46,1.23,0.39,-0.38,-0.24
-0.66,-0.12,0.09,0.27,1.15,0.42,-0.37,-0.21
-0.92,-0.13,0.18,-0.47,0.76,0.40,-0.39,-0.18
0.15,-0.16,-0.41,-0.36,0.21,0.27,-0.44,-0.15
0.64,-0.17,0.08,0.06,-0.23,0.04,-0.51,-0.11
0.49,-0.18,0.27,-0.10,-0.45,-0.19,-0.56,-0.08
0.15,-0.18,0.12,-0.32,-0.47,-0.27,-0.57,-0.05
0.93,-0.18,-0.37,0.03,-0.49,-0.18,-0.57,-0.03
0.93,-0.17,0.16,0.40,-0.58,0.01,-0.56,-0.02
0.33,-0.16,0.28,0.12,-0.64,0.17,-0.54,-0.01
-0.66,-0.16,0.19,-0.15,-0.66,0.31,-0.49,0.01
-0.03,-0.17,-0.52,0.23,-0.54,0.49,-0.41,0.04
1.07,-0.17,-0.31,0.61,-0.33,0.70,-0.30,0.08
1.07,-0.18,0.33,0.15,-0.11,0.78,-0.15,0.13
1.20,-0.20,0.06,-0.64,0.13,0.68,-0.02,0.18
0.15,-0.21,0.39,-0.63,0.35,0.41,0.06,0.23
-0.44,-0.23,-0.05,-0.01,0.54,0.07,0.08,0.27
-0.92,-0.24,-0.08,0.51,0.52,-0.23,0.07,0.30
-0.03,-0.25,-0.48,0.72,0.30,-0.47,0.09,0.32
-0.03,-0.24,0.18,0.37,0.00,-0.72,0.14,0.32
-0.44,-0.23,0.22,-0.35,-0.25,-0.95,0.21,0.32
-0.44,-0.21,-0.10,-0.58,-0.17,-1.05,0.31,0.29
-0.22,-0.20,-0.11,-0.11,0.14,-1.02,0.41,0.26
-0.43,-0.20,0.13,0.17,0.45,-0.86,0.52,0.24
-0.43,-0.20,-0.03,0.00,0.56,-0.65,0.61,0.23
0.79,-0.21,-0.44,-0.01,0.37,-0.48,0.68,0.21
1.57,-0.21,0.04,0.04,0.07,-0.36,0.72,0.18
1.57,-0.21,0.31,-0.35,-0.15,-0.22,0.73,0.15
1.20,-0.22,0.20,-0.63,-0.17,-0.04,0.70,0.12
0.15,-0.23,0.27,-0.20,-0.11,0.15,0.60,0.10
-0.22,-0.23,-0.17,0.45,-0.16,0.31,0.52,0.10
-1.54,-0.23,0.26,0.74,-0.36,0.40,0.46,0.09
-1.54,-0.22,-0.36,0.65,-0.61,0.42,0.45,0.07
-1.93,-0.20,0.01,0.42,-0.75,0.47,0.44,0.06
-1.54,-0.19,-0.23,0.11,-0.58,0.56,0.42,0.06
-0.66,-0.18,-0.24,-0.24,-0.06,0.59,0.38,0.05
0.15,-0.17,-0.02,-0.46,0.54,0.54,0.32,0.04
0.93,-0.16,0.02,-0.65,1.09,0.38,0.22,0.01
1.07,-0.16,0.22,-0.70,1.29,0.18,0.09,-0.02
0.93,-0.15,0.15,-0.42,1.10,-0.05,-0.05,-0.05
-0.22,-0.15,0.37,-0.02,0.61,-0.20,-0.17,-0.07
-0.66,-0.15,-0.15,0.41,-0.12,-0.32,-0.29,-0.09
-1.54,-0.14,0.09,0.75,-0.78,-0.40,-0.40,-0.11
-0.03,-0.12,-0.78,0.78,-1.26,-0.39,-0.50,-0.12
-0.66,-0.11,0.51,0.33,-1.36,-0.29,-0.57,-0.14
-0.43,-0.08,-0.10,-0.42,-0.97,-0.10,-0.58,-0.15
-1.53,-0.06,0.38,-0.66,-0.33,0.11,-0.55,-0.17
-0.43,-0.05,-0.63,-0.10,0.39,0.37,-0.52,-0.19
-0.03,-0.05,0.04,0.34,0.87,0.54,-0.50,-0.20
-0.22,-0.05,0.27,0.02,0.90,0.60,-0.46,-0.21
0.79,-0.05,-0.36,-0.42,0.66,0.52,-0.41,-0.22
0.49,-0.06,0.34,-0.27,0.28,0.33,-0.37,-0.23
0.33,-0.06,0.07,-0.10,0.02,0.09,-0.33,-0.23
-0.03,-0.06,0.06,-0.06,-0.13,-0.12,-0.27,-0.21
-0.22,-0.05,-0.04,0.28,-0.27,-0.27,-0.22,-0.17
0.64,-0.04,-0.37,0.44,-0.37,-0.40,-0.19,-0.13
-0.03,-0.02,0.43,0.19,-0.57,-0.45,-0.18,-0.09
0.15,0.00,-0.15,-0.19,-0.52,-0.43,-0.12,-0.05
-0.66,0.01,0.26,-0.22,-0.34,-0.27,-0.03,-0.01
0.49,0.01,-0.58,0.14,-0.08,-0.06,0.08,0.04
0.79,0.02,0.11,0.25,0.26,0.17,0.18,0.09
1.33,0.02,0.00,-0.11,0.31,0.25,0.25,0.12
0.33,0.02,0.50,-0.52,0.34,0.22,0.28,0.14
0.79,0.02,-0.36,-0.33,0.26,0.13,0.29,0.15
0.64,0.01,0.07,0.26,0.16,-0.01,0.28,0.15
0.15,0.01,0.17,0.38,0.07,-0.08,0.25,0.15
