sl.no,spi
1,-0.35
2,-0.42
3,0.09
4,0.78
5,1.13
6,1.41
7,1.35
8,1.06
9,0.5
10,-0.6
11,-0.55
12,-0.1
13,0
14,0.08
15,0.21
16,0.61
17,1.13
18,1.55
19,1.45
20,1.07
21,0.14
22,-0.26
23,-0.91
24,-1.24
25,-1.24
26,-0.91
27,-0.46
28,0.34
29,0.73
30,1.11
31,1.09
32,0.95
33,0.42
34,-0.13
35,-0.73
36,-0.6
37,-0.73
38,-0.66
39,-0.46
40,0.34
41,1.03
42,1.32
43,1.19
44,0.6
45,-0.17
46,-0.91
47,-0.5
48,-0.46
49,-0.46
50,-1.04
51,-1.04
52,-0.15
53,0.68
54,1.11
55,1.29
56,1.03
57,0.55
58,-0.15
59,-0.73
60,-0.46
61,-0.42
62,-0.42
63,-0.46
64,0.69
65,1.05
66,1.46
67,1.22
68,0.9
69,0.29
70,-0.23
71,-0.35
72,-1.04
73,-0.91
74,-0.91
75,-0.55
76,-0.06
77,0.65
78,0.91
79,0.93
80,0.62
81,0.28
82,-0.04
83,-0.55
84,-0.66
85,-0.73
86,-0.66
87,-0.66
88,0.18
89,0.54
90,0.89
91,0.82
92,0.56
93,-0.04
94,-1.24
95,-5.41
96,-5.41
97,-0.81
98,-0.81
99,-0.66
100,0.51
101,0.97
102,1.4
103,1.27
104,0.93
105,0.22
106,-1.04
107,-1.24
108,-0.6
109,-0.46
110,-0.32
111,0.24
112,0.75
113,1.09
114,1.32
115,1.32
116,1.27
117,0.79
118,0.25
119,-1.03
120,-5.42
121,-1.24
122,-1.24
123,-1.24
124,0.13
125,0.78
126,1.25
127,1.19
128,0.82
129,0.14
130,-0.38
131,-0.66
132,-1.24
133,-5.42
134,-0.81
135,-0.35
136,0.14
137,0.74
138,1.21
139,1.27
140,0.9
141,0.14
142,-0.81
143,-0.91
144,-1.03
145,-0.73
146,-0.5
147,-0.35
148,0.32
149,1.03
150,1.39
151,1.4
152,0.97
153,0.36
154,-0.42
155,-5.46
156,-1.03
157,-1.03
158,-0.91
159,-0.32
160,0.53
161,1.31
162,1.57
163,1.55
164,0.99
165,0.43
166,-0.42
167,-0.38
168,-0.38
169,-0.23
170,-0.6
171,-0.23
172,0.14
173,1
174,1.26
175,1.34
176,0.86
177,0.38
178,-0.29
179,-1.03
180,-1.24
181,-0.81
182,-0.55
183,-0.55
184,-0.08
185,0.66
186,1.07
187,1.09
188,0.68
189,0.02
190,-0.55
191,-0.73
192,-0.91
193,-0.55
194,-0.2
195,-0.13
196,0.14
197,0.77
198,1.22
199,1.18
200,0.69
201,-0.17
202,-0.32
203,-0.29
204,-0.35
205,-0.55
206,-0.55
207,-0.42
208,0.11
209,0.59
210,0.9
211,0.92
212,0.79
213,0.52
214,0.18
215,-0.35
216,-1.24
217,-1.24
218,-1.24
219,-0.55
220,0.19
221,0.58
222,1.24
223,1.29
224,1.14
225,0.31
226,-0.6
227,-5.46
228,-0.66
229,-0.66
230,-0.6
231,-0.6
232,0.54
233,0.98
234,1.18
235,0.89
236,0.39
237,-0.23
238,-1.24
239,-1.24
240,-1.24
241,-0.81
242,-0.55
243,-0.23
244,0.62
245,1.07
246,1.38
247,1.16
248,0.82
249,0.19
250,-0.26
251,-0.55
252,-0.73
253,-0.55
254,-0.81
255,-0.5
256,0.26
257,0.56
258,0.98
259,0.81
260,0.63
261,-0.15
262,-0.66
263,-5.52
264,-0.81
265,-0.5
266,-0.42
267,-0.6
268,-0.26
269,0.76
270,1.34
271,1.56
272,1.33
273,0.74
274,0.22
275,-0.2
276,-0.2
277,-0.35
278,-0.66
279,-0.46
280,0.42
281,0.93
282,1.19
283,1.14
284,0.77
285,0.33
286,-0.6
287,-0.38
288,-0.38
289,-0.38
290,-1.24
291,-0.55
292,0.13
293,1.02
294,1.34
295,1.5
296,1.15
297,0.72
298,0.06
299,-1.24
300,-1.24
301,-0.66
302,-0.26
303,0.04
304,0.21
305,0.86
306,1.19
307,1.38
308,0.93
309,0.42
310,-0.73
311,-0.73
312,-0.81
313,-0.81
314,-0.81
315,-0.81
316,0.89
317,1.24
318,1.53
319,1.16
320,0.82
321,0.25
322,-0.6
323,-0.81
324,-0.73
325,-0.35
326,-0.35
327,-0.42
328,0.29
329,0.74
330,1.1
331,1.24
332,0.95
333,0.53
334,-1.24
335,0.65
336,0.73
337,-1.03
338,-0.91
339,-0.55
340,-0.15
341,1.03
342,1.32
343,1.34
344,0.65
345,0.08
346,-0.23
347,-0.38
348,-0.73
349,-0.81
350,-0.73
351,-0.46
352,0.26
353,1.03
354,1.31
355,1.42
356,0.98
357,0.61
358,0.04
359,-0.26
360,-0.38
361,-1.03
362,-0.15
363,-0.02
364,0.43
365,0.88
366,1.32
367,1.51
368,1.14
369,0.53
370,-0.73
371,-0.5
372,-0.5
373,-0.73
374,-0.6
375,-0.46
376,0.42
377,1.22
378,1.7
379,1.72
380,1.18
381,0.45
382,-0.5
383,-0.73
384,-1.24
385,-1.24
386,-0.46
387,-0.5
388,0.65
389,1.24
390,1.58
391,1.4
392,1.04
393,1.06
394,1.32
395,1.13
396,0.67
397,-0.55
398,-0.29
399,-0.38
400,0.06
401,0.97
402,1.27
403,1.47
404,1
405,0.59
406,-0.35
407,-1.24
408,-1.24
409,-0.66
410,-0.42
411,-0.29
412,0.62
413,0.91
414,1.27
415,1.21
416,0.95
417,0.41
418,-1.03
419,-1.03
420,-1.03
421,-0.91
422,-0.81
423,-0.6
424,0.22
425,0.93
426,1.25
427,1.41
428,1.09
429,0.7
430,-0.2
431,1.36
432,1.56
433,-0.81
434,-0.81
435,-0.73
436,0.18
437,1
438,1.33
439,1.35
440,0.92
441,0.43
442,-0.26
443,0.76
444,-1.03
445,-0.91
446,-0.46
447,-0.38
448,0.09
449,0.75
450,1.32
451,1.33
452,0.95
453,-0.02
454,-0.32
455,-0.35
456,-0.29
457,-0.66
458,-0.66
459,-0.55
460,0
461,0.91
462,1.45
463,1.74
464,1.42
465,0.83
466,-0.23
467,-1.03
468,-0.29
469,-0.08
470,-0.02
471,0.04
472,0.7
473,1.05
474,1.45
475,1.3
476,1.07
477,0.31
478,-0.35
479,-1.24
480,-1.24
481,-1.24
482,-0.91
483,-0.09
484,0.52
485,1.15
486,1.25
487,1.37
488,0.88
489,0.62
490,-0.06
