Original Signal,Approximation,D 1,D 2,D 3,D 4,D 5,D 6
-3.499999999999999778e-01,2.069043033209408411e-01,-9.475480947161668555e-02,4.331248843449138075e-01,-1.117883518588991043e+00,-1.366553496558545189e-01,-4.192170000103792593e-02,7.540081959248140508e-02
-4.199999999999999845e-01,2.187397944481462297e-01,-1.108188740771268582e-01,3.590119311549727632e-01,-1.134489593842342714e+00,-7.669655339642289515e-02,-1.082603238576361898e-01,6.169149204025259348e-02
8.999999999999999667e-02,2.244216274736496597e-01,-2.182050807568877149e-01,2.168893821528155852e-01,-8.439437873358119901e-01,4.565075070797909584e-02,-1.633399432661766792e-01,5.075468908649224953e-02
7.800000000000000266e-01,2.248606060087231240e-01,-1.145448267190433689e-01,-4.986054845413262493e-02,-3.690752896158676633e-01,2.132556941309591003e-01,-1.554932732756786895e-01,5.880937760168836181e-02
1.129999999999999893e+00,2.203966984249192684e-01,9.964101615137754830e-02,-3.850403563540153451e-01,1.758360964144954353e-01,3.883640425763645876e-01,-8.517880760342697033e-02,8.815904395989074271e-02
1.409999999999999920e+00,2.108298048048991569e-01,5.501760388790488676e-02,-5.617622702615615582e-01,6.458155867670726247e-01,5.208614005854821372e-01,-2.401182808944579694e-04,1.164859678466821230e-01
1.350000000000000089e+00,2.038059645143101561e-01,1.225176038879047802e-01,-4.099566222313806296e-01,8.968215359786295693e-01,5.443702523917844927e-01,5.847575444417885127e-02,1.292563086905726133e-01
1.060000000000000053e+00,1.984108277608140902e-01,1.096586200392825061e-01,-8.305006782131774123e-02,8.553626612164720866e-01,4.318919097165290211e-01,4.970296606057847399e-02,1.190422771709916810e-01
5.000000000000000000e-01,1.968371393301164840e-01,1.132531754730548013e-01,1.719009742011995967e-01,5.438134402905406839e-01,2.267199571822308135e-01,-4.278094172895124947e-03,9.276103481370892578e-02
-5.999999999999999778e-01,2.012796238830810158e-01,2.091201442663487842e-01,3.263636776651528404e-01,5.099760781203399596e-02,-2.010349609429812334e-02,-6.941347852761313442e-02,5.633783875875775227e-02
-5.500000000000000444e-01,2.099196484287785547e-01,-3.433188740771268010e-01,4.625431464584469632e-01,-4.235381038232383655e-01,-2.758516241178178285e-01,-1.303734870905812193e-01,2.115092956645067690e-02
-1.000000000000000056e-01,2.237276169228982203e-01,-2.418348439664699812e-01,5.509582099679080081e-01,-7.228836737410236912e-01,-4.656686074523247454e-01,-1.857211178979709665e-01,-8.879461513071368328e-03
0.000000000000000000e+00,2.389284918098617538e-01,8.292468245269449256e-02,2.321329618136542539e-01,-6.998215716574893719e-01,-5.838571855327293614e-01,-2.236909208427446116e-01,-2.404320147932750840e-02
8.000000000000000167e-02,2.517060430133924998e-01,3.885734985006057685e-02,-3.842735463343740498e-01,-3.829925526289830184e-01,-5.947523834860224401e-01,-2.342058570179895716e-01,-2.800407272063745734e-02
2.099999999999999922e-01,2.578070603660824744e-01,-1.524519052838328725e-02,-5.345895840450349823e-01,8.180514798880528238e-02,-5.118779478327276644e-01,-2.129322338200139164e-01,-2.408595265221336046e-02
6.099999999999999867e-01,2.576951735235024632e-01,-9.678203230275508884e-02,-2.291689865887451272e-01,5.633778661513231256e-01,-3.716589011144626475e-01,-1.363654802289036294e-01,-1.346920218536135083e-03
1.129999999999999893e+00,2.518606905783069005e-01,-6.568747686898279703e-02,-4.306370236790416084e-02,7.747112765509646115e-01,-2.106293578608083306e-01,-2.760307311461765445e-02,2.139622722158718293e-02
1.550000000000000044e+00,2.420230194142766467e-01,2.316987298107764381e-02,-8.148316684934146792e-02,7.064228248913817509e-01,-6.353483736914530833e-02,9.113389273503129384e-02,4.127123919441716415e-02
1.449999999999999956e+00,2.353680757738592644e-01,1.867339375865878504e-01,-1.959114101437140487e-01,4.286776421104203649e-01,4.999258103768172701e-02,1.914465778294779097e-01,4.473632377258518478e-02
