Original Signal,Approximation,D 1,D 2,D 3,D 4,D 5,D 6,D 7
-3.499999999999999778e-01,-6.999982558284513490e-02,-9.475480947161668555e-02,4.331248843449138075e-01,-1.117883518588991043e+00,-1.366553496558545189e-01,-4.192170000103792593e-02,7.540081959248140508e-02,-2.229323868238516221e-02
-4.199999999999999845e-01,-7.533102846120494356e-02,-1.108188740771268582e-01,3.590119311549727632e-01,-1.134489593842342714e+00,-7.669655339642289515e-02,-1.082603238576361898e-01,6.169149204025259348e-02,-2.165222879484157009e-02
8.999999999999999667e-02,-8.022934206631530951e-02,-2.182050807568877149e-01,2.168893821528155852e-01,-8.439437873358119901e-01,4.565075070797909584e-02,-1.633399432661766792e-01,5.075468908649224953e-02,-1.767716315545259098e-02
7.800000000000000266e-01,-8.384286745406235863e-02,-1.145448267190433689e-01,-4.986054845413262493e-02,-3.690752896158676633e-01,2.132556941309591003e-01,-1.554932732756786895e-01,5.880937760168836181e-02,-9.902810997147473704e-03
1.129999999999999893e+00,-8.502356132771313191e-02,9.964101615137754830e-02,-3.850403563540153451e-01,1.758360964144954353e-01,3.883640425763645876e-01,-8.517880760342697033e-02,8.815904395989074271e-02,1.421194944796998205e-03
1.409999999999999920e+00,-8.426051091697348006e-02,5.501760388790488676e-02,-5.617622702615615582e-01,6.458155867670726247e-01,5.208614005854821372e-01,-2.401182808944579694e-04,1.164859678466821230e-01,1.387683065664753468e-02
1.350000000000000089e+00,-8.158520199632872394e-02,1.225176038879047802e-01,-4.099566222313806296e-01,8.968215359786295693e-01,5.443702523917844927e-01,5.847575444417885127e-02,1.292563086905726133e-01,2.031066792149890943e-02
1.060000000000000053e+00,-7.617496354692965266e-02,1.096586200392825061e-01,-8.305006782131774123e-02,8.553626612164720866e-01,4.318919097165290211e-01,4.970296606057847399e-02,1.190422771709916810e-01,1.965741660903461141e-02
5.000000000000000000e-01,-6.879750933777989408e-02,1.132531754730548013e-01,1.719009742011995967e-01,5.438134402905406839e-01,2.267199571822308135e-01,-4.278094172895124947e-03,9.276103481370892578e-02,1.292340679348158439e-02
-5.999999999999999778e-01,-6.071043851402123381e-02,2.091201442663487842e-01,3.263636776651528404e-01,5.099760781203399596e-02,-2.010349609429812334e-02,-6.941347852761313442e-02,5.633783875875775227e-02,1.079877233230532030e-03
-5.500000000000000444e-01,-5.360113986646600215e-02,-3.433188740771268010e-01,4.625431464584469632e-01,-4.235381038232383655e-01,-2.758516241178178285e-01,-1.303734870905812193e-01,2.115092956645067690e-02,-1.056630867141027802e-02
-1.000000000000000056e-01,-5.028101662224622459e-02,-2.418348439664699812e-01,5.509582099679080081e-01,-7.228836737410236912e-01,-4.656686074523247454e-01,-1.857211178979709665e-01,-8.879461513071368328e-03,-2.065178665060198038e-02
0.000000000000000000e+00,-5.160622039368475966e-02,8.292468245269449256e-02,2.321329618136542539e-01,-6.998215716574893719e-01,-5.838571855327293614e-01,-2.236909208427446116e-01,-2.404320147932750840e-02,-2.719420545277491386e-02
8.000000000000000167e-02,-5.457755584736401211e-02,3.885734985006057685e-02,-3.842735463343740498e-01,-3.829925526289830184e-01,-5.947523834860224401e-01,-2.342058570179895716e-01,-2.800407272063745734e-02,-2.951212534616416694e-02
2.099999999999999922e-01,-5.830525790997970886e-02,-1.524519052838328725e-02,-5.345895840450349823e-01,8.180514798880528238e-02,-5.118779478327276644e-01,-2.129322338200139164e-01,-2.408595265221336046e-02,-2.532334498325285177e-02
6.099999999999999867e-01,-6.163855596306484774e-02,-9.678203230275508884e-02,-2.291689865887451272e-01,5.633778661513231256e-01,-3.716589011144626475e-01,-1.363654802289036294e-01,-1.346920218536135083e-03,-1.484004916975429494e-02
1.129999999999999893e+00,-6.412925347881348603e-02,-6.568747686898279703e-02,-4.306370236790416084e-02,7.747112765509646115e-01,-2.106293578608083306e-01,-2.760307311461765445e-02,2.139622722158718293e-02,-1.763647822331820825e-03
1.550000000000000044e+00,-6.417237564577768505e-02,2.316987298107764381e-02,-8.148316684934146792e-02,7.064228248913817509e-01,-6.353483736914530833e-02,9.113389273503129384e-02,4.127123919441716415e-02,1.137889639804266773e-02
1.449999999999999956e+00,-6.152824859114932460e-02,1.867339375865878504e-01,-1.959114101437140487e-01,4.286776421104203649e-01,4.999258103768172701e-02,1.914465778294779097e-01,4.473632377258518478e-02,1.700584120186354742e-02
1.070000000000000062e+00,-5.771939242177569901e-02,1.432050807568877593e-01,-1.927086878606003029e-01,6.208259176943703439e-03,8.744654037131960322e-02,2.317441605026271390e-01,3.539873099313017857e-02,1.926224105703545908e-02
1.400000000000000133e-01,-5.277850650248482045e-02,2.134502712852710538e-01,3.896953230275490565e-02,-3.095449663762324111e-01,9.150111394922355590e-02,2.136232832601023535e-01,1.146285501710503363e-02,1.637928026581092489e-02
-2.600000000000000089e-01,-4.698830688882590229e-02,-1.306698729810777948e-01,3.709165587219194760e-01,-5.130543637213824670e-01,6.218983511107928353e-02,1.433078483731088371e-01,-2.475236177450601538e-02,7.377331253363234032e-03
-9.100000000000000311e-01,-4.294842539225925127e-02,3.687822173508931156e-02,5.756168300071905497e-01,-6.388559181366513240e-01,4.809272224530017348e-02,5.963679778154373778e-02,-5.384213229265602529e-02,-2.198983057689368747e-03
-1.239999999999999991e+00,-4.306983079844284301e-02,-8.640544456622772929e-02,4.708011545341357351e-01,-6.327730809895242281e-01,7.428331054149750479e-02,3.077292415553462002e-03,-7.787213452863014918e-02,-1.157003829219915847e-02
-1.239999999999999991e+00,-4.512516618979309224e-02,-1.419791281149712647e-01,1.972735925964086423e-01,-5.248939873746121254e-01,1.164235824413778486e-01,-2.231896630405549864e-02,-9.180554533041446197e-02,-1.912695167656058848e-02
-9.100000000000000311e-01,-5.194978277898280872e-02,-1.428941916244322874e-01,-2.952699152096546764e-03,-2.549621206105978088e-01,1.674467617377254081e-01,-2.301320662224398683e-02,-9.643679200698204723e-02,-2.069824027738235983e-02
-4.600000000000000200e-01,-5.988092307846081680e-02,-7.117785792574937709e-02,-2.090375893806010743e-01,1.883937590114407867e-01,2.251113004113335647e-01,-3.752794557335958903e-04,-9.320248547257749261e-02,-1.776919695418333056e-02
3.400000000000000244e-01,-6.239464571447721208e-02,-1.305079849446715290e-01,-4.064682374107819185e-01,6.347031721331201082e-01,2.853468654908847268e-01,4.838797518757506633e-02,-7.513776157191152938e-02,-1.431463723154784151e-02
7.299999999999999822e-01,-6.388714981909203450e-02,1.079903810567665740e-01,-4.736016308550938247e-01,9.586246097197079763e-01,2.909846334214237218e-01,1.087255031347685308e-01,-4.471821668955210105e-02,-6.887144429841673965e-03
1.110000000000000098e+00,-6.397939560085930122e-02,4.093266739736595161e-02,-4.542911502222790054e-01,1.020824859838629139e+00,2.308489286920819283e-01,1.603899855087770332e-01,-1.898845952231670298e-02,1.284830971083339435e-04
1.090000000000000080e+00,-6.177538685031531279e-02,1.375176038879049045e-01,-3.010023353427566661e-01,7.670354958199434581e-01,9.282809850034468013e-02,1.756307554939454119e-01,-5.670453278134368613e-03,3.572866512055822286e-03
9.499999999999999556e-01,-5.578639511593633249e-02,7.758330249197709083e-02,-2.944230947161666917e-02,3.370213083161069378e-01,-8.706297737371332390e-02,1.405556515320401378e-01,7.868277571042858742e-04,4.523208395116204428e-03
4.199999999999999845e-01,-4.703352672763651265e-02,1.441682389825158506e-01,1.908633154275469201e-01,-1.952116860329388415e-01,-2.143101559413937707e-01,5.113207984123285810e-02,-2.792811815922030538e-03,1.558971279142895572e-03
-1.300000000000000044e-01,-3.797584251045624248e-02,4.251760388790498668e-02,3.290820307310211024e-01,-6.834062566538399164e-01,-2.585091930814239491e-01,-7.307581535816183582e-02,-1.622585818274702163e-02,-6.300494301617637349e-03
-7.299999999999999822e-01,-3.090748556140811634e-02,1.890544456622769709e-02,4.161108644297041304e-01,-9.786578328248585201e-01,-2.333841429873966256e-01,-2.019444728707075476e-01,-1.951812938955191368e-02,-9.422628473064742494e-03
-5.999999999999999778e-01,-2.684531809373602237e-02,-2.447243186433545048e-01,4.345215269671889868e-01,-1.064286378282941037e+00,-1.582393981045066567e-01,-2.951313067402455692e-01,-2.769816316145778945e-02,-1.527341841965350333e-02
-7.299999999999999822e-01,-2.545555154694176259e-02,2.199201505532843992e-02,3.013148353427565485e-01,-8.818082039886867562e-01,-1.495433965625711514e-02,-3.400583171543547500e-01,-4.650180762074961061e-02,-2.485150761044886691e-02
-6.600000000000000311e-01,-2.613716177284662601e-02,-4.450961894323335333e-02,-2.262098439664702448e-02,-4.704730430643117023e-01,1.780959608235795355e-01,-3.211366500218730269e-01,-5.350968947237866313e-02,-3.022909293925581109e-02
-4.600000000000000200e-01,-2.768176585711661433e-02,-6.269709581221616368e-02,-2.616870221073077096e-01,2.438786086233879491e-02,3.827891407432363891e-01,-2.509045879095574971e-01,-4.951784902852474080e-02,-2.980138786674059459e-02
3.400000000000000244e-01,-2.821724031861889970e-02,-2.167996361906600611e-01,-2.296938278150923440e-01,5.006046695067127850e-01,5.399753102280278050e-01,-1.589996304893471213e-01,-3.109912073956780376e-02,-2.121279934738672102e-02
1.030000000000000027e+00,-2.800901421200651872e-02,-1.733811196359372198e-02,-2.066004978802414849e-01,8.207953902594682383e-01,5.742340620779529115e-01,-7.878520505878136571e-02,-4.273384362844107054e-03,-7.193116429902959852e-03
1.320000000000000062e+00,-2.648664008095148042e-02,1.466682389825158528e-01,-3.654414230792839557e-01,8.912507504419819870e-01,4.708907757454368070e-01,-2.425623169188917405e-02,2.174840456819004952e-02,7.323427787265246458e-03
1.189999999999999947e+00,-2.320341967750303575e-02,1.800352077758099467e-01,-4.431325070519792075e-01,7.499959255867699737e-01,2.675022291402700536e-01,1.682964736542780226e-03,3.696669107910516283e-02,1.768658426513775028e-02
5.999999999999999778e-01,-1.656987965888142428e-02,1.955255888325764246e-01,-2.030540371626363416e-01,4.268725836986829170e-01,2.566703447389090398e-02,-6.134244113771725182e-03,3.886564749493218174e-02,2.000137918895676659e-02
-1.700000000000000122e-01,-9.049978468787748392e-03,1.035640646055101532e-01,2.055059424464691364e-01,6.056331155027058766e-03,-2.197546075941946286e-01,-3.996433584306843811e-02,2.616428077432761401e-02,1.567455854421048733e-02
-9.100000000000000311e-01,-8.165142254432759816e-04,6.225952641916512875e-03,5.241156276392863189e-01,-4.117795793402446725e-01,-4.169613743666209515e-01,-9.271420833346746826e-02,8.809583632988587931e-03,7.411695379293425923e-03
-5.000000000000000000e-01,6.240698792043235937e-03,-3.954774941164094226e-01,6.647987035362928898e-01,-7.574764082746767713e-01,-5.262262341526393605e-01,-1.353439364208198770e-01,-2.879148411346843517e-03,-1.084369697398029908e-03
-4.600000000000000200e-01,7.429047505567859533e-03,2.112504626203448588e-02,4.913620667976082990e-01,-9.034862372504848249e-01,-5.313992621493606183e-01,-1.463717865469220669e-01,-2.050173169155747321e-02,-8.994958851318513027e-03
-4.600000000000000200e-01,6.319492379044056030e-03,4.751760388790499112e-02,-5.497434177437176411e-02,-7.632782758297640413e-01,-4.387027983578174473e-01,-1.088185094016596022e-01,-2.674528337780571197e-02,-1.373858645231598730e-02
-1.040000000000000036e+00,3.633145880827595708e-03,2.017339375865879747e-01,-4.765323251473093658e-01,-3.471671165908382650e-01,-2.745114740208995929e-01,-2.444910606913636153e-02,-2.337270725436019214e-02,-1.413315520887231669e-02
