Original Signal,Approximation,D 1,D 2,D 3,D 4,D 5,D 6
-3.499999999999999778e-01,-2.159747136140617030e-01,-8.949641634151224434e-02,3.956492104887670558e-01,-6.653177977797437581e-01,-3.560930189869103701e-01,5.407675948902040952e-02,1.094976911967544125e-01
-4.199999999999999845e-01,-2.121840370409212306e-01,1.457901569692302002e-02,3.868676950586155683e-01,-3.111103918844823624e-01,-3.589237720767785578e-01,1.169692002130788833e-01,1.098218972782973452e-01
8.999999999999999667e-02,-2.098710231077677568e-01,-9.670920423398343679e-03,2.409524992116420794e-01,1.404592766727352504e-01,-3.007558868216113068e-01,1.881372563707524870e-01,1.151932330275217131e-01
7.800000000000000266e-01,-2.087196353480033073e-01,8.757504482557741665e-02,4.293776056460074653e-02,5.960567701508587835e-01,-2.074352253440377158e-01,2.538326050441517268e-01,1.233588673116839951e-01
1.129999999999999893e+00,-2.081552828871137684e-01,1.097440063840402491e-01,-1.361154095725718438e-01,9.292075136570638882e-01,-8.201896390136970139e-02,3.005113903160863131e-01,1.322544807087783769e-01
1.409999999999999920e+00,-2.073869548196604351e-01,-7.467623423688429796e-02,-2.302903697720407594e-01,1.024717296555127000e+00,3.858326584225060807e-02,3.203063674046795484e-01,1.395328677653626115e-01
1.350000000000000089e+00,-2.056448195235299758e-01,-1.539678383684550678e-02,-2.796473350682496806e-01,7.934210842261220087e-01,1.229677708046134632e-01,3.131040558300874355e-01,1.446187551827358420e-01
1.060000000000000053e+00,-2.023979480584914004e-01,-2.413943831432552312e-02,-3.412427082005203838e-01,2.846617740474577385e-01,1.688138850725213747e-01,2.875237017039217191e-01,1.474743881897552789e-01
5.000000000000000000e-01,-1.974559456904750598e-01,-8.273602367229182519e-03,-3.153086263614579554e-01,-3.276711474642540756e-01,1.664466539446149973e-01,2.488963086297418248e-01,1.457927870430405504e-01
-5.999999999999999778e-01,-1.910627092684423489e-01,4.320818503403794919e-02,-7.068729906757091619e-02,-8.762000315596714106e-01,9.495989902445724218e-02,2.026108336632340967e-01,1.388450089902986961e-01
-5.500000000000000444e-01,-1.838813829004736777e-01,-2.805402009155720799e-01,2.807743892492824411e-01,-1.178342527585551469e+00,-1.751442670294973969e-02,1.576424269890457919e-01,1.277053341943552855e-01
-1.000000000000000056e-01,-1.767493961926133172e-01,1.244234984663930565e-01,4.545636951242738588e-01,-1.139445941285507580e+00,-1.319022596095728306e-01,1.202614425009296828e-01,1.159619841354480596e-01
