Original Signal,Approximation,D 1,D 2,D 3,D 4,D 5,D 6
-0.35,0.21,-0.09,0.43,-1.12,-0.14,-0.04,0.08
-0.42,0.22,-0.11,0.36,-1.13,-0.08,-0.11,0.06
0.09,0.22,-0.22,0.22,-0.84,0.05,-0.16,0.05
0.78,0.22,-0.11,-0.05,-0.37,0.21,-0.16,0.06
1.13,0.22,0.10,-0.39,0.18,0.39,-0.09,0.09
1.41,0.21,0.06,-0.56,0.65,0.52,0.00,0.12
1.35,0.20,0.12,-0.41,0.90,0.54,0.06,0.13
1.06,0.20,0.11,-0.08,0.86,0.43,0.05,0.12
0.50,0.20,0.11,0.17,0.54,0.23,0.00,0.09
-0.60,0.20,0.21,0.33,0.05,-0.02,-0.07,0.06
-0.55,0.21,-0.34,0.46,-0.42,-0.28,-0.13,0.02
-0.10,0.22,-0.24,0.55,-0.72,-0.47,-0.19,-0.01
0.00,0.24,0.08,0.23,-0.70,-0.58,-0.22,-0.02
0.08,0.25,0.04,-0.38,-0.38,-0.59,-0.23,-0.03
0.21,0.26,-0.02,-0.53,0.08,-0.51,-0.21,-0.02
0.61,0.26,-0.10,-0.23,0.56,-0.37,-0.14,0.00
1.13,0.25,-0.07,-0.04,0.77,-0.21,-0.03,0.02
1.55,0.24,0.02,-0.08,0.71,-0.06,0.09,0.04
1.45,0.24,0.19,-0.20,0.43,0.05,0.19,0.04
1.07,0.23,0.14,-0.19,0.01,0.09,0.23,0.04
0.14,0.23,0.21,0.04,-0.31,0.09,0.21,0.01
-0.26,0.23,-0.13,0.37,-0.51,0.06,0.14,-0.02
-0.91,0.24,0.04,0.58,-0.64,0.05,0.06,-0.05
-1.24,0.26,-0.09,0.47,-0.63,0.07,0.00,-0.08
-1.24,0.28,-0.14,0.20,-0.52,0.12,-0.02,-0.09
-0.91,0.30,-0.14,0.00,-0.25,0.17,-0.02,-0.10
-0.46,0.31,-0.07,-0.21,0.19,0.23,0.00,-0.09
0.34,0.31,-0.13,-0.41,0.63,0.29,0.05,-0.08
0.73,0.31,0.11,-0.47,0.96,0.29,0.11,-0.04
1.11,0.31,0.04,-0.45,1.02,0.23,0.16,-0.02
1.09,0.30,0.14,-0.30,0.77,0.09,0.18,-0.01
0.95,0.30,0.08,-0.03,0.34,-0.09,0.14,0.00
0.42,0.29,0.14,0.19,-0.20,-0.21,0.05,0.00
-0.13,0.29,0.04,0.33,-0.68,-0.26,-0.07,-0.02
-0.73,0.28,0.02,0.42,-0.98,-0.23,-0.20,-0.02
-0.60,0.29,-0.24,0.43,-1.06,-0.16,-0.30,-0.03
-0.73,0.30,0.02,0.30,-0.88,-0.01,-0.34,-0.05
-0.66,0.31,-0.04,-0.02,-0.47,0.18,-0.32,-0.05
-0.46,0.32,-0.06,-0.26,0.02,0.38,-0.25,-0.05
0.34,0.31,-0.22,-0.23,0.50,0.54,-0.16,-0.03
1.03,0.30,-0.02,-0.21,0.82,0.57,-0.08,0.00
1.32,0.28,0.15,-0.37,0.89,0.47,-0.02,0.02
1.19,0.27,0.18,-0.44,0.75,0.27,0.00,0.04
0.60,0.26,0.20,-0.20,0.43,0.03,-0.01,0.04
-0.17,0.25,0.10,0.21,0.01,-0.22,-0.04,0.03
-0.91,0.26,0.01,0.52,-0.41,-0.42,-0.09,0.01
-0.50,0.26,-0.40,0.66,-0.76,-0.53,-0.14,0.00
-0.46,0.27,0.02,0.49,-0.90,-0.53,-0.15,-0.02
-0.46,0.28,0.05,-0.05,-0.76,-0.44,-0.11,-0.03
-1.04,0.29,0.20,-0.48,-0.35,-0.27,-0.02,-0.02
-1.04,0.29,-0.15,-0.32,0.22,-0.07,0.09,-0.01
-0.15,0.29,-0.36,0.09,0.69,0.12,0.20,0.01
0.68,0.28,-0.06,0.17,0.87,0.25,0.29,0.04
1.11,0.26,0.14,-0.27,0.76,0.26,0.34,0.06
1.29,0.25,0.12,-0.63,0.46,0.17,0.34,0.06
1.03,0.23,0.17,-0.42,0.16,0.01,0.28,0.05
0.55,0.23,0.12,0.03,-0.05,-0.13,0.22,0.03
-0.15,0.23,0.10,0.35,-0.29,-0.21,0.16,0.00
-0.73,0.23,-0.02,0.53,-0.54,-0.23,0.11,-0.02
-0.46,0.25,-0.30,0.55,-0.79,-0.20,0.07,-0.04
-0.42,0.26,0.00,0.37,-0.90,-0.13,0.07,-0.06
-0.42,0.27,0.03,-0.07,-0.66,0.01,0.11,-0.07
-0.46,0.28,0.02,-0.39,-0.19,0.20,0.16,-0.07
0.69,0.28,-0.40,-0.25,0.38,0.39,0.21,-0.06
1.05,0.27,0.16,-0.10,0.82,0.46,0.24,-0.05
1.46,0.26,0.06,-0.32,0.92,0.39,0.22,-0.04
1.22,0.25,0.22,-0.46,0.74,0.21,0.17,-0.04
0.90,0.25,0.09,-0.15,0.39,0.00,0.10,-0.04
0.29,0.24,0.11,0.22,-0.02,-0.17,0.01,-0.05
-0.23,0.24,0.00,0.44,-0.41,-0.30,-0.08,-0.06
-0.35,0.25,-0.14,0.51,-0.68,-0.39,-0.15,-0.06
-1.04,0.26,0.16,0.36,-0.81,-0.44,-0.18,-0.06
-0.91,0.27,-0.23,0.10,-0.71,-0.39,-0.17,-0.06
-0.91,0.28,-0.03,-0.01,-0.35,-0.25,-0.12,-0.07
-0.55,0.28,-0.11,-0.08,0.12,-0.05,-0.05,-0.06
-0.06,0.27,-0.08,-0.25,0.57,0.14,0.01,-0.05
0.65,0.26,-0.09,-0.33,0.84,0.24,0.05,-0.04
0.91,0.25,0.13,-0.36,0.89,0.21,0.06,-0.03
0.93,0.24,0.12,-0.37,0.71,0.12,0.04,-0.03
0.62,0.23,0.13,-0.19,0.39,-0.01,0.00,-0.04
0.28,0.23,0.04,0.13,0.01,-0.12,-0.05,-0.05
-0.04,0.23,0.00,0.37,-0.42,-0.20,-0.09,-0.06
-0.55,0.24,0.06,0.41,-0.73,-0.22,-0.14,-0.07
-0.66,0.26,-0.12,0.30,-0.88,-0.20,-0.16,-0.07
-0.73,0.27,-0.05,0.19,-0.82,-0.11,-0.15,-0.06
-0.66,0.28,-0.05,0.05,-0.50,0.08,-0.10,-0.04
-0.66,0.29,0.01,-0.14,-0.06,0.29,-0.03,-0.01
0.18,0.28,-0.28,-0.19,0.36,0.46,0.04,0.02
0.54,0.27,0.09,-0.18,0.65,0.53,0.07,0.05
0.89,0.25,0.05,-0.31,0.74,0.49,0.05,0.06
0.82,0.24,0.14,-0.38,0.63,0.34,0.00,0.07
0.56,0.23,0.10,-0.16,0.40,0.16,-0.07,0.07
-0.04,0.22,0.13,0.13,0.08,-0.03,-0.12,0.07
-1.24,0.22,0.24,0.31,-0.28,-0.22,-0.19,0.07
-5.41,0.23,1.07,0.35,-0.56,-0.34,-0.24,0.07
-5.41,0.24,-1.15,0.69,-0.76,-0.39,-0.27,0.08
-0.81,0.26,-1.95,1.60,-0.82,-0.33,-0.26,0.09
-0.81,0.27,1.15,0.90,-0.49,-0.21,-0.21,0.11
-0.66,0.28,0.37,-1.94,0.11,-0.05,-0.12,0.12
0.51,0.28,-0.36,-2.60,0.87,0.07,-0.03,0.14
0.97,0.27,0.15,-0.53,1.74,0.12,0.05,0.15
1.40,0.26,0.08,0.34,1.88,0.12,0.08,0.15
1.27,0.25,0.19,0.09,1.16,0.11,0.07,0.14
0.93,0.25,0.12,0.24,0.11,0.05,0.04,0.11
0.22,0.25,0.15,0.37,-1.35,-0.06,0.00,0.10
-1.04,0.26,0.22,0.44,-2.18,-0.08,-0.03,0.10
-1.24,0.28,-0.31,0.59,-2.02,-0.01,-0.05,0.10
-0.60,0.29,-0.38,0.68,-1.64,0.17,-0.07,0.11
-0.46,0.30,0.09,0.33,-0.81,0.49,-0.07,0.13
-0.32,0.31,0.05,-0.42,0.02,0.70,-0.01,0.14
0.24,0.31,-0.14,-0.67,0.56,0.68,0.08,0.16
0.75,0.31,-0.02,-0.35,1.13,0.66,0.17,0.18
1.09,0.29,0.06,-0.20,1.41,0.60,0.24,0.19
1.32,0.28,0.05,-0.23,1.26,0.37,0.26,0.18
1.32,0.27,0.09,-0.12,0.82,0.00,0.23,0.15
1.27,0.26,0.04,0.05,0.16,-0.47,0.17,0.12
0.79,0.26,0.15,0.16,-0.42,-1.03,0.10,0.08
0.25,0.26,0.06,0.23,-0.75,-1.31,0.03,0.05
-1.03,0.28,0.26,0.29,-0.85,-1.20,0.00,0.02
-5.42,0.29,1.13,0.26,-0.75,-1.03,-0.01,0.00
-1.24,0.30,-2.64,0.74,-0.57,-0.82,0.01,0.00
-1.24,0.31,0.64,1.37,-0.36,-0.52,0.08,0.00
-1.24,0.31,0.38,-0.13,0.12,-0.20,0.20,0.01
0.13,0.30,-0.47,-1.93,0.58,0.13,0.34,0.01
0.78,0.29,0.12,-1.06,1.16,0.39,0.48,0.00
1.25,0.28,0.13,-0.18,1.72,0.42,0.53,-0.01
1.19,0.27,0.20,-0.38,1.39,0.26,0.46,-0.03
0.82,0.27,0.15,-0.03,0.89,0.05,0.37,-0.06
0.14,0.27,0.13,0.36,-0.07,-0.13,0.26,-0.08
-0.38,0.28,-0.03,0.52,-1.32,-0.24,0.16,-0.10
-0.66,0.29,-0.10,0.63,-1.61,-0.20,0.07,-0.10
-1.24,0.31,0.08,0.47,-1.72,-0.09,0.01,-0.10
-5.42,0.32,1.26,0.04,-1.34,0.20,-0.01,-0.09
-0.81,0.33,-2.67,0.24,-0.53,0.60,-0.01,-0.06
-0.35,0.32,0.61,0.97,-0.01,0.78,0.00,-0.03
0.14,0.31,0.37,-0.27,0.67,0.92,0.02,-0.01
0.74,0.30,-0.04,-2.02,1.12,0.98,0.02,0.01
1.21,0.29,0.03,-1.12,1.42,0.86,-0.04,-0.01
1.27,0.29,0.15,0.11,1.57,0.54,-0.17,-0.03
0.90,0.28,0.18,0.15,0.91,0.21,-0.35,-0.06
0.14,0.29,0.17,0.31,0.22,-0.23,-0.59,-0.09
-0.81,0.30,0.10,0.50,-0.73,-0.69,-0.74,-0.11
-0.91,0.31,-0.27,0.61,-1.70,-0.78,-0.74,-0.11
-1.03,0.32,-0.07,0.62,-1.63,-0.73,-0.72,-0.11
-0.73,0.33,-0.14,0.26,-1.34,-0.60,-0.67,-0.09
-0.50,0.33,-0.01,-0.21,-0.66,-0.30,-0.58,-0.05
-0.35,0.32,0.03,-0.43,0.29,0.12,-0.46,-0.01
0.32,0.30,-0.17,-0.39,0.83,0.28,-0.31,0.02
1.03,0.28,-0.06,-0.23,1.13,0.42,-0.17,0.05
1.39,0.26,0.12,-0.21,1.15,0.51,-0.04,0.05
1.40,0.25,0.15,-0.31,0.83,0.38,-0.01,0.06
0.97,0.25,0.18,-0.19,0.33,0.11,-0.02,0.06
0.36,0.25,0.10,0.14,-0.15,-0.14,-0.04,0.05
