Original Signal,Approximation,D 1,D 2,D 3,D 4,D 5,D 6,D 7
-2.000000000000000042e-02,-5.755457191282008222e-02,1.833188740771268810e-01,3.109093676455116362e-01,-3.815499396183891223e-01,-7.053231362351872202e-02,-1.174430402207498891e-01,5.445822262913775635e-02,9.496129366817759182e-03
4.000000000000000222e-01,-6.024580461226680672e-02,-3.255736835487436087e-01,3.383031970323380211e-01,-9.816689710939013880e-01,-2.255332833050918973e-01,-2.298066315992852160e-01,2.495343495101394471e-02,8.602116635684949053e-04
9.100000000000000311e-01,-6.587383342024671906e-02,-1.304774941164094648e-01,3.633945538620383386e-01,-1.208718885727853909e+00,-2.545735508187897400e-01,-2.938975776380203797e-01,1.764147680889047859e-02,-1.121407340122088092e-03
1.199999999999999956e+00,-7.390966928894716903e-02,6.689582562299428714e-02,1.088409251990425930e-01,-1.054422500186054767e+00,-1.489430308237741640e-01,-2.970297420207465011e-01,3.436639265997970538e-02,4.987659032377883550e-03
1.179999999999999938e+00,-8.231405923480621112e-02,1.259983660014381002e-01,-3.506149031640742875e-01,-6.351279702409007299e-01,3.201222576032908967e-02,-2.441401158107084357e-01,7.220897374548285175e-02,1.710240419357586528e-02
1.040000000000000036e+00,-8.846170161696728651e-02,6.934773090682710972e-02,-4.020647890807220737e-01,-1.105577483559263552e-01,2.429902037699563366e-01,-1.640767673648149683e-01,1.160436912911198687e-01,3.059202453439189770e-02
7.099999999999999645e-01,-9.083090698700330146e-02,7.586696879329402066e-02,-7.537937784095904981e-02,3.142740386283280341e-01,3.911747277045831139e-01,-8.269858038764740793e-02,1.488788023787926962e-01,4.263363580003597109e-02
3.400000000000000244e-01,-8.873944137052111603e-02,3.104646071760519543e-02,1.837759742011996211e-01,4.617867993304239915e-01,4.933115936136103774e-01,-1.409176238004428844e-02,1.678580008902786080e-01,5.269076870469883295e-02
-3.099999999999999978e-01,-8.361641061002712816e-02,9.928203230275510494e-02,2.841225027401226844e-01,3.926868910686260872e-01,5.234049091054816527e-01,2.669121316313875780e-02,1.750838550620515965e-01,6.017829132170361695e-02
-1.280000000000000027e+00,-7.805455178444364872e-02,1.349038105676658439e-01,2.752022443904216242e-01,1.904058125865880080e-01,4.618483419511095756e-01,3.759650355330512728e-02,1.632389242830366849e-01,5.970246519395423779e-02
-1.020000000000000018e+00,-7.284457804777248746e-02,-3.907707793609597746e-01,3.068440775410801180e-01,-7.178848635610857176e-02,2.818306626835333506e-01,5.933870675778520759e-03,1.344575309150307374e-01,5.158414775628362980e-02
-6.600000000000000311e-01,-6.825648491220609460e-02,-1.467034467583257507e-01,3.558348670974872396e-01,-1.461038785854502087e-01,1.847289255055242774e-02,-6.787690910332376537e-02,9.189449959211774821e-02,3.539083575583285013e-02
2.999999999999999889e-02,-6.531805652889305369e-02,-1.218477309068271008e-01,4.101522228311393903e-02,-2.243715991107764207e-02,-2.834297823547490269e-01,-1.490393003070461519e-01,4.442833082137032097e-02,1.583496248257553266e-02
7.099999999999999645e-01,-6.435682641893697431e-02,-2.678203230275511340e-02,-4.792222298831176897e-01,2.215968734282658392e-01,-5.596313260960081859e-01,-2.060550529290093302e-01,9.220422870694057471e-03,1.534138385578982799e-04
1.219999999999999973e+00,-6.623705983611832826e-02,5.897114317029972241e-02,-6.587682358390479775e-01,5.468938832850344101e-01,-7.034360068448261005e-01,-2.114451851334590848e-01,-3.844395071972539490e-03,-8.167684396641696626e-03
1.379999999999999893e+00,-7.160600094205812893e-02,1.350833024919769754e-01,-5.363944844689866320e-01,7.687652983300053977e-01,-7.735604314376849366e-01,-1.628715342453390391e-01,9.224379496939019013e-03,-5.201153992298829937e-03
1.340000000000000080e+00,-7.814754286981098752e-02,1.003284930203601766e-01,-2.862671722572471267e-01,7.208147206700039611e-01,-7.597230362714115781e-01,-5.904201194292619387e-02,3.596445335897004852e-02,2.472015156544760811e-03
1.250000000000000000e+00,-8.373206780541940508e-02,3.537658773652752053e-02,5.450317547305486010e-02,4.482267802243722898e-01,-6.680975678174131405e-01,6.545897324910129877e-02,6.725907948614935628e-02,1.326084719475372625e-02
9.399999999999999467e-01,-8.630953368938627801e-02,7.970671475544954809e-02,2.950107287870684658e-01,-4.082908165647002041e-02,-4.968861613861539350e-01,1.815578689805333601e-01,9.254608702048200408e-02,2.518759699772125243e-02
3.300000000000000155e-01,-8.509121618011866728e-02,1.225833024919769643e-01,3.321845942404820229e-01,-6.048269071372521788e-01,-2.922067068180684291e-01,2.703672414532415358e-01,1.068169772856139982e-01,3.618751520479502465e-02
-6.800000000000000488e-01,-8.135530645762953372e-02,1.640544456622767822e-01,2.900167406265894421e-01,-9.595270705148586377e-01,-5.589601713501272939e-02,3.264632029591285067e-01,1.074038522841197912e-01,4.509547857148522160e-02
-1.469999999999999973e+00,-7.649300482270562918e-02,-3.852885682970030867e-02,3.364281970323380611e-01,-1.055807050718570395e+00,1.691966841478030614e-01,3.434397932816805610e-01,8.992990728271571532e-02,4.719080613563356175e-02
-1.949999999999999956e+00,-7.168093299771292892e-02,-1.259983660014381002e-01,4.515355468823986640e-01,-8.579815819485669959e-01,3.440633046553038810e-01,2.992733868702016631e-01,5.930430585376241653e-02,4.279910710227559367e-02
-1.649999999999999911e+00,-6.799436522441185127e-02,-2.947419225312595259e-01,4.210632013441947263e-01,-4.433924796143111080e-01,5.125780666534778263e-01,2.139797217160112619e-01,1.069115806654699630e-02,3.086565945040654207e-02
