Original Signal,Approximation,D 1,D 2,D 3,D 4,D 5,D 6
-8.000000000000000167e-02,-3.727989771158176507e-02,8.098057856447879455e-02,1.668139988084658132e-01,-1.120046460278443234e+00,-1.027363110855333272e-01,-1.041494554325114730e-01,9.140254702439734591e-02
3.900000000000000133e-01,-2.932367344162940120e-02,-2.826279461774218738e-01,6.958455187815588694e-01,-1.022545203706983985e+00,-2.584850728393260355e-01,-1.025835085037970912e-01,8.420762071542012284e-02
8.599999999999999867e-01,-2.230987064520412871e-02,1.789890530193234131e-01,6.456985103611629917e-01,-6.396482388534925345e-01,-3.647089108420797920e-01,-7.677452601262116372e-02,8.046974909008006160e-02
1.090000000000000080e+00,-1.671226159142632367e-02,1.591658295392151534e-01,3.160661355675253859e-01,-1.280777572229569172e-01,-3.952935562346662213e-01,-3.705460063833278250e-02,8.101862562100478615e-02
1.080000000000000071e+00,-1.284080827752243255e-02,-3.728954167695086586e-02,-5.776135118252978540e-03,3.620287503120587225e-01,-3.357145452201390490e-01,4.175954447605503828e-03,8.660214197691870619e-02
9.399999999999999467e-01,-1.060683397173871334e-02,-8.083512326653174984e-02,-1.197105072796483816e-01,7.737719942906631232e-01,-1.929575010165154314e-01,3.813117212929478805e-02,9.705617250264833573e-02
6.899999999999999467e-01,-9.428225870209003961e-03,-2.115672262463608178e-02,-2.015286583830488976e-01,1.032221984694297490e+00,-6.627356743308068787e-03,5.867923706715308385e-02,1.098503933642310249e-01
2.600000000000000089e-01,-8.242349795127255213e-03,2.015993970118290513e-02,-4.415242330781913305e-01,1.042859970661490943e+00,1.667335987356301230e-01,6.228458484843799048e-02,1.208661703361158662e-01
-3.900000000000000133e-01,-6.002622509837010276e-03,1.223104416382139736e-02,-4.390786534472405078e-01,7.780586528595203610e-01,2.747976663956736010e-01,4.647763937486082408e-02,1.260628495810038330e-01
-1.350000000000000089e+00,-2.175428465996394334e-03,9.225800392107519343e-03,-1.397117969747660449e-02,2.173061254086081084e-01,2.862321522809073149e-01,1.175607119873919859e-02,1.235218917440609743e-01
-1.290000000000000036e+00,3.150722494300133274e-03,-2.249360928446078600e-01,3.412308426146983265e-01,-5.188556046624628326e-01,2.109796698446961549e-01,-3.275197404470624185e-02,1.146687908701073400e-01
-8.900000000000000133e-01,9.369095114839128685e-03,1.223586513609212778e-01,3.438166799301169974e-01,-1.121813658475294684e+00,8.030075611752740539e-02,-7.105266873971161079e-02,1.028000101817067580e-01
-2.500000000000000000e-01,1.570698120100695247e-02,1.240404112386901958e-01,1.584042517462553312e-01,-1.384343548650814437e+00,-6.646624897544659016e-02,-8.813364765282477586e-02,9.125622624968536545e-02
4.699999999999999734e-01,2.153435318533380993e-02,2.135943743849638699e-02,1.383299920801789318e-02,-1.193210433287315464e+00,-1.926679459593974020e-01,-7.632799412032756359e-02,8.202921422496059489e-02
1.110000000000000098e+00,2.640875047813883922e-02,-7.040987743389792719e-03,6.772552331587133878e-03,-5.939887825108915997e-01,-2.712876910358859583e-01,-4.044102246021723940e-02,7.664041783708780420e-02
1.250000000000000000e+00,2.994903239787260335e-02,4.120176549263676602e-02,-8.199200819784185912e-02,1.279662993413423488e-01,-2.892834837252267199e-01,6.675127342938624864e-03,7.638417752908222003e-02
1.250000000000000000e+00,3.195213313350023926e-02,-8.861888763535819002e-02,-3.685767040463414634e-01,7.092562568533355982e-01,-2.371155775649594899e-01,5.213887790273574740e-02,8.208674077245410594e-02
1.179999999999999938e+00,3.260941246089552742e-02,-5.290431921575833307e-02,-4.738315932621446347e-01,1.001887154959656190e+00,-1.134225006351328585e-01,8.733818448711325177e-02,9.362277184534094354e-02
9.200000000000000400e-01,3.258842024884692906e-02,3.376238608621151549e-02,-2.042086511087295997e-01,9.376099657686507438e-01,4.986267072768590936e-02,1.062338204805566705e-01,1.078369950701728447e-01
3.699999999999999956e-01,3.306072322954112241e-02,3.409797557331778473e-02,1.530483341628816607e-01,6.051443579927808791e-01,2.039108914861371691e-01,1.043738124991600014e-01,1.201024692212934175e-01
-7.700000000000000178e-01,3.512537524290650082e-02,4.194367433417925395e-02,4.141355750288647775e-01,2.059722968752992767e-01,3.003542046618903893e-01,7.852278125258616015e-02,1.260800302970392361e-01
-1.590000000000000080e+00,3.919202327998388968e-02,-1.675250258572389683e-01,5.176189398420129040e-01,-1.278927419797189768e-01,3.065869950260186050e-01,2.994919205991785488e-02,1.238205204327903763e-01
-1.800000000000000044e+00,4.502031626653604790e-02,-6.532778961174401378e-02,3.446974733144337888e-01,-2.821554048008604876e-01,2.294541801211313348e-01,-3.050823222454591283e-02,1.148936890955224444e-01
-1.689999999999999947e+00,5.192603805571991554e-02,1.221815793456371146e-01,2.416010660728384885e-03,-1.945756415852272214e-01,1.161934308386872311e-01,-8.709558067630354672e-02,1.022492631514494432e-01
-6.400000000000000133e-01,5.914263499933847951e-02,-3.954998604368109572e-02,-1.971455025420664198e-01,2.888136615540576324e-02,1.918774162459731258e-03,-1.230636144062631915e-01,8.935733879677620894e-02
-1.000000000000000021e-02,6.611779384687999084e-02,2.250803737104205005e-01,-1.215918654462363468e-01,2.548467255237236717e-01,-9.005082345588102943e-02,-1.302740572950972786e-01,7.857268793695597331e-02
4.799999999999999822e-01,7.239691026740183166e-02,-2.190272602258354004e-02,-4.084684406769512055e-03,3.596964605027372919e-01,-1.393292712524524801e-01,-1.121456731040775950e-01,7.102222580917820494e-02
8.100000000000000533e-01,7.738640748511517453e-02,-9.222128076207533609e-02,-1.288464595070954455e-01,2.249656567433598042e-01,-1.366754791420002058e-01,-8.026401884542155862e-02,6.783985518257421021e-02
