sl.no,Original Signal,Approximation,D 1,D 2,D 3,D 4,D 5,D 6
1,-0.29,0.3,0.08,0.12,-0.55,-0.3,-0.15,-0.06
2,-0.44,0.3,0.02,0.3,-0.12,-0.23,-0.12,-0.06
3,-0.06,0.3,-0.13,0.34,0.34,-0.12,-0.08,-0.05
4,0.12,0.3,0.11,0.21,0.69,-0.03,-0.04,-0.04
5,0.56,0.3,-0.04,-0.25,0.76,0.06,-0.03,-0.04
6,1.11,0.3,-0.01,-0.56,0.56,0.16,-0.03,-0.03
7,1.13,0.3,0.12,-0.32,0.29,0.22,-0.03,-0.02
8,1.43,0.3,-0.14,-0.02,-0.06,0.22,-0.04,-0.02
9,1.25,0.3,0.07,0.07,-0.36,0.17,-0.04,-0.02
10,-0.06,0.3,0.14,0.11,-0.52,0.04,-0.04,-0.02
11,-0.92,0.3,-0.31,0.1,-0.68,-0.13,-0.04,-0.02
12,0.06,0.3,-0.29,0.11,-0.65,-0.25,-0.03,-0.02
13,-0.67,0.3,0.71,0.13,-0.37,-0.3,-0.01,-0.02
14,-0.2,0.3,-0.34,0.07,0,-0.29,0.02,-0.01
15,-0.29,0.3,0.08,0.2,0.47,-0.22,0.06,0
16,0.38,0.3,-0.13,0.34,0.79,-0.1,0.08,0.01
17,0.38,0.3,0.2,-0.16,0.79,0,0.07,0.02
18,1.17,0.3,-0.2,-0.72,0.57,0.11,0.05,0.03
19,1.62,0.3,0.12,-0.44,0.2,0.23,0.01,0.04
20,1.69,0.3,0.07,0.05,-0.2,0.29,-0.02,0.04
21,0.79,0.3,0.05,0.16,-0.5,0.28,-0.06,0.04
22,0.12,0.3,-0.25,0.2,-0.66,0.23,-0.09,0.03
23,-0.51,0.3,-0.01,0.19,-0.7,0.11,-0.13,0.03
24,0.24,0.3,-0.14,0.02,-0.56,0.01,-0.15,0.02
25,0.14,0.3,0.42,-0.02,-0.22,-0.02,-0.16,0.02
26,-0.67,0.3,0.06,0.22,0.2,-0.02,-0.14,0.03
27,-0.92,0.3,-0.35,0.42,0.62,0,-0.12,0.04
28,-0.67,0.29,-0.05,0.19,0.87,0.05,-0.09,0.04
29,-0.06,0.29,0.13,-0.43,0.79,0.08,-0.09,0.05
30,1.05,0.29,0.03,-0.78,0.49,0.09,-0.09,0.05
31,1.19,0.29,0.24,-0.29,0.05,0.12,-0.1,0.05
32,1.25,0.29,-0.16,0.4,-0.4,0.1,-0.1,0.06
33,0.89,0.29,-0.06,0.39,-0.68,0.03,-0.09,0.05
34,0.62,0.29,-0.07,-0.09,-0.8,-0.07,-0.08,0.04
35,0.65,0.29,-0.03,-0.36,-0.76,-0.18,-0.06,0.03
36,-0.67,0.29,0.31,-0.2,-0.52,-0.26,-0.05,0.02
37,-0.92,0.29,-0.38,0.28,-0.13,-0.27,-0.01,0.02
38,-0.51,0.29,-0.03,0.58,0.34,-0.22,0.04,0.02
39,0.45,0.28,0.16,0.37,0.72,-0.15,0.1,0.01
40,-0.06,0.28,0.39,-0.09,0.89,-0.07,0.16,0.01
41,0.01,0.28,-0.38,-0.23,0.79,0,0.19,0.01
42,1.05,0.28,-0.22,-0.05,0.47,0.05,0.2,0.01
43,1.57,0.28,0.35,-0.21,0.14,0.08,0.19,0
44,1.23,0.28,0.15,-0.62,-0.17,0.07,0.18,-0.01
45,0.56,0.28,-0.2,-0.33,-0.43,0.03,0.16,-0.02
46,-0.12,0.28,-0.14,0.42,-0.63,-0.03,0.14,-0.04
47,0.47,0.29,-0.18,0.48,-0.81,-0.1,0.12,-0.06
48,0.4,0.29,0.39,-0.05,-0.83,-0.14,0.09,-0.07
49,0.22,0.29,0.02,-0.09,-0.59,-0.1,0.09,-0.08
50,-0.92,0.29,0.03,0.36,-0.14,-0.01,0.09,-0.09
51,-1.05,0.3,-0.36,0.46,0.43,0.1,0.11,-0.09
52,-1.48,0.3,0.18,-0.05,0.88,0.21,0.12,-0.09
53,-0.67,0.3,-0.12,-0.61,1.03,0.26,0.11,-0.08
54,0.46,0.3,0.14,-0.51,0.88,0.26,0.08,-0.08
55,1.32,0.3,0.18,0.1,0.47,0.24,0.03,-0.08
56,1.38,0.3,0.05,0.43,-0.04,0.17,-0.02,-0.08
57,1.03,0.3,-0.16,0.2,-0.51,0.05,-0.06,-0.09
58,0.68,0.31,-0.14,-0.2,-0.8,-0.11,-0.1,-0.09
59,-0.92,0.31,0.22,-0.51,-0.86,-0.25,-0.13,-0.1
60,-0.26,0.31,-0.54,-0.43,-0.66,-0.34,-0.15,-0.11
61,-0.29,0.32,0.44,0.16,-0.27,-0.31,-0.15,-0.11
62,-0.39,0.32,0.12,0.69,0.15,-0.19,-0.12,-0.1
63,0.18,0.32,-0.23,0.69,0.48,-0.05,-0.08,-0.1
64,-0.29,0.32,0.24,0.4,0.61,0.09,-0.05,-0.09
65,-0.67,0.32,-0.14,-0.11,0.55,0.21,-0.03,-0.08
66,1.23,0.32,-0.46,-0.73,0.44,0.3,-0.03,-0.07
67,1.36,0.32,0.73,-0.77,0.34,0.35,-0.04,-0.06
68,1.53,0.32,-0.12,-0.26,0.23,0.32,-0.06,-0.05
69,0.62,0.32,-0.05,0.21,0.01,0.2,-0.08,-0.05
70,0.12,0.33,-0.26,0.53,-0.35,0.02,-0.08,-0.05
71,0.3,0.33,-0.07,0.26,-0.79,-0.16,-0.07,-0.05
72,-0.07,0.34,0.31,-0.39,-1.08,-0.28,-0.05,-0.04
73,-0.92,0.34,0.05,-0.24,-0.97,-0.33,-0.01,-0.03
74,-1.06,0.34,-0.28,0.48,-0.43,-0.31,0.04,-0.02
75,-0.92,0.34,0.04,0.63,0.28,-0.24,0.09,0
76,-0.92,0.34,0.17,0.08,0.92,-0.14,0.13,0.02
77,-0.12,0.34,-0.15,-0.47,1.15,-0.02,0.15,0.04
78,0.35,0.34,0.15,-0.39,0.91,0.08,0.14,0.05
79,1.01,0.35,-0.04,-0.03,0.51,0.14,0.11,0.07
80,1.09,0.35,0.07,-0.04,0.01,0.15,0.08,0.08
81,0.46,0.35,0.01,-0.15,-0.38,0.1,0.05,0.09
82,0.17,0.35,-0.23,-0.09,-0.55,0.01,0.03,0.1
83,0.17,0.36,-0.02,-0.03,-0.71,-0.1,0.01,0.1
84,-0.92,0.36,0.31,0.05,-0.68,-0.18,0,0.1
85,0.35,0.37,-0.54,0.23,-0.45,-0.18,0.01,0.11
86,-0.51,0.37,0.67,0.43,-0.13,-0.12,0.03,0.12
87,-0.92,0.37,-0.24,0.39,0.32,-0.01,0.05,0.13
88,-0.39,0.37,-0.31,0.03,0.69,0.12,0.06,0.14
89,0.07,0.37,0.23,-0.26,0.79,0.23,0.04,0.15
90,0.74,0.38,0.07,-0.41,0.72,0.31,0.01,0.15
91,1.09,0.38,0.04,-0.44,0.43,0.37,-0.03,0.16
92,1.11,0.38,-0.02,0,0.04,0.37,-0.08,0.16
93,0.76,0.38,-0.04,0.33,-0.34,0.28,-0.11,0.16
94,-0.2,0.39,0.02,0,-0.72,0.12,-0.13,0.15
95,-0.92,0.39,-0.15,-0.24,-0.94,-0.07,-0.14,0.14
96,-0.36,0.4,-0.18,-0.04,-0.89,-0.23,-0.14,0.13
97,-0.54,0.4,0.41,0.19,-0.61,-0.32,-0.11,0.12
98,-0.73,0.4,-0.02,0.34,-0.08,-0.33,-0.08,0.12
99,-0.51,0.4,-0.19,0.4,0.47,-0.3,-0.04,0.13
100,-0.92,0.41,0.16,0.25,0.78,-0.24,-0.02,0.13
101,-0.12,0.41,-0.26,-0.27,0.9,-0.16,-0.01,0.13
102,1.07,0.41,0.09,-0.69,0.74,-0.08,-0.01,0.13
103,1.25,0.41,0.34,-0.46,0.41,0.01,-0.02,0.13
104,1.48,0.41,-0.2,0.06,0.12,0.06,-0.04,0.13
105,1.05,0.41,-0.02,0.31,-0.24,0.05,-0.04,0.12
106,-0.67,0.42,0.12,0.24,-0.55,-0.01,-0.04,0.1
107,-0.27,0.42,-0.59,-0.11,-0.72,-0.08,-0.03,0.08
108,-0.92,0.43,0.49,-0.26,-0.77,-0.14,-0.01,0.07
109,-1.17,0.43,-0.01,0.09,-0.5,-0.11,0.02,0.06
110,-0.06,0.43,-0.28,0.45,-0.03,-0.02,0.05,0.05
111,-0.2,0.43,0.46,0.56,0.44,0.09,0.09,0.04
112,-0.39,0.43,-0.11,0.26,0.78,0.19,0.11,0.04
113,1.09,0.42,-0.45,-0.4,0.79,0.29,0.12,0.03
114,1.11,0.42,0.54,-0.64,0.53,0.36,0.1,0.02
115,1.27,0.42,-0.12,-0.5,0.2,0.41,0.08,0.01
116,1.66,0.42,-0.19,-0.29,-0.17,0.39,0.06,0.01
117,1.07,0.42,0.22,0.23,-0.45,0.27,0.03,-0.01
118,0.96,0.42,-0.2,0.45,-0.63,0.1,0.01,-0.02
119,0.01,0.42,0.14,0.1,-0.81,-0.09,-0.01,-0.04
120,0.65,0.42,-0.34,0.07,-0.74,-0.25,-0.01,-0.05
121,0.66,0.42,0.34,0.24,-0.43,-0.34,-0.01,-0.06
122,0.68,0.42,0.03,0.11,0.06,-0.36,0.01,-0.06
123,-0.92,0.41,0.17,0.06,0.7,-0.32,0.03,-0.06
124,0.43,0.41,-0.8,0.08,1.1,-0.26,0.04,-0.06
125,0.43,0.41,0.64,-0.16,1.06,-0.17,0.04,-0.06
126,0.74,0.41,0.01,-0.51,0.74,-0.07,0.02,-0.06
127,1.48,0.4,-0.19,-0.39,0.12,0.02,-0.01,-0.06
128,1.31,0.4,0.21,0.27,-0.47,0.07,-0.03,-0.06
129,0.87,0.4,-0.07,0.45,-0.78,0.08,-0.04,-0.06
130,0.12,0.4,-0.09,-0.12,-0.95,0.04,-0.06,-0.07
131,0.07,0.4,-0.17,-0.33,-0.85,-0.02,-0.07,-0.08
132,-0.92,0.4,0.3,-0.05,-0.51,-0.06,-0.06,-0.09
133,-0.92,0.4,-0.25,0.1,-0.14,-0.05,-0.03,-0.1
134,0.27,0.4,-0.11,0.31,0.32,0.01,0.01,-0.1
135,0.26,0.4,0.5,0.45,0.69,0.1,0.05,-0.1
136,-0.67,0.4,0.01,0.12,0.79,0.17,0.08,-0.09
137,0.17,0.39,-0.63,-0.19,0.73,0.21,0.09,-0.09
138,0.71,0.39,0.3,-0.23,0.5,0.23,0.09,-0.09
139,1.39,0.39,0.14,-0.48,0.19,0.22,0.08,-0.08
140,1.54,0.39,0.05,-0.56,-0.04,0.16,0.05,-0.08
141,0.65,0.39,0.04,0.17,-0.26,0.06,0.03,-0.08
142,-0.2,0.39,-0.24,0.71,-0.5,-0.07,0,-0.09
143,-0.29,0.39,-0.17,0.22,-0.65,-0.21,-0.02,-0.09
144,0.32,0.39,0.09,-0.31,-0.71,-0.29,-0.04,-0.09
145,0.31,0.38,0.33,-0.2,-0.55,-0.28,-0.04,-0.09
146,-0.92,0.38,0.11,0.23,-0.14,-0.2,-0.02,-0.08
147,-0.92,0.38,-0.53,0.57,0.34,-0.08,0,-0.07
148,-0.2,0.38,0.01,0.32,0.71,0.04,0.02,-0.06
149,0.12,0.37,0.36,-0.49,0.77,0.12,0.01,-0.05
150,0.98,0.37,-0.11,-0.82,0.55,0.18,-0.02,-0.04
151,1.48,0.36,0.05,-0.16,0.15,0.21,-0.05,-0.04
152,1.25,0.36,0.08,0.5,-0.25,0.17,-0.08,-0.03
153,1.07,0.36,-0.18,0.23,-0.48,0.06,-0.11,-0.03
154,0.53,0.36,0.01,-0.3,-0.62,-0.09,-0.13,-0.04
155,0.36,0.36,-0.08,-0.29,-0.6,-0.24,-0.14,-0.05
156,0.36,0.36,0.04,-0.02,-0.44,-0.34,-0.13,-0.05
157,0.36,0.36,0.08,0.26,-0.2,-0.35,-0.1,-0.05
158,-0.92,0.35,0.22,0.49,0.18,-0.28,-0.05,-0.04
159,0.26,0.35,-0.65,0.39,0.53,-0.16,0,-0.04
