sl.no.,Original Signal,Approximation,D 1,D 2,D 3,D 4,D 5,D 6
1,-0.20,0.07,-0.14,0.35,-0.52,-0.28,-0.14,0.23
2,-0.04,0.08,0.04,0.28,-0.25,-0.43,-0.11,0.24
3,0.33,0.08,0.08,0.15,0.10,-0.44,-0.08,0.25
4,0.70,0.08,0.05,0.04,0.46,-0.32,-0.03,0.26
5,0.96,0.09,0.00,-0.04,0.74,-0.10,0.00,0.27
6,1.20,0.09,-0.04,-0.12,0.86,0.10,0.01,0.27
7,1.23,0.09,0.01,-0.28,0.71,0.24,0.00,0.28
8,1.02,0.10,0.00,-0.38,0.31,0.34,-0.04,0.28
9,0.55,0.11,-0.01,-0.23,-0.19,0.38,-0.09,0.27
10,-0.34,0.12,0.01,0.06,-0.68,0.34,-0.12,0.26
11,-0.71,0.13,-0.16,0.26,-0.96,0.24,-0.14,0.25
12,-0.39,0.14,-0.03,0.29,-0.96,0.10,-0.13,0.24
13,-0.20,0.15,0.22,0.20,-0.71,-0.05,-0.11,0.23
14,0.13,0.15,0.00,0.11,-0.26,-0.14,-0.07,0.22
15,0.30,0.16,-0.01,0.10,0.26,-0.14,-0.02,0.23
16,0.74,0.16,-0.09,0.01,0.69,-0.09,0.04,0.23
17,1.12,0.16,0.04,-0.29,0.92,-0.01,0.10,0.24
18,1.44,0.17,0.02,-0.52,0.89,0.06,0.13,0.25
19,1.36,0.17,0.04,-0.31,0.60,0.11,0.13,0.25
20,1.01,0.17,-0.04,0.10,0.15,0.11,0.11,0.24
21,0.37,0.18,-0.03,0.30,-0.32,0.08,0.07,0.23
22,-0.17,0.19,-0.07,0.25,-0.64,0.01,0.04,0.21
23,-0.71,0.20,0.02,0.11,-0.72,-0.09,0.03,0.20
24,-0.83,0.20,-0.03,0.07,-0.54,-0.18,0.05,0.18
25,-0.71,0.21,0.04,0.12,-0.16,-0.24,0.08,0.16
26,-0.55,0.22,0.07,0.14,0.25,-0.23,0.12,0.14
27,-0.27,0.22,-0.01,0.04,0.56,-0.16,0.16,0.13
28,0.45,0.22,-0.07,-0.13,0.64,-0.05,0.21,0.12
29,0.86,0.23,0.12,-0.28,0.46,0.08,0.23,0.11
30,1.14,0.23,-0.01,-0.35,0.10,0.19,0.23,0.09
31,1.10,0.23,-0.02,-0.24,-0.29,0.26,0.20,0.08
32,0.95,0.23,-0.05,0.00,-0.60,0.26,0.12,0.05
33,0.53,0.24,0.01,0.13,-0.71,0.19,0.03,0.02
34,0.10,0.24,-0.03,0.13,-0.64,0.08,-0.05,-0.02
35,-0.71,0.25,0.06,0.18,-0.40,-0.07,-0.11,-0.05
36,-0.49,0.25,-0.22,0.27,-0.06,-0.22,-0.13,-0.08
37,-0.62,0.25,0.23,0.23,0.32,-0.35,-0.13,-0.11
