sl.no,spi,Approximation,D 1,D 2,D 3,D 4,D 5,D 6
1,-0.16,-0.05,-0.19,0.42,-0.11,-0.27,-0.69,0.14
2,-0.14,-0.04,-0.06,0.35,-0.5,-0.31,-0.67,0.15
3,0.21,-0.03,-0.11,0.14,-0.63,-0.31,-0.62,0.17
4,0.51,-0.02,-0.01,-0.15,-0.5,-0.21,-0.53,0.2
5,0.92,-0.03,-0.03,-0.32,-0.16,-0.03,-0.42,0.24
6,1.21,-0.03,0.03,-0.32,0.31,0.2,-0.32,0.27
7,1.29,-0.04,0.08,-0.24,0.55,0.32,-0.24,0.29
8,0.96,-0.04,0.16,-0.13,0.54,0.32,-0.23,0.28
9,0.38,-0.03,0.12,0.03,0.32,0.23,-0.25,0.26
10,-0.71,-0.02,0.2,0.24,-0.03,0.16,-0.26,0.24
11,-0.92,0,-0.25,0.45,-0.35,0.12,-0.28,0.21
12,-0.6,0.02,-0.26,0.58,-0.55,0.08,-0.29,0.2
13,-0.44,0.04,0.01,0.32,-0.54,0,-0.29,0.19
14,-0.29,0.06,0.02,-0.27,-0.32,-0.12,-0.25,0.21
15,-0.06,0.08,-0.03,-0.53,0.07,-0.14,-0.16,0.25
16,0.46,0.1,-0.11,-0.34,0.52,-0.11,-0.02,0.3
17,1.03,0.1,-0.04,-0.16,0.78,-0.04,0.11,0.34
18,1.53,0.09,0.02,-0.17,0.78,0,0.17,0.36
19,1.46,0.08,0.2,-0.23,0.53,-0.02,0.2,0.36
20,1.07,0.07,0.16,-0.19,0.08,-0.07,0.19,0.34
21,0.14,0.07,0.21,0.06,-0.32,-0.1,0.15,0.3
22,-0.56,0.07,-0.03,0.4,-0.62,-0.07,0.1,0.24
23,-1.16,0.08,-0.06,0.63,-0.8,-0.02,0.03,0.19
24,-0.92,0.1,-0.3,0.6,-0.82,0.06,-0.01,0.14
25,-0.92,0.12,0.01,0.27,-0.67,0.14,-0.03,0.1
26,-0.65,0.13,-0.07,-0.19,-0.33,0.2,-0.03,0.08
27,-0.65,0.14,0.07,-0.46,0.19,0.26,-0.01,0.07
28,0.24,0.14,-0.28,-0.38,0.72,0.32,0.05,0.07
29,0.71,0.14,0.06,-0.21,1.05,0.32,0.12,0.08
30,1.11,0.14,0.06,-0.27,1.05,0.24,0.19,0.09
31,1.15,0.14,0.13,-0.34,0.74,0.06,0.23,0.09
32,0.96,0.13,0.11,-0.16,0.25,-0.16,0.22,0.09
33,0.46,0.14,0.13,0.12,-0.24,-0.33,0.17,0.06
34,-0.18,0.15,0.08,0.32,-0.63,-0.4,0.12,0.01
35,-0.84,0.17,0.02,0.44,-0.86,-0.38,0.07,-0.04
36,-0.71,0.19,-0.27,0.48,-0.93,-0.29,0.03,-0.09
37,-0.92,0.21,0.04,0.35,-0.82,-0.15,0.01,-0.12
38,-0.92,0.22,-0.04,-0.01,-0.48,0.03,0,-0.15
39,-0.71,0.22,-0.09,-0.26,-0.02,0.24,0.05,-0.15
40,0.38,0.21,-0.32,-0.2,0.46,0.43,0.13,-0.15
41,1.17,0.19,0.02,-0.21,0.84,0.51,0.19,-0.14
42,1.59,0.18,0.15,-0.48,0.94,0.44,0.24,-0.14
43,1.47,0.16,0.22,-0.59,0.82,0.25,0.26,-0.15
44,0.95,0.15,0.19,-0.26,0.5,0.01,0.23,-0.17
45,0.14,0.14,0.14,0.23,0.04,-0.21,0.18,-0.21
46,-0.52,0.14,-0.02,0.58,-0.44,-0.36,0.1,-0.27
47,-0.52,0.15,-0.24,0.71,-0.86,-0.44,0.04,-0.34
48,-0.44,0.16,-0.09,0.54,-1.08,-0.43,-0.01,-0.42
49,-0.44,0.17,0.02,0.06,-0.97,-0.35,-0.02,-0.46
50,-1.16,0.17,0.25,-0.36,-0.51,-0.18,0.02,-0.46
51,-0.77,0.16,-0.31,-0.33,0.13,0.03,0.08,-0.46
52,-0.02,0.15,-0.22,0.03,0.7,0.24,0.15,-0.44
53,0.72,0.13,-0.03,0.05,0.99,0.35,0.21,-0.4
54,1.18,0.11,0.1,-0.38,0.94,0.32,0.25,-0.36
55,1.28,0.08,0.15,-0.58,0.66,0.18,0.24,-0.33
56,1.05,0.06,0.15,-0.33,0.34,-0.02,0.18,-0.31
57,0.46,0.05,0.15,0.04,0.01,-0.2,0.11,-0.31
58,-0.14,0.04,0.04,0.36,-0.3,-0.32,0.04,-0.32
59,-0.77,0.04,0.01,0.53,-0.6,-0.37,-0.02,-0.32
60,-0.52,0.05,-0.3,0.53,-0.88,-0.36,-0.06,-0.32
61,-0.44,0.05,-0.02,0.34,-0.92,-0.28,-0.06,-0.32
62,-0.41,0.06,0.03,-0.07,-0.66,-0.09,-0.02,-0.32
63,-0.56,0.06,0.07,-0.39,-0.16,0.14,0.03,-0.31
64,0.42,0.06,-0.37,-0.28,0.42,0.38,0.09,-0.29
65,1,0.04,0.03,-0.07,0.82,0.49,0.13,-0.27
66,1.36,0.02,0.11,-0.24,0.91,0.46,0.13,-0.23
67,1.22,-0.01,0.19,-0.46,0.72,0.32,0.09,-0.21
68,0.82,-0.03,0.13,-0.24,0.38,0.13,0.02,-0.19
69,0.38,-0.04,0.04,0.18,-0.02,-0.05,-0.05,-0.18
70,0,-0.04,-0.02,0.45,-0.39,-0.2,-0.13,-0.17
71,-0.31,-0.03,-0.03,0.49,-0.66,-0.31,-0.19,-0.16
72,-1.02,-0.02,0.13,0.3,-0.8,-0.37,-0.22,-0.14
73,-0.92,-0.01,-0.24,0.12,-0.73,-0.33,-0.21,-0.12
74,-0.92,-0.01,-0.04,0.1,-0.41,-0.2,-0.17,-0.1
75,-0.56,-0.02,-0.11,-0.02,0.03,-0.01,-0.1,-0.07
76,-0.21,-0.03,-0.03,-0.25,0.47,0.17,-0.02,-0.04
77,0.54,-0.05,-0.14,-0.34,0.78,0.28,0.02,-0.01
78,0.83,-0.08,0.12,-0.34,0.87,0.25,0.03,0.04
79,0.89,-0.12,0.12,-0.35,0.73,0.14,0.01,0.07
80,0.53,-0.15,0.16,-0.23,0.46,0.01,-0.03,0.1
81,0.18,-0.16,0.04,0.08,0.09,-0.13,-0.08,0.12
82,-0.21,-0.16,0.01,0.36,-0.33,-0.23,-0.13,0.12
83,-0.52,-0.14,-0.02,0.44,-0.67,-0.27,-0.17,0.14
84,-0.84,-0.12,0,0.32,-0.85,-0.27,-0.18,0.15
85,-0.84,-0.1,-0.11,0.16,-0.81,-0.2,-0.17,0.16
86,-0.56,-0.09,-0.12,0.04,-0.52,-0.01,-0.11,0.17
87,-0.29,-0.08,-0.02,-0.1,-0.09,0.21,-0.02,0.18
88,0.37,-0.08,-0.13,-0.26,0.34,0.39,0.06,0.2
89,0.82,-0.08,0.04,-0.33,0.64,0.49,0.11,0.22
90,1.17,-0.09,0.05,-0.34,0.74,0.47,0.11,0.23
91,1.15,-0.1,0.14,-0.29,0.62,0.35,0.07,0.22
92,0.83,-0.1,0.14,-0.1,0.34,0.2,0.02,0.22
93,0.2,-0.1,0.13,0.14,-0.01,0.03,-0.04,0.21
94,-0.77,-0.1,0.14,0.34,-0.4,-0.15,-0.1,0.2
95,0.21,-0.08,-0.63,0.54,-0.69,-0.27,-0.15,0.2
96,0.16,-0.06,0.17,0.52,-0.8,-0.32,-0.18,0.21
97,-1.37,-0.05,0.6,-0.1,-0.66,-0.29,-0.17,0.22
98,-1.37,-0.03,-0.39,-0.5,-0.32,-0.19,-0.12,0.23
99,-0.6,-0.02,-0.4,0.17,0.12,-0.04,-0.04,0.24
100,0.35,-0.02,-0.13,0.49,0.54,0.08,0.05,0.25
101,0.91,-0.02,0.12,-0.28,0.68,0.15,0.11,0.26
102,1.28,-0.03,0.1,-0.82,0.7,0.14,0.14,0.24
103,1.23,-0.04,0.16,-0.61,0.64,0.04,0.12,0.21
104,0.84,-0.03,0.15,-0.17,0.39,-0.1,0.08,0.17
105,0.15,-0.03,0.13,0.22,0.19,-0.21,0.04,0.14
106,-1.02,-0.01,0.19,0.47,-0.19,-0.3,0,0.12
107,-0.78,0,-0.44,0.62,-0.69,-0.33,-0.02,0.12
108,-0.77,0.02,-0.05,0.63,-0.98,-0.28,-0.03,0.12
109,-0.44,0.04,-0.09,0.2,-0.97,-0.22,-0.01,0.12
110,-0.16,0.05,-0.01,-0.37,-0.59,-0.06,0.05,0.13
111,0.27,0.06,-0.05,-0.49,0.08,0.17,0.12,0.15
112,0.61,0.06,0.02,-0.37,0.71,0.36,0.19,0.17
113,1.03,0.06,-0.02,-0.26,0.98,0.42,0.24,0.17
114,1.26,0.06,0.06,-0.15,0.93,0.38,0.24,0.15
115,1.29,0.06,0.09,-0.07,0.56,0.25,0.2,0.12
116,1.11,0.06,0.09,0,0.03,0.08,0.14,0.08
117,0.71,0.07,0.09,0.12,-0.38,-0.02,0.06,0.04
118,0.24,0.08,0.04,0.25,-0.67,-0.13,-0.03,0.02
119,-0.41,0.1,0.07,0.32,-0.77,-0.25,-0.1,0
120,0.04,0.12,-0.36,0.36,-0.69,-0.27,-0.15,-0.01
121,-0.12,0.14,0.11,0.28,-0.51,-0.2,-0.16,-0.01
122,-0.27,0.15,0.05,-0.07,-0.2,-0.06,-0.12,0
123,-0.42,0.16,0,-0.32,0.15,0.09,-0.07,0.01
124,-0.08,0.16,-0.17,-0.14,0.49,0.21,0,0.03
125,0.79,0.15,-0.23,0.05,0.71,0.22,0.02,0.04
126,1.28,0.14,0.08,-0.1,0.71,0.16,0.02,0.02
127,1.33,0.14,0.19,-0.41,0.58,0.05,0.01,0
128,0.95,0.14,0.19,-0.45,0.34,-0.14,-0.02,-0.03
129,0.38,0.15,0.1,-0.08,0.07,-0.3,-0.07,-0.06
130,-0.14,0.16,0,0.36,-0.16,-0.4,-0.13,-0.08
131,-0.41,0.18,-0.09,0.56,-0.44,-0.43,-0.17,-0.09
132,-0.71,0.2,-0.01,0.46,-0.65,-0.38,-0.18,-0.09
133,-0.92,0.22,-0.03,0.18,-0.71,-0.25,-0.16,-0.08
134,-0.84,0.22,-0.11,-0.04,-0.55,-0.09,-0.09,-0.05
135,-0.31,0.22,-0.18,-0.1,-0.14,0.12,0,-0.01
136,0.21,0.21,-0.04,-0.18,0.33,0.32,0.1,0.02
