sl.no.,Original Signal,Approximation,D 1,D 2,D 3,D 4,D 5,D 6
1,-0.35,-0.22,-0.09,0.40,-0.67,-0.36,0.05,0.11
2,-0.42,-0.21,0.01,0.39,-0.31,-0.36,0.12,0.11
3,0.09,-0.21,-0.01,0.24,0.14,-0.30,0.19,0.12
4,0.78,-0.21,0.09,0.04,0.60,-0.21,0.25,0.12
5,1.13,-0.21,0.11,-0.14,0.93,-0.08,0.30,0.13
6,1.41,-0.21,-0.07,-0.23,1.02,0.04,0.32,0.14
7,1.35,-0.21,-0.02,-0.28,0.79,0.12,0.31,0.14
8,1.06,-0.20,-0.02,-0.34,0.28,0.17,0.29,0.15
9,0.50,-0.20,-0.01,-0.32,-0.33,0.17,0.25,0.15
10,-0.60,-0.19,0.04,-0.07,-0.88,0.09,0.20,0.14
11,-0.55,-0.18,-0.28,0.28,-1.18,-0.02,0.16,0.13
12,-0.10,-0.18,0.12,0.45,-1.14,-0.13,0.12,0.12
13,0.00,-0.17,0.25,0.36,-0.80,-0.22,0.10,0.11
14,0.08,-0.16,-0.06,0.18,-0.23,-0.24,0.08,0.10
15,0.21,-0.16,-0.10,0.09,0.40,-0.18,0.08,0.11
16,0.61,-0.16,-0.04,-0.10,0.92,-0.08,0.06,0.11
17,1.13,-0.15,0.04,-0.51,1.18,0.03,0.04,0.12
18,1.55,-0.15,0.06,-0.63,1.12,0.14,-0.01,0.12
19,1.45,-0.14,0.06,-0.16,0.73,0.22,-0.07,0.12
20,1.07,-0.14,-0.07,0.32,0.14,0.25,-0.13,0.11
21,0.14,-0.13,0.00,0.36,-0.47,0.24,-0.20,0.10
22,-0.26,-0.12,-0.18,0.14,-0.89,0.18,-0.26,0.09
23,-0.91,-0.10,0.13,-0.04,-0.98,0.08,-0.31,0.07
24,-1.24,-0.09,-0.02,-0.01,-0.71,-0.02,-0.35,0.05
25,-1.24,-0.08,-0.02,0.18,-0.19,-0.08,-0.36,0.03
