sl.no.,Original Signal,Approximation,D 1,D 2,D 3,D 4,D 5,D 6
1,-1.54,-0.04,0.21,0.21,0.18,-0.18,-0.19,0.17
2,-1.54,-0.04,-0.68,-0.12,0.24,-0.12,-0.24,0.18
3,-1.20,-0.04,0.27,-0.19,0.23,-0.06,-0.26,0.19
4,0.15,-0.04,0.17,0.00,0.25,-0.05,-0.25,0.20
5,1.20,-0.04,0.21,0.24,0.35,-0.06,-0.23,0.21
6,1.20,-0.04,0.10,0.46,0.42,-0.04,-0.21,0.21
7,1.33,-0.04,-0.31,0.35,0.39,0.02,-0.21,0.22
8,1.33,-0.04,-0.06,-0.45,0.18,0.12,-0.21,0.24
9,1.20,-0.04,0.06,-1.14,-0.14,0.20,-0.21,0.25
10,0.33,-0.04,0.12,-0.85,-0.40,0.25,-0.21,0.25
11,-1.21,-0.04,-0.02,0.13,-0.54,0.27,-0.22,0.26
12,-2.44,-0.04,-0.22,0.96,-0.57,0.28,-0.24,0.25
13,-1.21,-0.04,-0.36,0.96,-0.49,0.29,-0.26,0.25
14,-0.66,-0.03,0.64,0.31,-0.42,0.26,-0.28,0.24
15,-0.92,-0.03,0.21,-0.15,-0.23,0.22,-0.27,0.23
16,-2.44,-0.02,-0.11,-0.06,0.15,0.14,-0.24,0.22
17,-1.20,-0.02,-0.80,0.10,0.62,0.03,-0.19,0.21
18,-0.92,-0.02,0.60,-0.40,1.05,-0.08,-0.14,0.20
19,-0.66,-0.02,0.14,-1.11,1.09,-0.20,-0.10,0.19
20,-0.92,-0.02,-0.07,-0.67,0.61,-0.32,-0.07,0.19
21,0.15,-0.02,-0.36,0.66,-0.18,-0.42,-0.05,0.19
22,0.64,-0.01,0.31,1.00,-1.02,-0.49,-0.04,0.18
23,0.49,-0.01,0.13,0.08,-1.46,-0.52,-0.03,0.18
24,0.15,-0.01,-0.17,-0.39,-1.30,-0.49,-0.04,0.16
25,0.93,-0.01,-0.28,0.01,-0.69,-0.41,-0.04,0.15
26,0.93,-0.01,0.36,0.16,0.18,-0.29,-0.03,0.13
27,0.33,0.00,0.08,-0.14,0.94,-0.13,0.00,0.11
28,-0.66,0.00,-0.14,-0.06,1.32,0.05,0.05,0.09
29,-0.03,-0.01,-0.38,0.33,1.27,0.24,0.11,0.08
30,1.07,-0.01,0.23,0.22,0.81,0.39,0.18,0.06
31,1.07,-0.01,0.43,-0.27,0.15,0.47,0.23,0.05
32,1.20,-0.01,-0.24,-0.22,-0.44,0.48,0.27,0.05
33,0.15,-0.02,0.05,0.28,-0.78,0.44,0.29,0.04
34,-0.44,-0.02,-0.26,0.21,-0.84,0.38,0.30,0.03
35,-0.92,-0.03,0.01,-0.47,-0.71,0.31,0.29,0.02
36,-0.03,-0.03,-0.11,-0.66,-0.51,0.24,0.28,0.01
37,-0.03,-0.03,0.42,-0.04,-0.36,0.17,0.26,0.00
38,-0.44,-0.03,0.00,0.58,-0.22,0.12,0.26,-0.01
39,-0.44,-0.03,-0.28,0.70,-0.05,0.11,0.27,-0.02
40,-0.22,-0.03,0.00,0.30,0.15,0.16,0.29,-0.02
41,-0.43,-0.03,0.18,-0.44,0.37,0.22,0.30,-0.03
42,-0.43,-0.04,-0.09,-0.80,0.56,0.23,0.31,-0.03
43,0.79,-0.04,-0.22,-0.29,0.69,0.17,0.29,-0.03
44,1.57,-0.05,0.32,0.35,0.72,0.04,0.26,-0.03
45,1.57,-0.05,0.15,0.33,0.58,-0.09,0.22,-0.02
46,1.20,-0.06,-0.18,0.10,0.28,-0.21,0.18,-0.03
47,0.15,-0.06,-0.04,0.09,-0.14,-0.31,0.13,-0.03
48,-0.22,-0.06,-0.22,-0.10,-0.47,-0.40,0.07,-0.04
49,-1.54,-0.07,0.28,-0.41,-0.56,-0.46,0.03,-0.06
50,-1.54,-0.07,-0.28,-0.19,-0.37,-0.42,-0.01,-0.08
51,-1.93,-0.07,0.23,0.40,-0.03,-0.27,-0.01,-0.09
52,-1.54,-0.07,-0.07,0.64,0.20,-0.04,0.00,-0.11
53,-0.66,-0.08,0.00,0.33,0.19,0.17,0.02,-0.12
54,0.15,-0.08,0.13,-0.11,-0.01,0.32,0.03,-0.13
55,0.93,-0.08,0.00,-0.41,-0.22,0.39,0.02,-0.14
56,1.07,-0.09,0.04,-0.51,-0.28,0.39,0.00,-0.15
