Original Signal,Approximation,D 1,D 2,D 3,D 4,D 5,D 6
0.73,0.13,0.30,-0.21,0.17,-0.12,-0.04,0.09
0.38,0.13,0.13,-0.21,0.17,-0.10,-0.07,0.10
0.92,0.13,-0.28,-0.01,0.21,-0.12,-0.10,0.10
0.91,0.13,0.20,0.33,0.26,-0.15,-0.11,0.09
0.66,0.13,0.03,0.28,0.34,-0.16,-0.12,0.09
0.90,0.13,-0.19,-0.24,0.30,-0.12,-0.13,0.09
1.12,0.13,0.07,-0.35,0.07,-0.04,-0.14,0.09
0.66,0.14,0.17,-0.11,-0.15,0.03,-0.15,0.09
1.12,0.14,-0.28,-0.05,-0.39,0.07,-0.15,0.10
1.12,0.14,0.17,0.09,-0.45,0.10,-0.15,0.09
0.38,0.14,0.14,0.22,-0.35,0.14,-0.16,0.09
-0.97,0.15,-0.09,0.05,-0.28,0.17,-0.16,0.09
-0.10,0.15,-0.54,-0.02,-0.14,0.19,-0.17,0.09
-0.97,0.16,0.68,0.03,-0.02,0.17,-0.17,0.09
0.38,0.16,-0.44,-0.13,0.09,0.13,-0.16,0.09
-0.36,0.17,0.53,-0.05,0.30,0.07,-0.13,0.09
-0.61,0.17,-0.28,0.34,0.40,0.00,-0.11,0.09
-0.76,0.18,-0.14,0.22,0.37,-0.07,-0.08,0.09
0.66,0.18,-0.17,-0.33,0.24,-0.16,-0.06,0.09
-0.97,0.18,0.83,-0.54,0.00,-0.24,-0.05,0.10
-0.97,0.19,-0.70,-0.28,-0.19,-0.30,-0.05,0.10
0.38,0.19,-0.24,0.29,-0.25,-0.31,-0.05,0.10
0.90,0.19,0.58,0.53,-0.24,-0.30,-0.06,0.10
0.38,0.20,0.15,-0.02,-0.21,-0.26,-0.07,0.10
0.05,0.20,-0.38,-0.24,-0.15,-0.18,-0.07,0.10
0.38,0.21,-0.18,0.30,-0.06,-0.08,-0.07,0.09
1.50,0.21,0.08,0.13,0.07,0.06,-0.06,0.09
0.05,0.21,0.65,-0.60,0.26,0.20,-0.04,0.08
0.80,0.21,-0.79,-0.30,0.42,0.30,-0.01,0.08
0.38,0.21,0.33,0.56,0.37,0.35,0.02,0.08
0.90,0.21,-0.11,0.48,0.19,0.36,0.05,0.07
1.12,0.21,0.12,-0.23,-0.09,0.33,0.06,0.07
0.38,0.21,0.16,-0.34,-0.38,0.28,0.08,0.07
1.12,0.21,-0.45,0.11,-0.46,0.23,0.09,0.07
1.09,0.22,0.31,0.16,-0.35,0.13,0.10,0.07
-0.97,0.22,0.35,-0.16,-0.21,0.02,0.11,0.07
0.66,0.22,-1.06,-0.20,-0.02,-0.05,0.13,0.07
0.38,0.22,0.81,0.05,0.05,-0.09,0.15,0.07
-0.97,0.22,0.23,0.12,-0.01,-0.08,0.18,0.07
0.05,0.23,-0.81,-0.03,-0.02,-0.04,0.21,0.07
0.38,0.23,0.42,0.19,-0.02,-0.02,0.22,0.07
-0.36,0.23,0.33,0.25,0.04,-0.02,0.24,0.07
-0.36,0.23,-0.42,-0.35,0.18,-0.02,0.24,0.07
0.38,0.23,-0.12,-0.30,0.25,-0.01,0.23,0.06
1.50,0.23,0.19,0.23,0.31,-0.02,0.22,0.06
1.32,0.23,0.35,-0.10,0.27,-0.03,0.20,0.05
0.38,0.24,-0.14,-0.23,0.15,-0.04,0.17,0.04
0.90,0.24,-0.53,0.36,0.08,-0.07,0.14,0.02
-0.97,0.24,0.64,0.26,-0.09,-0.07,0.12,0.00
-0.36,0.24,-0.64,-0.38,-0.14,-0.02,0.11,-0.02
-0.97,0.24,0.43,-0.32,-0.09,0.04,0.10,-0.03
-0.97,0.24,-0.07,0.32,-0.10,0.11,0.10,-0.05
-0.97,0.24,-0.02,0.55,0.07,0.19,0.08,-0.07
-0.36,0.24,-0.07,0.25,0.13,0.23,0.06,-0.08
0.38,0.24,0.09,-0.08,0.03,0.23,0.03,-0.09
0.66,0.24,0.13,-0.40,0.02,0.22,0.01,-0.10
1.12,0.24,-0.14,-0.47,-0.10,0.16,-0.01,-0.11
0.66,0.24,0.12,-0.16,-0.20,0.06,-0.03,-0.11
0.38,0.24,-0.17,0.01,-0.17,-0.04,-0.06,-0.12
1.09,0.24,-0.19,-0.04,-0.27,-0.18,-0.09,-0.13
0.05,0.24,0.52,0.06,-0.33,-0.32,-0.11,-0.13
-0.97,0.24,-0.22,0.23,-0.34,-0.42,-0.13,-0.14
0.90,0.24,-0.65,0.39,-0.29,-0.49,-0.14,-0.15
0.10,0.24,1.00,0.38,-0.01,-0.53,-0.14,-0.15
-0.36,0.24,-0.26,-0.05,0.35,-0.51,-0.16,-0.15
-0.36,0.24,-0.34,-0.30,0.70,-0.47,-0.18,-0.15
0.38,0.24,0.00,0.03,0.86,-0.42,-0.21,-0.15
0.38,0.24,0.35,-0.09,0.70,-0.33,-0.25,-0.15
-0.97,0.24,0.13,-0.59,0.34,-0.22,-0.27,-0.15
1.67,0.24,-1.00,-0.13,-0.15,-0.10,-0.29,-0.15
-0.36,0.24,1.38,0.52,-0.60,0.04,-0.30,-0.15
-0.03,0.23,-0.83,0.10,-0.87,0.18,-0.31,-0.15
1.32,0.23,-0.23,-0.24,-0.90,0.28,-0.32,-0.16
-0.97,0.23,1.03,0.14,-0.68,0.39,-0.32,-0.16
0.66,0.23,-1.18,0.10,-0.30,0.50,-0.31,-0.16
0.38,0.23,0.63,-0.17,0.21,0.58,-0.28,-0.16
-0.36,0.22,0.15,0.12,0.59,0.63,-0.25,-0.15
-0.97,0.22,-0.30,0.13,0.77,0.63,-0.23,-0.14
1.67,0.22,-0.57,-0.10,0.77,0.56,-0.23,-0.13
0.38,0.21,1.30,0.07,0.50,0.43,-0.21,-0.11
0.66,0.21,-0.69,-0.12,0.20,0.30,-0.19,-0.09
0.05,0.20,-0.03,-0.18,-0.07,0.14,-0.16,-0.07
1.12,0.20,-0.25,0.36,-0.26,-0.04,-0.11,-0.05
0.38,0.19,0.58,-0.04,-0.35,-0.19,-0.07,-0.04
0.55,0.19,-0.33,-0.66,-0.41,-0.32,-0.03,-0.02
0.90,0.19,-0.06,0.05,-0.33,-0.40,0.01,-0.01
0.67,0.19,0.22,0.66,-0.29,-0.38,0.06,0.00
-0.36,0.18,0.05,0.18,-0.20,-0.29,0.11,0.01
-0.36,0.18,-0.39,-0.22,0.02,-0.19,0.16,0.02
0.05,0.18,0.07,-0.08,0.05,-0.08,0.21,0.03
0.05,0.18,0.28,-0.07,0.20,0.03,0.25,0.03
-0.97,0.17,0.11,-0.16,0.33,0.08,0.27,0.03
-0.36,0.17,-0.53,0.14,0.21,0.10,0.30,0.04
-0.61,0.17,0.35,0.35,0.21,0.09,0.34,0.04
-0.36,0.17,-0.05,-0.10,0.08,0.00,0.39,0.03
0.38,0.17,-0.09,-0.47,-0.16,-0.14,0.43,0.03
-0.36,0.17,0.35,-0.08,-0.22,-0.26,0.46,0.02
0.05,0.17,-0.42,0.27,-0.23,-0.36,0.48,0.01
0.05,0.17,0.12,0.10,-0.18,-0.41,0.49,0.00
0.38,0.17,0.01,-0.11,-0.01,-0.36,0.50,-0.01
-0.97,0.18,0.30,-0.14,0.09,-0.27,0.50,-0.01
-0.36,0.18,-0.61,-0.01,0.11,-0.16,0.48,-0.01
0.66,0.18,0.15,0.25,0.14,0.00,0.45,-0.01
0.05,0.18,0.56,0.16,0.16,0.17,0.41,-0.01
0.66,0.18,-0.49,-0.14,0.17,0.27,0.35,-0.01
-0.36,0.18,0.28,0.06,0.19,0.36,0.29,-0.01
1.32,0.18,-0.59,0.23,0.14,0.40,0.22,-0.01
0.05,0.18,0.84,-0.26,0.02,0.34,0.15,-0.01
0.05,0.19,-0.49,-0.51,-0.09,0.25,0.07,-0.02
-0.36,0.19,0.00,0.03,-0.19,0.18,-0.02,-0.03
0.90,0.20,-0.20,0.42,-0.27,0.08,-0.11,-0.04
1.12,0.20,0.47,0.14,-0.29,0.01,-0.19,-0.05
-0.97,0.20,0.31,-0.16,-0.32,-0.01,-0.26,-0.06
0.34,0.21,-1.12,0.09,-0.28,-0.05,-0.33,-0.07
-0.97,0.21,0.85,0.28,-0.13,-0.08,-0.39,-0.08
0.38,0.21,-0.51,-0.23,0.05,-0.05,-0.44,-0.09
1.99,0.22,0.17,-0.59,0.25,-0.02,-0.48,-0.09
1.84,0.22,0.55,0.05,0.37,-0.04,-0.50,-0.10
0.38,0.23,-0.13,0.60,0.34,-0.05,-0.51,-0.10
0.05,0.23,-0.65,0.26,0.17,-0.09,-0.51,-0.10
1.12,0.24,-0.07,-0.24,0.00,-0.16,-0.50,-0.10
0.90,0.24,0.67,-0.64,-0.13,-0.17,-0.47,-0.09
0.38,0.25,-0.07,-0.59,-0.15,-0.16,-0.42,-0.08
-0.97,0.25,-0.12,0.53,-0.04,-0.15,-0.35,-0.07
0.66,0.26,-0.66,1.24,0.06,-0.13,-0.28,-0.05
-0.97,0.26,1.06,0.27,0.10,-0.06,-0.19,-0.04
0.66,0.26,-0.83,-0.84,0.09,0.03,-0.12,-0.02
-0.97,0.27,0.76,-0.54,0.03,0.15,-0.05,0.00
-0.22,0.27,-0.68,0.26,0.00,0.26,0.01,0.03
-0.36,0.27,0.27,0.24,0.10,0.32,0.06,0.05
-0.36,0.28,0.05,-0.22,0.12,0.33,0.10,0.07
0.90,0.28,-0.26,-0.24,0.00,0.32,0.13,0.09
0.05,0.28,0.56,0.03,-0.16,0.30,0.16,0.10
-0.36,0.29,-0.35,0.20,-0.43,0.22,0.19,0.12
0.38,0.30,-0.33,0.17,-0.50,0.11,0.20,0.13
-0.36,0.30,0.53,-0.03,-0.28,-0.01,0.23,0.14
0.38,0.31,-0.37,-0.22,0.02,-0.12,0.24,0.15
0.90,0.31,0.13,-0.12,0.38,-0.22,0.24,0.16
-0.36,0.31,0.39,0.29,0.54,-0.29,0.22,0.17
-0.36,0.32,-0.56,0.34,0.48,-0.33,0.20,0.18
1.67,0.32,-0.27,-0.05,0.32,-0.37,0.15,0.19
-0.36,0.33,1.20,-0.25,0.11,-0.36,0.11,0.20
0.05,0.33,-0.96,-0.31,-0.02,-0.32,0.06,0.21
-0.36,0.34,0.13,-0.02,-0.16,-0.28,0.03,0.21
-0.36,0.35,0.08,0.44,-0.26,-0.22,0.00,0.22
0.90,0.36,-0.17,-0.01,-0.30,-0.17,-0.01,0.23
0.05,0.36,0.58,-0.45,-0.39,-0.10,-0.02,0.24
0.38,0.37,-0.48,0.17,-0.33,-0.01,-0.02,0.24
-0.97,0.38,0.26,0.44,-0.25,0.10,-0.02,0.24
-0.36,0.38,-0.48,-0.06,-0.16,0.17,-0.02,0.24
-0.97,0.39,0.44,-0.39,0.09,0.21,-0.03,0.24
-0.97,0.39,-0.12,-0.34,0.19,0.23,-0.04,0.23
0.05,0.40,-0.19,0.09,0.27,0.23,-0.06,0.22
0.05,0.40,0.39,0.51,0.34,0.25,-0.07,0.20
0.66,0.41,-0.20,0.30,0.17,0.22,-0.08,0.19
0.66,0.42,0.07,-0.13,0.08,0.13,-0.08,0.16
0.04,0.42,0.04,-0.26,0.05,0.02,-0.08,0.14
-0.97,0.43,-0.09,-0.28,-0.03,-0.05,-0.07,0.12
1.12,0.43,-0.61,-0.26,0.07,-0.08,-0.06,0.09
-0.36,0.44,1.16,-0.01,0.13,-0.07,-0.05,0.06
-0.97,0.44,-0.50,0.24,0.04,-0.03,-0.04,0.03
-0.36,0.45,-0.44,0.44,0.00,-0.01,-0.05,0.01
1.32,0.45,0.16,0.53,-0.15,0.05,-0.05,-0.02
1.67,0.45,0.57,-0.11,-0.25,0.16,-0.06,-0.05
1.32,0.45,-0.11,-0.71,-0.16,0.28,-0.06,-0.07
0.38,0.45,-0.23,-0.08,0.01,0.34,-0.06,-0.10
-0.36,0.46,-0.18,0.42,0.21,0.34,-0.06,-0.12
0.66,0.46,-0.22,-0.31,0.27,0.29,-0.06,-0.14
0.90,0.46,0.52,-0.71,0.14,0.21,-0.05,-0.15
-0.36,0.46,0.26,0.04,-0.16,0.12,-0.03,-0.16
0.66,0.47,-0.79,0.87,-0.45,-0.01,0.00,-0.17
0.66,0.47,0.43,0.87,-0.50,-0.14,0.03,-0.18
0.05,0.47,0.18,-0.04,-0.38,-0.29,0.05,-0.18
-0.97,0.47,-0.16,-0.89,-0.07,-0.37,0.08,-0.19
1.12,0.47,-0.65,-0.52,0.33,-0.41,0.11,-0.20
0.05,0.46,1.09,0.17,0.54,-0.43,0.14,-0.20
1.84,0.46,-0.75,0.04,0.56,-0.42,0.16,-0.21
-0.97,0.46,0.90,0.02,0.40,-0.36,0.19,-0.21
-0.36,0.46,-1.13,0.47,0.02,-0.29,0.21,-0.22
0.03,0.45,0.26,0.17,-0.35,-0.21,0.21,-0.22
1.32,0.45,0.21,-0.53,-0.52,-0.11,0.22,-0.22
0.66,0.45,0.46,-0.45,-0.46,-0.05,0.21,-0.22
1.12,0.44,-0.55,0.30,-0.14,0.02,0.20,-0.21
0.38,0.44,0.19,0.78,0.27,0.12,0.20,-0.20
0.82,0.44,-0.26,0.21,0.49,0.20,0.19,-0.18
0.90,0.43,0.19,-0.77,0.41,0.24,0.16,-0.17
0.38,0.43,0.15,-0.65,0.22,0.27,0.13,-0.15
0.38,0.42,-0.24,0.21,0.00,0.28,0.09,-0.13
1.32,0.42,-0.12,0.57,-0.17,0.28,0.05,-0.12
0.66,0.41,0.50,0.33,-0.14,0.30,0.01,-0.10
0.90,0.41,-0.36,-0.10,-0.14,0.26,-0.04,-0.08
0.38,0.41,0.10,-0.21,-0.24,0.17,-0.10,-0.05
-0.36,0.40,0.00,-0.03,-0.22,0.09,-0.16,-0.03
0.72,0.40,-0.38,-0.12,-0.18,-0.01,-0.21,-0.01
-0.36,0.39,0.68,-0.24,-0.06,-0.08,-0.25,0.02
-0.36,0.39,-0.39,0.05,0.16,-0.12,-0.27,0.05
-0.97,0.39,0.06,0.30,0.17,-0.15,-0.29,0.07
0.21,0.38,-0.29,0.26,0.03,-0.22,-0.29,0.09
0.90,0.37,0.37,-0.05,-0.09,-0.24,-0.29,0.11
1.12,0.37,0.13,-0.35,-0.21,-0.24,-0.28,0.12
0.90,0.36,-0.12,-0.10,-0.11,-0.22,-0.28,0.13
-0.97,0.36,0.11,0.25,0.14,-0.16,-0.25,0.14
0.66,0.35,-0.87,0.00,0.27,-0.13,-0.22,0.14
0.05,0.35,0.91,-0.42,0.30,-0.14,-0.20,0.14
-0.97,0.35,0.03,-0.33,0.20,-0.13,-0.17,0.14
-0.90,0.34,-0.52,0.28,-0.01,-0.06,-0.13,0.15
0.38,0.34,-0.05,0.85,-0.10,0.01,-0.08,0.15
-0.97,0.33,0.81,0.45,-0.10,0.09,-0.02,0.15
-0.97,0.33,-0.62,-0.51,-0.07,0.16,0.04,0.16
-0.36,0.32,-0.15,-0.47,0.07,0.18,0.10,0.16
-0.36,0.32,0.38,0.11,0.14,0.22,0.15,0.17
1.67,0.31,-0.37,-0.19,0.15,0.30,0.19,0.17
0.08,0.30,0.85,-0.36,0.11,0.35,0.22,0.17
1.50,0.30,-0.99,0.28,-0.08,0.35,0.24,0.16
1.12,0.30,0.48,0.42,-0.33,0.31,0.25,0.15
-0.97,0.29,0.28,-0.13,-0.51,0.21,0.25,0.14
0.05,0.29,-0.97,-0.38,-0.52,0.12,0.25,0.13
-0.36,0.28,0.66,-0.06,-0.34,0.06,0.23,0.12
-0.97,0.28,0.14,0.32,0.05,-0.01,0.22,0.12
0.07,0.28,-0.48,0.28,0.43,-0.10,0.21,0.11
0.09,0.27,0.41,0.30,0.56,-0.20,0.19,0.10
0.90,0.26,-0.15,0.29,0.57,-0.28,0.17,0.10
1.32,0.26,0.07,-0.36,0.37,-0.32,0.15,0.09
0.38,0.25,0.20,-0.63,0.08,-0.31,0.12,0.08
1.12,0.25,-0.56,-0.21,-0.03,-0.28,0.09,0.07
0.05,0.24,0.49,-0.11,-0.17,-0.25,0.07,0.05
1.32,0.24,-0.51,-0.08,-0.34,-0.22,0.03,0.03
0.05,0.24,0.67,0.18,-0.41,-0.16,0.00,0.02
0.05,0.24,-0.45,0.40,-0.59,-0.07,-0.03,0.00
-0.97,0.23,0.15,0.47,-0.55,0.04,-0.05,-0.01
0.05,0.23,-0.37,0.18,-0.22,0.16,-0.05,-0.02
0.05,0.22,0.47,-0.28,0.12,0.24,-0.06,-0.03
-0.97,0.22,0.16,-0.39,0.64,0.29,-0.06,-0.03
-0.36,0.22,-0.59,-0.05,0.93,0.31,-0.05,-0.04
0.38,0.21,0.17,0.25,0.81,0.29,-0.04,-0.04
-0.36,0.21,0.46,-0.04,0.55,0.26,-0.04,-0.04
1.67,0.20,-0.74,-0.44,-0.02,0.19,-0.03,-0.04
3.01,0.20,0.44,-0.10,-0.51,0.10,-0.04,-0.05
1.84,0.19,0.55,0.33,-0.73,-0.02,-0.05,-0.05
0.05,0.19,-0.48,0.07,-0.79,-0.13,-0.07,-0.06
0.90,0.19,-0.79,-0.06,-0.52,-0.18,-0.08,-0.07
0.38,0.19,0.77,0.03,-0.15,-0.20,-0.10,-0.07
-0.97,0.18,0.22,-0.39,0.17,-0.16,-0.11,-0.08
0.05,0.18,-0.72,-0.16,0.42,-0.11,-0.11,-0.08
-0.03,0.18,0.51,1.01,0.52,-0.06,-0.12,-0.08
-0.97,0.18,0.19,0.89,0.48,-0.02,-0.13,-0.08
0.38,0.18,-0.68,-0.42,0.35,0.03,-0.14,-0.07
0.90,0.18,0.45,-0.70,0.19,0.05,-0.15,-0.07
1.67,0.17,0.05,-0.35,-0.01,0.01,-0.16,-0.07
0.38,0.17,0.25,-0.41,-0.16,-0.05,-0.17,-0.07
0.38,0.17,-0.60,-0.07,-0.27,-0.15,-0.19,-0.07
-0.36,0.17,0.20,0.40,-0.46,-0.23,-0.20,-0.07
-0.36,0.18,-0.06,0.02,-0.60,-0.28,-0.20,-0.08
0.05,0.18,0.03,-0.25,-0.68,-0.29,-0.19,-0.08
-0.38,0.18,0.27,0.29,-0.60,-0.25,-0.16,-0.09
0.66,0.18,-0.38,0.68,-0.21,-0.17,-0.12,-0.09
-0.97,0.18,0.59,0.37,0.37,-0.07,-0.09,-0.08
-0.97,0.18,-0.61,-0.20,0.89,0.04,-0.05,-0.08
0.05,0.18,-0.12,-0.53,1.17,0.14,-0.02,-0.08
0.66,0.18,0.45,-0.50,1.10,0.20,0.01,-0.07
-0.21,0.18,0.26,-0.25,0.64,0.21,0.04,-0.06
0.05,0.18,-0.57,0.20,0.05,0.18,0.06,-0.06
0.66,0.18,0.00,0.62,-0.46,0.12,0.08,-0.06
0.38,0.19,0.37,0.21,-0.89,0.06,0.09,-0.05
0.38,0.19,-0.17,-0.57,-1.05,0.02,0.10,-0.06
0.90,0.19,-0.15,-0.31,-0.89,0.01,0.10,-0.06
0.74,0.19,0.25,0.42,-0.53,0.03,0.12,-0.05
0.38,0.19,-0.03,0.27,0.01,0.11,0.14,-0.05
-0.97,0.19,0.04,-0.12,0.50,0.22,0.14,-0.05
-0.36,0.19,-0.50,-0.01,0.72,0.33,0.14,-0.04
-0.97,0.19,0.51,0.01,0.61,0.39,0.14,-0.04
0.05,0.19,-0.28,-0.18,0.36,0.37,0.12,-0.03
1.67,0.19,0.05,-0.02,0.08,0.27,0.11,-0.03
0.38,0.19,0.70,0.32,-0.12,0.14,0.10,-0.02
1.32,0.20,-0.89,0.21,-0.15,0.00,0.09,-0.02
0.52,0.20,0.38,-0.19,-0.21,-0.19,0.08,-0.02
0.05,0.20,-0.09,-0.46,-0.28,-0.40,0.07,-0.03
0.66,0.20,-0.25,-0.55,-0.27,-0.53,0.07,-0.03
0.66,0.20,0.34,-0.13,-0.24,-0.58,0.08,-0.04
0.90,0.19,-0.03,0.60,-0.12,-0.51,0.11,-0.04
-0.36,0.19,0.19,0.69,0.02,-0.32,0.14,-0.04
-0.36,0.19,-0.47,0.31,0.08,-0.13,0.17,-0.04
0.38,0.19,0.00,-0.06,0.13,0.01,0.18,-0.04
1.50,0.19,0.23,-0.53,0.22,0.18,0.19,-0.03
0.38,0.19,0.49,-0.56,0.35,0.34,0.20,-0.03
0.05,0.19,-0.57,0.09,0.52,0.41,0.21,-0.02
0.66,0.18,-0.24,0.53,0.48,0.42,0.20,-0.02
1.99,0.18,0.20,0.10,0.20,0.33,0.19,-0.02
1.67,0.18,0.52,-0.60,-0.21,0.16,0.17,-0.02
1.32,0.18,-0.29,-0.35,-0.68,0.02,0.15,-0.02
-0.97,0.18,0.11,0.58,-0.79,-0.04,0.15,-0.03
0.05,0.18,-0.85,0.60,-0.59,-0.08,0.14,-0.03
0.05,0.18,0.67,-0.30,-0.23,-0.09,0.13,-0.03
-0.93,0.18,0.33,-0.64,0.24,-0.07,0.10,-0.03
0.90,0.18,-0.79,0.05,0.45,-0.06,0.06,-0.03
0.05,0.18,0.80,0.81,0.46,-0.01,0.01,-0.03
0.38,0.18,-0.40,0.53,0.41,0.06,-0.05,-0.03
0.05,0.18,0.03,-0.48,0.23,0.07,-0.11,-0.03
1.67,0.19,-0.32,-0.73,0.10,0.03,-0.17,-0.03
0.90,0.19,0.72,-0.31,-0.02,-0.07,-0.22,-0.03
2.27,0.20,-0.62,-0.13,-0.17,-0.19,-0.27,-0.03
0.66,0.20,0.61,0.25,-0.28,-0.29,-0.30,-0.03
1.72,0.21,-0.76,0.58,-0.33,-0.32,-0.31,-0.03
0.05,0.21,0.67,0.14,-0.37,-0.32,-0.31,-0.02
0.38,0.21,-0.54,-0.28,-0.30,-0.29,-0.30,-0.01
-0.97,0.22,0.40,-0.10,-0.10,-0.22,-0.29,-0.01
0.38,0.22,-0.54,0.17,0.14,-0.13,-0.29,0.00
-0.36,0.23,0.69,0.24,0.48,-0.02,-0.29,0.02
-0.97,0.23,-0.17,0.10,0.68,0.12,-0.29,0.03
-0.97,0.23,-0.31,-0.02,0.56,0.23,-0.28,0.04
1.67,0.24,-0.30,-0.06,0.31,0.27,-0.27,0.05
0.66,0.24,1.17,-0.35,-0.14,0.24,-0.25,0.06
1.50,0.25,-0.77,-0.52,-0.51,0.18,-0.22,0.07
