Original Signal,Approximation,D 1,D 2,D 3,D 4,D 5,D 6
-1.600000000000000033e-01,-5.384464787789845081e-02,-1.869615242270663003e-01,4.212230468823985330e-01,-1.087734394090434376e-01,-2.734689520534753782e-01,-6.856912849992327086e-01,1.362099552117958523e-01
-1.400000000000000133e-01,-3.779898729755040016e-02,-6.380925513389346104e-02,3.534602524661104583e-01,-5.013290700909612818e-01,-3.058121285692835811e-01,-6.715994895768743200e-01,1.453296502488771735e-01
2.099999999999999922e-01,-2.696168842636897933e-02,-1.136121593216772863e-01,1.434266555578452007e-01,-6.322599792161718302e-01,-3.091953765458401726e-01,-6.193130395678386746e-01,1.699264490019335161e-01
5.100000000000000089e-01,-2.215479161073462266e-02,-1.312177826491070509e-02,-1.504150172474265912e-01,-5.024207275126376659e-01,-2.124683289664231478e-01,-5.280652543097330565e-01,2.026113569812783011e-01
9.200000000000000400e-01,-2.515279154039260640e-02,-3.299038105676660448e-02,-3.193063956364101119e-01,-1.585305466911378358e-01,-3.490324721720011736e-02,-4.198627628716651849e-01,2.391528820876263062e-01
1.209999999999999964e+00,-3.192393858390465966e-02,3.091506350946104931e-02,-3.188997487022782740e-01,3.139069002817396759e-01,2.033293955052265234e-01,-3.156694130506070284e-01,2.724543099734465512e-01
1.290000000000000036e+00,-3.594213189912080775e-02,8.269709581221607042e-02,-2.435712556819179808e-01,5.537163875968910132e-01,3.201198405235060607e-01,-2.385509269054194303e-01,2.871806583787839262e-01
9.599999999999999645e-01,-3.774511840729970202e-02,1.592339375865879925e-01,-1.306710522179647671e-01,5.411893237358722519e-01,3.170685510630718018e-01,-2.269102195631570174e-01,2.790496401057768194e-01
3.800000000000000044e-01,-3.342788196119103605e-02,1.228941916244322696e-01,3.291984985006052300e-02,3.165790826388037438e-01,2.310751335093133574e-01,-2.451733146090720739e-01,2.600055943425514382e-01
-7.099999999999999645e-01,-2.103065766017409022e-02,1.970448267190433311e-01,2.401080974562898041e-01,-3.291831797640878965e-02,1.613673833073660524e-01,-2.601856396880750655e-01,2.378057742309302447e-01
-9.200000000000000400e-01,-4.391542229184502988e-03,-2.538573498500604764e-01,4.539321663736565204e-01,-3.506810150682074800e-01,1.216770869429195101e-01,-2.767534723621920545e-01,2.142936258140624994e-01
-5.999999999999999778e-01,1.628073061574256825e-02,-2.615239548340145825e-01,5.815799882328185344e-01,-5.512349337400043181e-01,7.909603069389209429e-02,-2.938583759065352408e-01,1.951951796240918857e-01
-4.400000000000000022e-01,3.986813982216770580e-02,6.142650149939421489e-03,3.199690775410800603e-01,-5.419681468513803946e-01,2.471073573382581712e-03,-2.933666532671712623e-01,1.922395226404839952e-01
-2.899999999999999800e-01,6.290403484484788366e-02,1.805607966083860871e-02,-2.667559424464690521e-01,-3.166407039938928802e-01,-1.183050319120821509e-01,-2.546663854322025466e-01,2.102082777953820925e-01
-5.999999999999999778e-02,8.245287226401347425e-02,-2.640544456622764824e-02,-5.265379053561723977e-01,7.120008918413428534e-02,-1.396285401247770730e-01,-1.602541716548738504e-01,2.450345606887939787e-01
4.600000000000000200e-01,9.765095936755113781e-02,-1.063573498500605952e-01,-3.371320985523387770e-01,5.187552882353944073e-01,-1.083963347879502437e-01,-1.975166709590952044e-02,3.021881139830103757e-01
1.030000000000000027e+00,9.985632954173105647e-02,-4.361215932167727960e-02,-1.604615010960490917e-01,7.832924132534794248e-01,-4.391459262744040748e-02,1.062637708965333272e-01,3.442141033872587741e-01
1.530000000000000027e+00,8.925042212942026210e-02,1.933012701892222740e-02,-1.669643143314979150e-01,7.804961799167114966e-01,-4.142202630613323056e-03,1.689215359571023534e-01,3.562147559111032979e-01
1.459999999999999964e+00,7.814498374553821569e-02,2.010640646055100733e-01,-2.339570769930556238e-01,5.262098728802413472e-01,-1.508219889425108096e-02,2.025039268742164500e-01,3.569157695883515835e-01
1.070000000000000062e+00,6.852969209368028891e-02,1.614406523420375272e-01,-1.878433068038336262e-01,8.280254773293210802e-02,-6.620286631908661734e-02,1.913433661685684517e-01,3.398236395855687708e-01
1.400000000000000133e-01,6.542680901859743159e-02,2.136954618136543971e-01,6.178042143521039753e-02,-3.242534394038374956e-01,-9.651873713615286010e-02,1.513319142077351187e-01,2.989365280066775821e-01
-5.600000000000000533e-01,7.093518609263449459e-02,-2.913303120670596158e-02,4.014502018922191939e-01,-6.192694719211441212e-01,-7.255829171233527108e-02,1.005232226461457712e-01,2.418702605120663929e-01
-1.159999999999999920e+00,8.164308317009620619e-02,-5.519709581221626804e-02,6.291572788852748399e-01,-8.013604770964133373e-01,-2.332950199501454547e-02,3.157561792787247357e-02,1.876981852882822488e-01
-9.200000000000000400e-01,9.886214320755462581e-02,-2.960159698893429225e-01,5.980675560541365288e-01,-8.216975639928190134e-01,6.134677879128822009e-02,-1.194889003544551132e-02,1.388349126306018810e-01
-9.200000000000000400e-01,1.171683391232283267e-01,5.096189432334252700e-03,2.714674898045527085e-01,-6.748935557439541544e-01,1.416043039421867877e-01,-3.028029616596769613e-02,1.025356646763364854e-01
-6.500000000000000222e-01,1.318706010042598742e-01,-7.024519052838329447e-02,-1.941842320028762392e-01,-3.278903986014962135e-01,2.032382725619624186e-01,-2.987442398585331282e-02,8.123742500848184223e-02
-6.500000000000000222e-01,1.405489642386453242e-01,6.750000000000005995e-02,-4.624069166476687531e-01,1.915567068115610616e-01,2.631430882444776853e-01,-7.155701327668073652e-03,7.157956191578866700e-02
2.399999999999999911e-01,1.446783444763463933e-01,-2.792339375865879880e-01,-3.755411502222789077e-01,7.215540563643184635e-01,3.164243175275766040e-01,4.770484686061272905e-02,6.995144655536167377e-02
7.099999999999999645e-01,1.441580341310652880e-01,6.199201505532843381e-02,-2.109590732292233595e-01,1.053070996440307550e+00,3.158213684039088975e-01,1.214004102095540411e-01,7.928041002146157812e-02
1.110000000000000098e+00,1.418797816815006718e-01,6.233811196359367868e-02,-2.658320769930556104e-01,1.051743518886294249e+00,2.374055750998362302e-01,1.948042513753102112e-01,8.915015275481968926e-02
1.149999999999999911e+00,1.377136757583184989e-01,1.293477309068271630e-01,-3.413356609657508534e-01,7.368746974433562080e-01,6.414421163239494850e-02,2.254397193749191897e-01,9.336860159044704788e-02
9.599999999999999645e-01,1.328776059604563353e-01,1.114887470582046625e-01,-1.556333703132948276e-01,2.476830373823938058e-01,-1.607640160414987307e-01,2.210020515296887977e-01,9.236490573140176963e-02
4.600000000000000200e-01,1.351739492879936444e-01,1.269134295108991228e-01,1.222856162754503151e-01,-2.389480514863523419e-01,-3.330960217463650452e-01,1.745157907311403744e-01,6.462774404122048622e-02
-1.799999999999999933e-01,1.481512633957925151e-01,7.617785792574935377e-02,3.153873165235960285e-01,-6.277892820777916105e-01,-3.977948064654971416e-01,1.178780405989036939e-01,1.405764992140032775e-02
