Original Signal,Approximation,D 1,D 2,D 3,D 4,D 5,D 6,D 7
-9.200000000000000400e-01,3.584253611735682687e-02,9.218876556301847103e-01,5.399915986970171833e-02,3.597279451712454001e-02,-8.541354168473550557e-01,2.984018893364316916e-01,-2.506502550043904765e-01,3.135163851552374981e-01
1.000000000000000056e-01,4.369802200963851524e-02,-1.026081668493415089e+00,2.836036733532962817e-01,-2.181264162185655997e-01,-7.895626846913060826e-01,2.648972352241895090e-01,-3.110486796436410240e-01,3.069538697680833095e-01
2.200000000000000011e-01,4.978675999241391481e-02,-3.304790966802925722e-02,8.660246561782093400e-01,-5.195344350738959616e-01,-6.747356813879514803e-01,2.369767839445934832e-01,-3.814305246156778351e-01,2.955823175832797411e-01
1.020000000000000018e+00,5.376948390006479339e-02,-1.498686027918559038e-01,6.266889489504239297e-01,-5.412228994777876778e-01,-4.963009493576056586e-01,2.286583967812157447e-01,-4.435615503522817860e-01,2.819257401983394917e-01
1.699999999999999956e+00,5.395265249503550242e-02,-2.124355652982157228e-02,-4.830235463343740543e-01,-4.362222992761693452e-01,-3.060620288863017402e-01,2.247744543813374185e-01,-4.930434596021677773e-01,2.659853948768711729e-01
1.610000000000000098e+00,5.086583525378273601e-02,2.739406523420374606e-01,-8.569236110122238070e-01,-9.337978732293317208e-02,-1.128089550608962766e-01,2.368023946168015259e-01,-5.206134577511016825e-01,2.552776273737739632e-01
1.120000000000000107e+00,4.563124689765779562e-02,2.070624306069482889e-01,-6.086921244234787531e-01,5.072040353944353708e-01,7.564511144365565487e-02,2.602592786394253288e-01,-5.283322940409171942e-01,2.507984829349824141e-01
3.499999999999999778e-01,4.096284929223310833e-02,1.322243186433545992e-01,-1.886646550098206587e-01,7.326521967531197665e-01,2.205704803342103115e-01,2.770252298512461686e-01,-5.176254058573062089e-01,2.517688826611387265e-01
-1.700000000000000122e-01,3.708261932047147297e-02,-5.975480947161676548e-02,4.204437815530578382e-01,7.670195634628793613e-01,3.305317629830428761e-01,2.773317937632483465e-01,-4.980814077179583910e-01,2.599394117266513593e-01
-5.999999999999999778e-01,3.501669413728905611e-02,-5.361215932167727460e-02,6.836965253954550015e-01,4.094213576103611918e-01,3.531938208183267869e-01,2.477446101227277486e-01,-4.673170820282187554e-01,2.720946586028850644e-01
-1.459999999999999964e+00,3.568885880004765004e-02,1.386121593216773640e-01,4.851012223554534986e-01,-2.966940262821582963e-01,3.148566190592093639e-01,2.035244290342974605e-01,-4.307667322663901732e-01,2.855695059250296097e-01
-2.350000000000000089e+00,3.741414498262709415e-02,4.959292143521054630e-02,1.725860925964085579e-01,-6.046982894503649675e-01,2.556630985594629535e-01,1.387789151582490554e-01,-3.924640241796365503e-01,2.981142166621576495e-01
