Original Signal,Approximation,D 1,D 2
-2.000000000000000042e-02,-1.162773300287355038e+00,-1.162409282621834905e-01,2.434819040200760301e-02
4.000000000000000222e-01,-1.101479960957067572e+00,-6.763652735429430407e-02,-2.982525929464002745e-01
9.100000000000000311e-01,-6.996832837805986305e-01,3.490034417989632681e-02,-2.198418740399828153e-01
1.199999999999999956e+00,-5.425793819891602116e-02,3.243449229013236484e-02,7.852527278244175735e-02
1.179999999999999938e+00,6.604682039403645399e-01,9.980727964107236755e-03,2.432776024185948627e-01
1.040000000000000036e+00,1.240627491039452135e+00,-6.314429106425029081e-02,1.604305373117564382e-01
7.099999999999999645e-01,1.512545685432768128e+00,3.692193009159708272e-02,-9.059397632127977329e-02
3.400000000000000244e-01,1.390163252036605845e+00,1.756793193218271834e-02,-3.005696198010454623e-01
-3.099999999999999978e-01,9.020355081586725055e-01,-3.395418999586682224e-02,-1.957113973490648418e-01
-1.280000000000000027e+00,1.867745032512260206e-01,-2.502351573945454932e-02,1.934672443318482538e-01
-1.020000000000000018e+00,-5.513571714725544748e-01,1.380638479312135958e-01,3.983132525585677541e-01
-6.600000000000000311e-01,-1.102640560719156282e+00,-1.732963261900317964e-01,1.241369572457724502e-01
2.999999999999999889e-02,-1.313908464810611854e+00,7.229972479128585205e-02,-2.768570090870531297e-01
7.099999999999999645e-01,-1.130180060709191636e+00,7.855082968565166648e-03,-3.290407154767011066e-01
1.219999999999999973e+00,-6.060113709412120464e-01,3.504690560265877330e-02,-7.449119073926664669e-02
1.379999999999999893e+00,1.118784111486289534e-01,-3.866193493903705147e-02,1.724736666040281308e-01
1.340000000000000080e+00,8.267045386274394225e-01,-8.951351711932978295e-02,2.820029620860382558e-01
1.250000000000000000e+00,1.342312244308555114e+00,1.312184434736584082e-01,2.004659175729325560e-01
9.399999999999999467e-01,1.515447841114974104e+00,2.485520629168795799e-03,-1.195005279916295654e-01
3.300000000000000155e-01,1.291768269549359971e+00,-5.207151761637899591e-03,-4.121111448927005649e-01
-6.800000000000000488e-01,7.221650543976936287e-01,-2.288430063189471619e-01,-2.548733685506338054e-01
-1.469999999999999973e+00,-5.131053390863039160e-02,3.542945836230692591e-01,2.478912113396313510e-01
-1.949999999999999956e+00,-8.314326666439958435e-01,-1.731449338030167373e-01,4.707432174156758187e-01
-1.649999999999999911e+00,-1.418897104983558366e+00,-1.240179580185113428e-02,1.394825157554037687e-01
-5.400000000000000355e-01,-1.664602839682748359e+00,-1.499015848064847410e-02,-3.005445056271113247e-01
1.199999999999999956e-01,-1.508740376079085399e+00,8.462189583121400294e-02,-3.580987674076663851e-01
5.899999999999999689e-01,-9.948870487935349560e-01,-8.408674643009730887e-02,-9.227186846990204083e-02
8.499999999999999778e-01,-2.562852681368656960e-01,6.085977314193850851e-02,1.598762126500358483e-01
1.010000000000000009e+00,5.179552529305534447e-01,2.756362121090611544e-02,2.670925202339980986e-01
9.599999999999999645e-01,1.131667292890649490e+00,-1.838575838029153642e-01,2.443592883315455488e-01
6.600000000000000311e-01,1.427507872797016963e+00,2.076600641300650474e-01,1.924747128323956238e-02
2.200000000000000011e-01,1.328432758778101519e+00,-3.948617481190426493e-02,-3.545397608928272937e-01
-3.699999999999999956e-01,8.572298394288290213e-01,-5.927597518909254182e-02,-4.634427043944701063e-01
-1.040000000000000036e+00,1.352747561173089641e-01,3.698336045328999653e-03,-1.822124625129599440e-02
-1.600000000000000089e+00,-6.446885170966076828e-01,3.083093353003311943e-02,5.370000361249606113e-01
-1.250000000000000000e+00,-1.268737388902630325e+00,-1.376908865549128155e-02,4.802228641867338776e-01
-4.000000000000000222e-01,-1.559300483698058848e+00,5.076506982501650250e-02,-1.427125970380632158e-01
4.099999999999999756e-01,-1.429530126758853825e+00,-5.174583336460758520e-02,-5.370835754892874236e-01
8.100000000000000533e-01,-9.111025299286982237e-01,-1.119065690419389358e-01,-2.776161528653780519e-01
9.699999999999999734e-01,-1.466945675929574588e-01,2.373118972388055803e-01,1.956069018956561045e-01
9.599999999999999645e-01,6.495845518132106200e-01,-1.361690115426248127e-01,3.263472003966647605e-01
9.000000000000000222e-01,1.257385967997869169e+00,-2.692900771185507969e-02,1.309061637763347663e-01
5.699999999999999512e-01,1.511295441976907794e+00,3.597506163418336816e-02,-6.839703285699341717e-02
