sl.no.,rainfall,spi_1
1,26.37,-0.29
2,0.00,-0.44
3,42.19,-0.06
4,58.01,0.12
5,116.02,0.56
6,232.03,1.11
7,237.30,1.13
8,321.68,1.43
9,268.95,1.25
10,42.19,-0.06
11,5.27,-0.92
12,0.00,0.06
13,10.55,-0.67
14,31.64,-0.20
15,26.37,-0.29
16,89.65,0.38
17,89.65,0.38
18,247.85,1.17
19,384.96,1.62
20,411.33,1.69
21,158.20,0.79
22,58.01,0.12
23,15.82,-0.51
24,0.00,0.24
25,0.00,0.14
26,10.55,-0.67
27,5.27,-0.92
28,10.55,-0.67
29,42.19,-0.06
30,216.21,1.05
31,253.12,1.19
32,268.95,1.25
33,179.30,0.89
34,126.56,0.62
35,0.00,0.65
36,10.55,-0.67
37,5.27,-0.92
38,15.82,-0.51
39,0.00,0.45
40,42.19,-0.06
41,47.46,0.01
42,216.21,1.05
43,369.14,1.57
44,263.67,1.23
45,116.02,0.56
46,36.91,-0.12
47,0.00,0.47
48,0.00,0.40
49,68.55,0.22
50,5.27,-0.92
51,0.00,-1.05
52,0.00,-1.48
53,10.55,-0.67
54,100.20,0.46
55,290.04,1.32
56,305.86,1.38
57,210.94,1.03
58,137.11,0.68
59,5.27,-0.92
60,0.00,-0.26
61,26.37,-0.29
62,21.09,-0.39
63,0.00,0.18
64,26.37,-0.29
65,10.55,-0.67
66,263.67,1.23
67,300.59,1.36
68,353.32,1.53
69,126.56,0.62
70,58.01,0.12
71,79.10,0.30
72,0.00,-0.07
73,5.27,-0.92
74,0.00,-1.06
75,5.27,-0.92
76,5.27,-0.92
77,36.91,-0.12
78,84.38,0.35
79,205.66,1.01
80,226.76,1.09
81,100.20,0.46
82,63.28,0.17
83,63.28,0.17
84,5.27,-0.92
85,0.00,0.35
86,15.82,-0.51
87,5.27,-0.92
88,21.09,-0.39
89,52.73,0.07
90,147.66,0.74
91,226.76,1.09
92,232.03,1.11
93,152.93,0.76
94,31.64,-0.20
95,5.27,-0.92
96,0.00,-0.36
97,0.00,-0.54
98,0.00,-0.73
99,15.82,-0.51
100,5.27,-0.92
101,36.91,-0.12
102,221.48,1.07
103,268.95,1.25
104,337.50,1.48
105,216.21,1.05
106,10.55,-0.67
107,0.00,-0.27
108,5.27,-0.92
109,0.00,-1.17
110,42.19,-0.06
111,31.64,-0.20
112,21.09,-0.39
113,226.76,1.09
114,232.03,1.11
115,274.22,1.27
116,400.78,1.66
117,221.48,1.07
118,195.12,0.96
119,47.46,0.01
120,0.00,0.65
121,0.00,0.66
122,0.00,0.68
123,5.27,-0.92
124,0.00,0.43
125,0.00,0.43
126,147.66,0.74
127,337.50,1.48
128,284.77,1.31
129,174.02,0.87
130,58.01,0.12
131,52.73,0.07
132,5.27,-0.92
133,5.27,-0.92
134,0.00,0.27
135,0.00,0.26
136,10.55,-0.67
137,63.28,0.17
138,142.38,0.71
139,311.13,1.39
140,358.59,1.54
141,131.84,0.65
142,31.64,-0.20
143,26.37,-0.29
144,0.00,0.32
145,0.00,0.31
146,5.27,-0.92
147,5.27,-0.92
148,31.64,-0.20
149,58.01,0.12
150,200.39,0.98
151,337.50,1.48
152,268.95,1.25
153,221.48,1.07
154,110.74,0.53
155,0.00,0.36
156,0.00,0.36
157,0.00,0.36
158,5.27,-0.92
159,0.00,0.26
160,10.55,-0.67
161,79.10,0.30
162,179.30,0.89
163,522.07,1.98
164,316.41,1.41
165,200.39,0.98
166,89.65,0.38
167,10.55,-0.67
168,0.00,0.36
169,52.73,0.07
170,10.55,-0.67
171,21.09,-0.39
172,10.55,-0.67
173,110.74,0.53
174,126.56,0.62
175,390.23,1.63
176,242.58,1.15
177,221.48,1.07
178,126.56,0.62
179,36.91,-0.12
180,0.00,1.16
181,10.55,-0.67
182,10.55,-0.67
183,5.27,-0.92
184,15.82,-0.51
185,10.55,-0.67
186,152.93,0.76
187,290.04,1.32
188,279.49,1.29
189,121.29,0.59
190,58.01,0.12
191,15.82,-0.51
192,0.00,0.78
193,15.82,-0.51
194,0.00,0.60
195,31.64,-0.20
196,89.65,0.38
197,15.82,-0.51
198,94.92,0.42
199,284.77,1.31
200,348.05,1.51
201,137.11,0.68
202,15.82,-0.51
203,42.19,-0.06
204,31.64,-0.20
205,15.82,-0.51
206,15.82,-0.51
207,10.55,-0.67
208,10.55,-0.67
209,21.09,-0.39
210,184.57,0.92
211,274.22,1.27
212,200.39,0.98
213,168.75,0.84
214,184.57,0.92
215,73.83,0.26
216,0.00,0.41
217,0.00,0.42
218,0.00,0.43
219,0.00,0.44
220,0.00,0.45
221,58.01,0.12
222,179.30,0.89
223,158.20,0.79
224,500.98,1.93
225,184.57,0.92
226,58.01,0.12
227,0.00,0.76
228,0.00,0.78
229,0.00,0.80
230,36.91,-0.12
231,0.00,0.73
232,10.55,-0.67
233,47.46,0.01
234,284.77,1.31
235,221.48,1.07
236,268.95,1.25
237,105.47,0.49
238,15.82,-0.51
239,0.00,0.45
240,0.00,0.45
241,0.00,0.45
242,0.00,0.45
243,21.09,-0.39
244,31.64,-0.20
245,58.01,0.12
246,210.94,1.03
247,348.05,1.51
248,348.05,1.51
249,131.84,0.65
250,52.73,0.07
251,42.19,-0.06
252,0.00,0.78
253,31.64,-0.20
254,0.00,-0.28
255,15.82,-0.51
256,21.09,-0.39
257,31.64,-0.20
258,163.48,0.82
259,184.57,0.92
260,284.77,1.31
261,84.38,0.35
262,26.37,-0.29
263,0.00,0.48
264,0.00,0.52
265,0.00,0.57
266,10.55,-0.67
267,26.37,-0.29
268,15.82,-0.51
269,10.55,-0.67
270,121.29,0.59
271,411.33,1.69
272,363.87,1.56
273,237.30,1.13
274,226.76,1.09
275,0.00,1.11
276,47.46,0.01
277,47.46,0.01
278,0.00,0.83
279,5.27,-0.92
280,36.91,-0.12
281,21.09,-0.39
