Original Signal,Approximation,D 1,D 2,D 3
-2.899999999999999800e-01,6.638412365752912603e-01,-2.603320709428682544e-01,-1.250636126764623768e-01,6.045298748580369974e-01
-4.400000000000000022e-01,6.553331439938422376e-01,-7.793463193837661673e-02,-3.417844982004931143e-01,1.522186927747581631e-01
-5.999999999999999778e-02,6.284872374842386256e-01,2.910849524985947151e-02,-1.820957043281241083e-01,-3.381922820879218472e-01
1.199999999999999956e-01,5.842218580841230802e-01,3.134682803140688145e-01,1.711972716080678303e-01,-7.276739494410483511e-01
5.600000000000000533e-01,5.265716724142495142e-01,-2.076621129536710131e-01,2.613230769634646844e-01,-9.090923932146822706e-01
1.110000000000000098e+00,4.594259767611681977e-01,-3.824651291205845016e-01,5.178696882682621433e-02,-8.326706817071102273e-01
1.129999999999999893e+00,3.879468545923284717e-01,6.482945342121597676e-01,-1.135649197150264272e-01,-5.167723223671233379e-01
1.429999999999999938e+00,3.163700271863248425e-01,-2.334522429588973547e-01,-1.446878914616301914e-01,-4.670653866177514740e-02
1.250000000000000000e+00,2.499123295986400151e-01,-2.392494007995027983e-01,-1.467179401451566556e-01,4.471655721762934355e-01
-5.999999999999999778e-02,1.925621864157123775e-01,1.514795164762110236e-01,-2.520843044358753865e-02,8.202764502346482356e-01
-9.200000000000000400e-01,1.474211080422569708e-01,3.287743736205795408e-01,2.480081561159974968e-01,9.558571713562458161e-01
5.999999999999999778e-02,1.162253887727721507e-01,-6.064191261067906069e-01,3.637118742815552142e-01,8.048278329601551428e-01
-6.700000000000000400e-01,9.984067916259395381e-02,4.087413427197409965e-01,9.276450746020747928e-02,4.047382445834332154e-01
-2.000000000000000111e-01,9.818810995501772720e-02,-3.938474046099577769e-02,-3.636638063760714301e-01,-1.230201807515632489e-01
-2.899999999999999800e-01,1.098823951367515900e-01,2.046754136387499493e-02,-5.710839626194973428e-01,-6.117729019772976118e-01
3.800000000000000044e-01,1.332079890837429559e-01,-4.367841244966217951e-01,-2.223132544947180878e-01,-9.052733781342071628e-01
3.800000000000000044e-01,1.656982389288182700e-01,7.162301581794574545e-01,4.832253744775089621e-01,-9.111119106425298320e-01
1.169999999999999929e+00,2.046463200003237060e-01,-3.593915416058813261e-01,7.874781331714958421e-01,-6.364920980532901007e-01
1.620000000000000107e+00,2.468375477856705746e-01,-3.015912691844704896e-01,2.064206205474120315e-01,-1.810596084298258801e-01
1.689999999999999947e+00,2.897059323363737060e-01,5.789500536273167741e-01,-6.417140622394319482e-01,3.007534008735045505e-01
7.900000000000000355e-01,3.310441600982805266e-01,-3.845109432083075318e-01,-7.156396246008566164e-01,6.568818280727952708e-01
1.199999999999999956e-01,3.686817985929650709e-01,1.805796492090782912e-01,2.015706516386496505e-02,7.921334290572876746e-01
-5.100000000000000089e-01,4.006662092534077901e-01,-1.505630291174172020e-01,5.900824589786065610e-01,6.914488673287663145e-01
2.399999999999999911e-01,4.258208236835765437e-01,1.213484154512157048e-01,3.928793444984370886e-01,4.149539554633790428e-01
1.400000000000000133e-01,4.439805667849391901e-01,-1.026918837248328720e-01,-1.484551564001543034e-01,6.444077142879074682e-02
-6.700000000000000400e-01,4.550668456404067252e-01,2.860026311024388979e-01,-3.823988685928418896e-01,-2.585641650445395512e-01
-9.200000000000000400e-01,4.594569206735042433e-01,-5.397155723045200526e-01,-2.126980618320970240e-01,-4.814821883295453131e-01
-6.700000000000000400e-01,4.580235018309167239e-01,4.957406031980647332e-01,9.444661958835189053e-02,-5.739357383362410081e-01
-5.999999999999999778e-02,4.522399041095511163e-01,-1.677299043173811899e-01,3.411858313281186939e-01,-5.393788082237878090e-01
1.050000000000000044e+00,4.435958955441156037e-01,-3.035847616124222673e-02,3.460521743132589090e-01,-4.000081777882441569e-01
1.189999999999999947e+00,4.336576233711830208e-01,-4.974737847261839763e-02,-6.163416965397584824e-02,-1.859711205281967816e-01
1.250000000000000000e+00,4.239878820877361898e-01,1.366525989180604472e-01,-5.967845585837734390e-01,6.937658164488749724e-02
8.900000000000000133e-01,4.155209459918098314e-01,-8.267296422987664706e-02,-5.508270144051728989e-01,3.244284276266840572e-01
6.199999999999999956e-01,4.088777456518914444e-01,4.464657342263846085e-02,2.184428708879190828e-01,5.270521071430693816e-01
6.500000000000000222e-01,4.043208088551320523e-01,-1.859897241830842443e-02,8.405381175767571156e-01,6.215974215194423058e-01
-6.700000000000000400e-01,4.020864656746146459e-01,-1.406058941266877527e-01,5.490329023660106555e-01,5.640900627519190857e-01
-9.200000000000000400e-01,4.013254235397173408e-01,2.437959929934321590e-01,-2.906504968894947916e-01,3.456060579271362787e-01
-5.100000000000000089e-01,4.009847615617861960e-01,1.009126092700561063e-02,-7.851508777052602639e-01,6.974851557759150292e-03
4.500000000000000111e-01,3.998311744213912111e-01,-3.298655260752605400e-01,-5.644184334156610028e-01,-3.640802060812567409e-01
-5.999999999999999778e-02,3.970806786144249756e-01,1.395588784951409533e-01,1.199355287204775106e-01,-6.539881897989817672e-01
1.000000000000000021e-02,3.915878894068730576e-01,4.230045572948972765e-01,7.158142859076196407e-01,-7.642614078287177648e-01
1.050000000000000044e+00,3.824577144520981409e-01,-6.245570078849623785e-01,6.613895158435851851e-01,-6.480983754068059266e-01
1.570000000000000062e+00,3.694573213772245901e-01,2.942218722431854672e-01,-3.633565727684008595e-02,-3.325325085937576031e-01
1.229999999999999982e+00,3.527651888965080973e-01,-3.065199178111084957e-02,-6.416350316969352541e-01,8.587377200600285199e-02
5.600000000000000533e-01,3.334655131324855692e-01,1.610448547312862133e-01,-5.744280916619982635e-01,4.766137893441471096e-01
