sl.no.,rainfall,spi_1
1,0.00,0.73
2,21.09,0.38
3,0.00,0.92
4,0.00,0.91
5,26.37,0.66
6,31.64,0.90
7,36.91,1.12
8,26.37,0.66
9,36.91,1.12
10,36.91,1.12
11,21.09,0.38
12,5.27,-0.97
13,0.00,-0.10
14,5.27,-0.97
15,21.09,0.38
16,10.55,-0.36
17,0.00,-0.61
18,0.00,-0.76
19,26.37,0.66
20,5.27,-0.97
21,5.27,-0.97
22,21.09,0.38
23,31.64,0.90
24,21.09,0.38
25,15.82,0.05
26,21.09,0.38
27,47.46,1.50
28,15.82,0.05
29,0.00,0.80
30,21.09,0.38
31,31.64,0.90
32,36.91,1.12
33,21.09,0.38
34,36.91,1.12
35,0.00,1.09
36,5.27,-0.97
37,26.37,0.66
38,21.09,0.38
39,5.27,-0.97
40,15.82,0.05
41,21.09,0.38
42,10.55,-0.36
43,10.55,-0.36
44,21.09,0.38
45,47.46,1.50
46,42.19,1.32
47,21.09,0.38
48,31.64,0.90
49,5.27,-0.97
50,10.55,-0.36
51,5.27,-0.97
52,5.27,-0.97
53,5.27,-0.97
54,10.55,-0.36
55,21.09,0.38
56,26.37,0.66
57,36.91,1.12
58,26.37,0.66
59,21.09,0.38
60,0.00,1.09
61,15.82,0.05
62,5.27,-0.97
63,31.64,0.90
64,0.00,0.10
65,10.55,-0.36
66,10.55,-0.36
67,21.09,0.38
68,21.09,0.38
69,5.27,-0.97
70,52.73,1.67
71,10.55,-0.36
72,0.00,-0.03
73,42.19,1.32
74,5.27,-0.97
75,26.37,0.66
76,21.09,0.38
77,10.55,-0.36
78,5.27,-0.97
79,52.73,1.67
80,21.09,0.38
81,26.37,0.66
82,15.82,0.05
83,36.91,1.12
84,21.09,0.38
85,0.00,0.55
86,31.64,0.90
87,0.00,0.67
88,10.55,-0.36
89,10.55,-0.36
90,15.82,0.05
91,15.82,0.05
92,5.27,-0.97
93,10.55,-0.36
94,0.00,-0.61
95,10.55,-0.36
96,21.09,0.38
97,10.55,-0.36
98,15.82,0.05
99,15.82,0.05
100,21.09,0.38
101,5.27,-0.97
102,10.55,-0.36
103,26.37,0.66
104,15.82,0.05
105,26.37,0.66
106,10.55,-0.36
107,42.19,1.32
108,15.82,0.05
109,15.82,0.05
110,10.55,-0.36
111,31.64,0.90
112,36.91,1.12
113,5.27,-0.97
114,0.00,0.34
115,5.27,-0.97
116,21.09,0.38
117,63.28,1.99
118,58.01,1.84
119,21.09,0.38
120,15.82,0.05
121,36.91,1.12
122,31.64,0.90
123,21.09,0.38
124,5.27,-0.97
125,26.37,0.66
126,5.27,-0.97
127,26.37,0.66
128,5.27,-0.97
129,0.00,-0.22
130,10.55,-0.36
131,10.55,-0.36
132,31.64,0.90
133,15.82,0.05
134,10.55,-0.36
135,21.09,0.38
136,10.55,-0.36
137,21.09,0.38
138,31.64,0.90
139,10.55,-0.36
140,10.55,-0.36
141,52.73,1.67
142,10.55,-0.36
143,15.82,0.05
144,10.55,-0.36
145,10.55,-0.36
146,31.64,0.90
147,15.82,0.05
148,21.09,0.38
149,5.27,-0.97
150,10.55,-0.36
151,5.27,-0.97
152,5.27,-0.97
153,15.82,0.05
154,15.82,0.05
155,26.37,0.66
156,26.37,0.66
157,0.00,0.04
158,5.27,-0.97
159,36.91,1.12
160,10.55,-0.36
161,5.27,-0.97
162,10.55,-0.36
163,42.19,1.32
164,52.73,1.67
165,42.19,1.32
166,21.09,0.38
167,10.55,-0.36
168,26.37,0.66
169,0.00,0.90
170,10.55,-0.36
171,26.37,0.66
172,26.37,0.66
173,15.82,0.05
174,5.27,-0.97
175,36.91,1.12
176,15.82,0.05
177,58.01,1.84
178,5.27,-0.97
179,10.55,-0.36
180,0.00,0.03
181,42.19,1.32
182,26.37,0.66
183,36.91,1.12
184,21.09,0.38
185,0.00,0.82
186,0.00,0.90
187,21.09,0.38
188,21.09,0.38
189,42.19,1.32
190,26.37,0.66
191,31.64,0.90
192,21.09,0.38
193,10.55,-0.36
194,0.00,0.72
195,10.55,-0.36
196,10.55,-0.36
197,5.27,-0.97
198,0.00,0.21
199,31.64,0.90
200,36.91,1.12
201,31.64,0.90
202,5.27,-0.97
203,26.37,0.66
204,15.82,0.05
205,5.27,-0.97
206,0.00,-0.90
207,21.09,0.38
208,5.27,-0.97
209,5.27,-0.97
210,10.55,-0.36
211,10.55,-0.36
212,52.73,1.67
213,0.00,0.08
214,47.46,1.50
215,36.91,1.12
216,5.27,-0.97
217,15.82,0.05
218,10.55,-0.36
219,5.27,-0.97
220,0.00,0.07
221,0.00,0.09
222,31.64,0.90
223,42.19,1.32
224,21.09,0.38
225,36.91,1.12
226,15.82,0.05
227,42.19,1.32
228,15.82,0.05
229,15.82,0.05
230,5.27,-0.97
231,15.82,0.05
232,15.82,0.05
233,5.27,-0.97
234,10.55,-0.36
235,21.09,0.38
236,10.55,-0.36
237,52.73,1.67
238,105.47,3.01
239,58.01,1.84
240,15.82,0.05
241,31.64,0.90
242,21.09,0.38
243,5.27,-0.97
244,15.82,0.05
245,0.00,-0.03
246,5.27,-0.97
247,21.09,0.38
248,31.64,0.90
249,52.73,1.67
250,21.09,0.38
251,21.09,0.38
252,10.55,-0.36
253,10.55,-0.36
254,15.82,0.05
255,0.00,-0.38
256,26.37,0.66
257,5.27,-0.97
258,5.27,-0.97
259,15.82,0.05
260,26.37,0.66
261,0.00,-0.21
262,15.82,0.05
263,26.37,0.66
264,21.09,0.38
265,0.00,0.38
266,31.64,0.90
267,0.00,0.74
268,21.09,0.38
269,5.27,-0.97
270,10.55,-0.36
271,5.27,-0.97
272,15.82,0.05
273,52.73,1.67
274,21.09,0.38
275,42.19,1.32
276,0.00,0.52
277,15.82,0.05
278,26.37,0.66
279,26.37,0.66
280,31.64,0.90
281,10.55,-0.36
282,10.55,-0.36
283,21.09,0.38
284,47.46,1.50
285,21.09,0.38
286,15.82,0.05
287,26.37,0.66
288,63.28,1.99
289,52.73,1.67
290,42.19,1.32
291,5.27,-0.97
292,15.82,0.05
293,15.82,0.05
294,0.00,-0.93
295,31.64,0.90
296,15.82,0.05
297,21.09,0.38
298,15.82,0.05
299,52.73,1.67
300,31.64,0.90
301,73.83,2.27
302,26.37,0.66
303,0.00,1.72
304,15.82,0.05
305,21.09,0.38
306,5.27,-0.97
307,21.09,0.38
308,10.55,-0.36
309,5.27,-0.97
310,5.27,-0.97
311,52.73,1.67
312,26.37,0.66
313,47.46,1.50
314,26.37,0.66
315,26.37,0.66
316,15.82,0.05
317,0.00,0.75
318,10.55,-0.36
319,10.55,-0.36
320,21.09,0.38
321,31.64,0.90
322,36.91,1.12
323,31.64,0.90
324,21.09,0.38
325,31.64,0.90
326,21.09,0.38
327,0.00,0.38
328,10.55,-0.36
329,0.00,0.05
330,21.09,0.38
331,21.09,0.38
332,42.19,1.32
333,31.64,0.90
334,26.37,0.66
335,21.09,0.38
336,26.37,0.66
337,15.82,0.05
338,31.64,0.90
339,15.82,0.05
340,10.55,-0.36
341,15.82,0.05
342,5.27,-0.97
343,36.91,1.12
344,0.00,-0.10
345,26.37,0.66
346,36.91,1.12
347,68.55,2.13
348,15.82,0.05
349,15.82,0.05
350,5.27,-0.97
351,10.55,-0.36
352,5.27,-0.97
353,10.55,-0.36
354,15.82,0.05
355,5.27,-0.97
356,15.82,0.05
357,15.82,0.05
358,15.82,0.05
359,0.00,0.13
360,26.37,0.66
361,5.27,-0.97
362,15.82,0.05
363,10.55,-0.36
364,26.37,0.66
365,0.00,0.18
366,15.82,0.05
367,10.55,-0.36
368,31.64,0.90
369,26.37,0.66
370,15.82,0.05
371,52.73,1.67
372,31.64,0.90
373,31.64,0.90
374,21.09,0.38
375,21.09,0.38
376,10.55,-0.36
377,10.55,-0.36
378,5.27,-0.97
379,26.37,0.66
380,15.82,0.05
381,26.37,0.66
382,5.27,-0.97
383,31.64,0.90
384,21.09,0.38
385,21.09,0.38
386,0.00,0.32
387,0.00,0.36
