Original Signal,Approximation,D 1,D 2,D 3
7.299999999999999822e-01,3.143273349154871998e-01,-4.156936130028664467e-01,1.343907153712949054e-01,3.635061751426050258e-01
3.800000000000000044e-01,3.639173958059190306e-01,5.532880721475288421e-01,-1.131674062768021488e-01,4.539695331590361538e-01
9.200000000000000400e-01,4.274347298069242629e-01,-5.755835071034096639e-01,-4.242209804367211290e-01,4.764335530601367941e-01
9.100000000000000311e-01,4.999044561934279929e-01,5.950327552122570696e-01,-4.650690503168644074e-01,4.153927837064145812e-01
6.600000000000000311e-01,5.747988445003597846e-01,-4.842610084091586442e-01,3.902094159120970962e-02,2.513868803196767643e-01
9.000000000000000222e-01,6.435192166401427771e-01,6.886921537402362903e-02,6.298399145403309474e-01,-1.430552766220166000e-02
1.120000000000000107e+00,6.982476954000206293e-01,4.763067284859953676e-01,6.109811100270706730e-01,-3.314839344674944122e-01
6.600000000000000311e-01,7.303156558012131594e-01,-6.359861409551410549e-01,5.529639809354548047e-02,-6.084608577033709942e-01
1.120000000000000107e+00,7.366612039489549568e-01,2.783115029341828861e-01,-4.608088324871260633e-01,-7.418202384251689763e-01
1.120000000000000107e+00,7.145218158380197693e-01,4.133221513887916365e-02,-6.386320410051312679e-01,-6.645978262683944759e-01
3.800000000000000044e-01,6.675825634195440283e-01,6.740771465938354134e-02,-3.913424552374240029e-01,-3.851497303215941082e-01
-9.699999999999999734e-01,5.994541360247250816e-01,-2.226498626144992887e-01,2.366795849325429579e-01,1.486495494161182290e-02
-1.000000000000000056e-01,5.208237019827609560e-01,8.532116396552730242e-02,7.288072429901059079e-01,4.097645606371366767e-01
-9.699999999999999734e-01,4.407855836486259116e-01,5.461852229639861667e-02,5.154123121361536830e-01,6.831137281739056988e-01
3.800000000000000044e-01,3.725657583711410314e-01,-2.502776055999467175e-02,-1.694044537196022493e-01,7.708887000632635988e-01
-3.599999999999999867e-01,3.245791374206036806e-01,2.046067157759448307e-01,-5.636033942441125433e-01,6.725973318063188655e-01
-6.099999999999999867e-01,3.064062555559039502e-01,-6.383900631538972359e-01,-3.602006707479942227e-01,4.391004320676845651e-01
-7.600000000000000089e-01,3.200823478529207233e-01,7.400694982787312526e-01,8.183384620495963435e-02,1.380336338315558409e-01
6.600000000000000311e-01,3.664364215016306936e-01,-3.243051560949618550e-01,2.736377685864748166e-01,-1.705448254647961293e-01
-9.699999999999999734e-01,4.385558554201768322e-01,-6.102001675376291651e-02,1.141395508499888217e-01,-4.427036573269292341e-01
-9.699999999999999734e-01,5.283918325401061322e-01,1.336051498863342624e-01,-4.148785879642297170e-02,-6.451195088458836491e-01
3.800000000000000044e-01,6.222464027206732196e-01,-1.998107157353395114e-01,5.099423703875058389e-02,-7.418269108771187170e-01
9.000000000000000222e-01,7.070736597144625657e-01,3.799725550516444561e-01,9.514486770506856705e-02,-6.984586647102274393e-01
3.800000000000000044e-01,7.692118358706958592e-01,-3.623610937936813103e-01,-1.263577041972064607e-01,-4.938401538950122904e-01
5.000000000000000278e-02,7.987677189147268653e-01,1.662968108500334843e-02,-2.098012610300122038e-01,-1.450981007612158757e-01
3.800000000000000044e-01,7.897725331204286103e-01,3.471034807562104474e-01,7.600264731262587614e-02,2.794776782274354110e-01
1.500000000000000000e+00,7.410297235802836280e-01,-3.523348773635104347e-01,2.119011725079482378e-01,6.702028072348127363e-01
5.000000000000000278e-02,6.572911264484850857e-01,1.046715812592309341e-03,-1.035208330748342148e-01,9.033897080782439248e-01
8.000000000000000444e-01,5.472946162904768208e-01,3.020750339114726679e-01,-3.093552673635326933e-01,8.922604915182781316e-01
3.800000000000000044e-01,4.245628807414500994e-01,-2.073287824068618668e-01,4.355323400609246304e-02,6.209037300936537385e-01
9.000000000000000222e-01,3.035441064433118119e-01,-1.374787891645863902e-01,4.979601645723524261e-01,1.620044254146654206e-01
1.120000000000000107e+00,1.990595097345830844e-01,3.161913137359852466e-01,3.485864317242995392e-01,-3.412102619941399517e-01
3.800000000000000044e-01,1.233559604928393255e-01,-1.738590050378150398e-01,-3.652045159738343538e-01,-7.265476328670807948e-01
1.120000000000000107e+00,8.391594313965468344e-02,-9.946958956215409819e-02,-7.852836799292473025e-01,-8.671326394467955279e-01
1.090000000000000080e+00,8.443396607292041889e-02,2.219778996322554765e-01,-2.375134421811021246e-01,-7.230007872208028541e-01
-9.699999999999999734e-01,1.218353965823930629e-01,-3.152483386356639411e-02,7.115822130351396879e-01,-3.554975443724576190e-01
6.600000000000000311e-01,1.908569534932152978e-01,-2.871079151308619237e-01,8.037674757321038310e-01,9.628528007022778279e-02
3.800000000000000044e-01,2.787350016015691656e-01,2.969983439431707617e-01,-1.210443634748502306e-01,4.667304429323418380e-01
-9.699999999999999734e-01,3.738241315741322457e-01,2.799582978375924833e-02,-8.198336419346279325e-01,6.276585442985042063e-01
5.000000000000000278e-02,4.615769216073903336e-01,-1.497800807628591191e-01,-4.331984912481533501e-01,5.366681835216167151e-01
3.800000000000000044e-01,5.336345602706289437e-01,-1.421538302561753397e-01,4.176025965710404853e-01,2.486111672254490423e-01
-3.599999999999999867e-01,5.812517879782028718e-01,4.463317564866298159e-01,6.333111858766072855e-01,-1.073849896490914196e-01
-3.599999999999999867e-01,6.022682554483052009e-01,-5.633267219577638985e-01,5.462636125411647094e-03,-3.823561688798057245e-01
3.800000000000000044e-01,5.964222165266176434e-01,6.588942083770804592e-01,-6.309792398974022332e-01,-4.706239169352497420e-01
1.500000000000000000e+00,5.703867320129885066e-01,-5.287541292711351870e-01,-4.032708336836227647e-01,-3.466502333381015211e-01
1.320000000000000062e+00,5.317127540557810006e-01,1.641713776727742394e-02,4.534805695850127605e-01,-7.630996780387734602e-02
3.800000000000000044e-01,4.904947487864021460e-01,1.732202464593737001e-01,7.907192086648664464e-01,2.192975940297629267e-01
9.000000000000000222e-01,4.540118718111278984e-01,4.740921582270000156e-01,1.079994013156790195e-01,4.188510030817276242e-01
-9.699999999999999734e-01,4.299435866436884801e-01,-9.788926607586267981e-01,-7.395687508686631384e-01,4.494365779096701208e-01
-3.599999999999999867e-01,4.207584377904806106e-01,3.780758362405761686e-01,-7.522311152264918865e-01,3.165309985541595039e-01
-9.699999999999999734e-01,4.283948317205630851e-01,4.513771556812370966e-01,4.832188815064536978e-03,8.708553556728809708e-02
-9.699999999999999734e-01,4.478577505283244942e-01,-2.810996416194029290e-01,7.061013213911960795e-01,-1.469763166955228573e-01
-9.699999999999999734e-01,4.758240708578119205e-01,-2.940786283223588149e-01,7.063497913667060590e-01,-3.128867639579166471e-01
-3.599999999999999867e-01,5.030034260259785839e-01,1.484845478152064802e-01,6.718346438264476139e-02,-3.831510641292943387e-01
3.800000000000000044e-01,5.248801051353690905e-01,2.538182852520953769e-01,-5.389472430293906768e-01,-3.702432014093281487e-01
6.600000000000000311e-01,5.334699628859838061e-01,8.189240836299284398e-02,-5.583527123693540206e-01,-3.020417121120601567e-01
1.120000000000000107e+00,5.285342811537641072e-01,-7.276207047247204018e-01,-1.605346202246231146e-01,-1.959344974994275401e-01
6.600000000000000311e-01,5.074861663831483627e-01,7.171106324930578424e-01,1.762880322707482961e-01,-5.085361711506147103e-02
3.800000000000000044e-01,4.744514344453383270e-01,-2.631139710747246174e-01,3.294188904464627754e-01,1.387101382995054588e-01
1.090000000000000080e+00,4.322840405049727108e-01,1.203535430477675056e-01,3.601379582285985093e-01,3.535958667972292080e-01
5.000000000000000278e-02,3.891088498433578624e-01,-1.644096315031063904e-01,1.779464790136273400e-01,5.382397743800253487e-01
-9.699999999999999734e-01,3.503141217922932094e-01,-1.545992954400201291e-01,-1.897153590122659383e-01,6.104048471092122785e-01
9.000000000000000222e-01,3.215496513139553536e-01,5.920100754124717479e-01,-4.389405182485263679e-01,5.013196554008944039e-01
1.000000000000000056e-01,3.054133306728783470e-01,-3.521034139043740518e-01,-3.537800221813933166e-01,2.033165380406617151e-01
-3.599999999999999867e-01,3.029755679485284237e-01,-6.015531204643680407e-01,2.043211458498466263e-03,-2.103866389661876168e-01
-3.599999999999999867e-01,3.120187418796062651e-01,1.210005057822656216e+00,3.955857704024198229e-01,-5.994094290484729415e-01
3.800000000000000044e-01,3.269731680179181477e-01,-6.305257141865631132e-01,4.832115143088038245e-01,-8.145021884147911617e-01
3.800000000000000044e-01,3.419065397545049678e-01,-5.084887118093003311e-01,1.038533842225038972e-01,-7.637579482645625584e-01
-9.699999999999999734e-01,3.495817776823924583e-01,8.184366563365961245e-01,-3.541322302586750737e-01,-4.566093537145127224e-01
