Original Signal,Approximation,D 1,D 2,D 3
-3.499999999999999778e-01,5.932361273314390449e-01,-9.304900317062754500e-02,1.350599074996276794e-01,8.645613298753572762e-01
-4.199999999999999845e-01,5.735718989887317321e-01,2.172811191656353474e-02,-7.641973481099792465e-02,4.388284837812845840e-01
8.999999999999999667e-02,5.202249682935657926e-01,3.650784343295055551e-02,-1.886038784910001598e-01,-1.057673097011943841e-01
7.800000000000000266e-01,4.439320134551709707e-01,8.374444843188560972e-02,-2.012632993184118035e-01,-6.120904663732925632e-01
1.129999999999999893e+00,3.539834840340715938e-01,-1.711921750284478294e-01,-1.798255420356005829e-01,-9.382650432830068610e-01
1.409999999999999920e+00,2.628654746208345938e-01,-5.342362326061527583e-02,-4.015000435170665294e-02,-1.004940366410617791e+00
1.350000000000000089e+00,1.782433169682757224e-01,3.222384101354831554e-01,2.479014852999420204e-01,-8.116699899141023300e-01
1.060000000000000053e+00,1.095852869539950120e-01,-2.181200147705030234e-01,3.654388712333072053e-01,-4.198405109892051068e-01
5.000000000000000000e-01,5.977775180872344635e-02,-5.934541813607978333e-02,7.350696300891601531e-02,6.794809110540397934e-02
-5.999999999999999778e-01,3.189222749258252554e-02,5.895208075297095340e-02,-2.826041956028794710e-01,5.387088814306151274e-01
-5.500000000000000444e-01,2.376619747790594331e-02,1.357702360870871316e-01,-2.638118052394651802e-01,8.838519373377465849e-01
-1.000000000000000056e-01,3.319911236739925275e-02,-1.518222786012271563e-01,-1.941780788745781083e-03,1.013853221764399848e+00
0.000000000000000000e+00,5.503093173863102955e-02,2.736765676983337128e-02,1.447592542439918861e-01,8.784972796043082344e-01
8.000000000000000167e-02,8.353606118193800112e-02,-2.198378678044067905e-02,1.464660505242711963e-01,4.863336020050912922e-01
2.099999999999999922e-01,1.138658129789843487e-01,9.609761911106895482e-02,7.842223424815990274e-02,-7.717359675683538311e-02
6.099999999999999867e-01,1.418384047727873354e-01,-7.380911437777089301e-02,-1.030842401546169379e-01,-6.586424601494500486e-01
1.129999999999999893e+00,1.652327028700324718e-01,2.232064535729207100e-02,-2.382740091236120739e-01,-1.075880554411541068e+00
1.550000000000000044e+00,1.811808865925230994e-01,-8.418271390905093798e-02,-5.089779380407744719e-02,-1.180127338549748606e+00
1.449999999999999956e+00,1.898782169540755016e-01,1.742948039607083444e-01,2.518635109295815355e-01,-9.181253661315107450e-01
1.070000000000000062e+00,1.928763580328696770e-01,-1.206604930667464631e-01,1.857936906420827872e-01,-3.603954274260191548e-01
1.400000000000000133e-01,1.929602400528890871e-01,-1.988894595068329066e-02,-1.465483807739337285e-01,3.180195756053848521e-01
-2.600000000000000089e-01,1.914488405813689342e-01,9.012440841042117234e-02,-2.010584976998025242e-01,9.002346642457339509e-01
-9.100000000000000311e-01,1.892764094865481139e-01,-6.330789825967077233e-02,5.717314978782092605e-02,1.206422464478384526e+00
-1.239999999999999991e+00,1.880602538366990817e-01,3.900571553856014423e-02,1.843777081322553746e-01,1.153039592482526743e+00
-1.239999999999999991e+00,1.883331683821771740e-01,-5.453771884431481143e-02,6.114269567462844029e-02,7.732254202177757385e-01
-9.100000000000000311e-01,1.895204558688398655e-01,7.573847666346186780e-02,-1.172712572017833021e-01,1.924928711012392768e-01
