sl.no.,rainfall,spi_6
1,232.03,-0.08
2,237.3,0.39
3,321.68,0.86
4,268.95,1.09
5,42.19,1.08
6,5.27,0.94
7,0,0.69
8,10.55,0.26
9,31.64,-0.39
10,26.37,-1.35
11,89.65,-1.29
12,89.65,-0.89
13,247.85,-0.25
14,384.96,0.47
15,411.33,1.11
16,158.2,1.25
17,58.01,1.25
18,15.82,1.18
19,0,0.92
20,0,0.37
21,10.55,-0.77
22,5.27,-1.59
23,10.55,-1.8
24,42.19,-1.69
25,216.21,-0.64
26,253.12,-0.01
27,268.95,0.48
28,179.3,0.81
29,126.56,0.91
30,0,0.88
31,10.55,0.64
32,5.27,0.27
33,15.82,-0.32
34,0,-1.17
35,42.19,-1.86
36,47.46,-1.59
37,216.21,-0.47
38,369.14,0.52
39,263.67,1.06
40,116.02,1.22
41,36.91,1.27
42,0,1.24
43,0,0.94
44,68.55,0.3
45,5.27,-0.61
46,0,-1.22
47,0,-1.64
48,10.55,-1.39
49,100.2,-0.77
50,290.04,-0.07
51,305.86,0.55
52,210.94,0.84
53,137.11,0.99
54,5.27,0.96
55,0,0.8
56,26.37,0.38
57,21.09,-0.27
58,0,-0.89
59,26.37,-1.35
60,10.55,-1.32
61,263.67,-0.3
62,300.59,0.39
63,353.32,0.8
64,126.56,0.98
65,58.01,1.03
66,79.1,1.11
67,0,0.78
68,5.27,0.21
69,0,-0.48
70,5.27,-0.94
71,5.27,-1.32
72,36.91,-1.64
73,84.38,-1.19
74,205.66,-0.27
75,226.76,0.15
76,100.2,0.33
77,63.28,0.41
78,63.28,0.44
79,5.27,0.33
80,0,-0.2
81,15.82,-0.7
82,5.27,-1.17
83,21.09,-1.32
84,52.73,-1.25
85,147.66,-0.47
86,226.76,0.14
87,232.03,0.62
88,152.93,0.88
89,31.64,0.89
90,5.27,0.8
91,0,0.52
92,0,0.05
93,0,-0.77
94,15.82,-2
95,5.27,-2.95
96,36.91,-1.86
97,221.48,-0.56
98,268.95,0.16
99,337.5,0.7
100,216.21,0.94
101,10.55,0.96
102,0,0.91
103,5.27,0.59
104,0,0.06
105,42.19,-0.72
106,31.64,-1.5
107,21.09,-1.25
108,226.76,-0.58
109,232.03,-0.08
110,274.22,0.51
111,400.78,0.94
112,221.48,1.16
113,195.12,1.28
114,47.46,1.19
115,0,0.96
116,0,0.52
117,0,-0.1
118,5.27,-0.72
119,0,-1.59
120,0,-1.912666667
121,147.66,-1.14
122,337.5,0
123,284.77,0.62
124,174.02,0.88
125,58.01,0.96
126,52.73,1.01
127,5.27,0.86
128,5.27,0.33
129,0,-0.42
130,0,-1.11
131,10.55,-1.39
132,63.28,-1.22
133,142.38,-0.68
134,311.13,0.17
135,358.59,0.72
136,131.84,0.96
137,31.64,0.99
138,26.37,0.91
139,0,0.73
140,0,0.15
141,5.27,-0.72
142,5.27,-1.8
143,31.64,-1.86
144,58.01,-1.39
145,200.39,-0.44
146,337.5,0.38
147,268.95,0.87
148,221.48,1.15
149,110.74,1.22
150,0,1.16
151,0,0.88
152,0,0.32
153,5.27,-0.39
154,0,-1.32
155,10.55,-2.3
156,79.1,-2
157,179.3,-0.51
158,522.07,0.68
159,316.41,1.21
160,200.39,1.48
161,89.65,1.57
162,10.55,1.57
163,0,1.3
164,52.73,0.59
165,10.55,-0.15
166,21.09,-0.83
167,10.55,-1.32
168,110.74,-0.7
169,126.56,-0.41
170,390.23,0.29
171,242.58,0.73
172,221.48,1.01
173,126.56,1.19
174,36.91,1.1
175,0,0.99
176,10.55,0.52
177,10.55,-0.02
178,5.27,-0.61
179,15.82,-1.32
180,10.55,-1.74
181,152.93,-0.73
182,290.04,0.2
183,279.49,0.69
184,121.29,0.83
185,58.01,0.89
186,15.82,0.87
187,0,0.63
188,15.82,0.01
189,0,-0.85
190,31.64,-1.32
191,89.65,-1.19
192,15.82,-1.17
193,94.92,-0.64
194,284.77,0.09
195,348.05,0.85
196,137.11,1.03
197,15.82,0.96
198,42.19,0.98
199,31.64,0.88
200,15.82,0.48
201,15.82,-0.51
202,10.55,-1.01
203,10.55,-1.03
204,21.09,-1.03
205,184.57,-0.39
206,274.22,0.14
207,200.39,0.55
208,168.75,0.8
209,184.57,1
210,73.83,1.04
211,0,0.76
212,0,0.34
213,0,-0.15
214,0,-0.72
215,0,-1.64
216,58.01,-1.46
217,179.3,-0.53
218,158.2,0.06
219,500.98,0.76
220,184.57,1.04
221,58.01,1.12
222,0,1.01
223,0,0.75
224,0,0.39
225,36.91,-0.47
226,0,-1.42
227,10.55,-1.93
228,47.46,-1.46
229,284.77,-0.48
230,221.48,0.06
231,268.95,0.38
232,105.47,0.59
233,15.82,0.59
234,0,0.52
235,0,0.14
236,0,-0.38
237,0,-1.08
238,21.09,-1.69
239,31.64,-1.64
240,58.01,-1.17
241,210.94,-0.34
242,348.05,0.7
243,348.05,1.12
244,131.84,1.24
245,52.73,1.28
246,42.19,1.23
247,0,0.97
248,31.64,0.19
249,0,-0.59
250,15.82,-1.17
251,21.09,-1.46
252,31.64,-1.29
253,163.48,-0.7
254,184.57,-0.16
255,284.77,0.38
256,84.38,0.59
257,26.37,0.63
258,0,0.56
259,0,0.36
260,0,-0.08
261,10.55,-0.85
262,26.37,-1.5
263,15.82,-1.93
264,10.55,-1.69
265,121.29,-0.39
266,411.33,0.38
267,363.87,0.94
268,237.3,1.23
269,226.76,1.49
270,0,1.47
271,47.46,1.21
272,47.46,0.79
273,0,0.16
274,5.27,-0.45
275,36.91,-1.32
276,21.09,-1.17
277,232.03,-0.54
278,342.77,0.21
279,263.67,0.83
280,221.48,1
281,79.1,1.08
282,0,1.05
283,0,0.81
284,42.19,0.33
285,5.27,-0.56
286,10.55,-1.08
287,15.82,-1.69
288,52.73,-1.39
289,163.48,-0.53
290,342.77,0.32
291,242.58,0.71
292,332.23,1.1
293,195.12,1.27
294,5.27,1.24
295,5.27,1.03
296,0,0.47
297,0,0.01
298,31.64,-0.75
299,63.28,-1.46
300,68.55,-1.01
301,105.47,-0.5
302,374.41,0.35
303,369.14,0.97
304,263.67,1.21
305,10.55,1.2
306,42.19,1.13
307,0,0.95
308,0,0.4
309,21.09,-0.44
310,0,-1.5
311,10.55,-1.64
312,26.37,-1.5
313,342.77,-0.41
314,210.94,0.1
315,284.77,0.59
316,237.3,1.08
317,68.55,1.15
318,21.09,1.13
319,0,0.82
320,15.82,0.53
321,26.37,0.01
322,58.01,-0.99
323,21.09,-1.22
324,21.09,-1.06
325,253.12,-0.08
326,305.86,0.52
327,268.95,1.01
328,305.86,1.4
329,15.82,1.4
330,0,1.35
331,0,0.99
332,0,0.52
333,0,-0.22
334,10.55,-2.19
335,5.27,-2.95
336,63.28,-1.74
337,84.38,-1.14
338,479.88,0.3
339,247.85,0.73
340,100.2,0.9
341,52.73,1.01
342,31.64,0.98
343,5.27,0.88
344,10.55,0.05
345,0,-0.66
346,5.27,-1.19
347,21.09,-2
348,58.01,-1.46
349,232.03,-0.47
350,379.69,0.27
351,321.68,0.72
352,247.85,1
353,126.56,1.11
354,52.73,1.04
355,58.01,0.82
356,0,0.31
357,15.82,-0.23
358,0,-0.92
359,63.28,-1.08
360,89.65,-0.85
361,116.02,-0.47
362,311.13,0.26
363,337.5,0.76
364,290.04,1.2
365,0,1.15
366,0,1.06
367,15.82,0.87
368,15.82,0.45
369,0,-0.22
370,0,-1.86
371,52.73,-1.46
372,47.46,-1.32
373,189.84,-0.42
374,495.7,0.51
375,411.33,1.11
376,258.4,1.35
377,31.64,1.35
378,68.55,1.41
379,0,1.16
380,0,0.52
381,5.27,-0.35
382,0,-1.19
383,58.01,-1.08
384,15.82,-1.42
385,295.31,-0.41
386,316.41,0.31
387,237.3,0.7
388,168.75,0.97
389,242.58,1.25
390,10.55,1.23
391,0,0.94
392,0,0.48
393,15.82,0.05
394,15.82,-0.38
395,26.37,-1.8
396,52.73,-1.19
397,110.74,-0.7
398,448.24,0.37
399,268.95,0.79
400,305.86,1.11
401,84.38,1.18
402,0,1.09
403,0,0.97
404,5.27,0.32
405,0,-0.3
406,21.09,-1.32
407,42.19,-1.54
408,26.37,-1.39
409,348.05,-0.44
410,195.12,0.27
411,337.5,0.83
412,311.13,1.13
413,10.55,1.1
414,10.55,1.09
415,5.27,0.8
416,0,0.3
417,0,-0.53
418,15.82,-1.86
419,10.55,-1.93
420,31.64,-1.74
421,174.02,-1.03
422,311.13,-0.21
423,258.4,0.38
424,290.04,0.73
425,121.29,0.9
426,0,0.87
427,0,0.72
428,0,0.34
429,0,-0.28
430,21.09,-0.99
431,5.27,-1.93
432,26.37,-1.86
433,168.75,-0.77
434,474.61,0.26
435,279.49,0.69
436,158.2,0.9
437,121.29,1.02
438,5.27,1.01
439,0,0.79
440,0,0.12
441,0,-0.54
442,5.27,-1.32
443,42.19,-1.93
444,21.09,-1.54
445,73.83,-0.87
446,311.13,0.07
447,495.7,0.67
448,179.3,0.9
449,47.46,0.91
450,0,0.86
451,68.55,0.8
452,5.27,0.27
453,15.82,-0.5
454,10.55,-1.08
455,15.82,-1.29
456,36.91,-0.99
457,79.1,-0.94
458,432.42,0.05
459,469.34,0.75
460,284.77,1.11
461,89.65,1.2
462,0,1.14
463,0,1.04
464,10.55,0.59
465,52.73,-0.09
466,47.46,-0.83
467,26.37,-1.14
468,36.91,-0.99
469,316.41,0.06
470,189.84,0.35
471,326.95,0.84
472,168.75,0.94
473,121.29,1.04
474,5.27,1.01
475,0,0.51
476,0,0.24
477,5.27,-0.73
478,0,-1.29
479,14.26,-2.74
480,78.12,-1.53
481,133.57,-0.75
482,284.63,0.08
483,182.91,0.38
484,276.47,0.77
485,23.14,0.8
486,41.33,0.77
487,25.18,0.62
