Original Signal,Approximation,D 1,D 2
-8.000000000000000167e-02,-1.095586615036809430e+00,-6.236536702844254487e-02,-2.262111254618786108e-02
3.900000000000000133e-01,-1.059706512305218951e+00,-5.146894628009020950e-02,-3.545805270433753376e-01
8.599999999999999867e-01,-6.791437152088698470e-01,1.642039645371475357e-02,-2.347033097675781110e-01
1.090000000000000080e+00,-5.420992093627223507e-02,1.901574969866858325e-02,9.639495052780325257e-02
1.080000000000000071e+00,6.372037014685147938e-01,1.152878420865336220e-02,2.594402172723000444e-01
9.399999999999999467e-01,1.192130953704577889e+00,-3.776700330686605378e-02,1.540844310340500345e-01
6.899999999999999467e-01,1.443048004855947308e+00,2.837552989341500173e-02,-9.002545946796193521e-02
2.600000000000000089e-01,1.311639693352893765e+00,-4.363982998345877079e-03,-2.531411980221202063e-01
-3.900000000000000133e-01,8.308234049567164714e-01,-2.051764374766563287e-02,-1.561830101209153443e-01
-1.350000000000000089e+00,1.356541021558975157e-01,-2.220667859401433131e-02,1.301339710576700504e-01
-1.290000000000000036e+00,-5.793415076743311243e-01,1.542717678453553731e-01,2.913889190975249566e-01
-8.900000000000000133e-01,-1.116378092718246284e+00,-2.161534066947244093e-01,1.368077047707851324e-01
-2.500000000000000000e-01,-1.330315100594619659e+00,1.094015428069788354e-01,-1.586102492074856207e-01
4.699999999999999734e-01,-1.166219417675130599e+00,-1.125445694777982460e-02,-2.869174500982945020e-01
1.110000000000000098e+00,-6.713120951708929640e-01,4.934871612764565874e-02,-1.423987812271829967e-01
1.250000000000000000e+00,1.914527187666794153e-02,-4.077632222154554259e-02,1.378767759727846098e-01
1.250000000000000000e+00,7.190028476664450663e-01,-1.155937786919870730e-01,3.092804196447795917e-01
1.179999999999999938e+00,1.237184191119973020e+00,1.666011663357788997e-01,1.818213448439684743e-01
9.200000000000000400e-01,1.429727634491094967e+00,-2.958028794449654372e-02,-1.654783755066077944e-01
3.699999999999999956e-01,1.235387369242236577e+00,7.406575512948579409e-02,-3.623224057289558542e-01
-7.700000000000000178e-01,6.954827159364853628e-01,-3.963648334657507433e-01,-1.556757109600074851e-01
-1.590000000000000080e+00,-5.760323193536995290e-02,5.337100831517826993e-01,2.251450816614570249e-01
-1.800000000000000044e+00,-8.344332382014475469e-01,-2.527670667645085523e-01,3.427287209862918127e-01
-1.689999999999999947e+00,-1.439459177825071823e+00,-2.371709958720582406e-02,1.017358943756107165e-01
-6.400000000000000133e-01,-1.723912626334603848e+00,-4.132344602429807896e-03,-1.992933251679800954e-01
-1.000000000000000021e-02,-1.623811994193262276e+00,9.796989190332104636e-02,-2.780955514743682633e-01
4.799999999999999822e-01,-1.174698125890213829e+00,-8.544384837710387870e-02,-1.269596053026561255e-01
8.100000000000000533e-01,-4.984357566775558523e-01,5.301159985482944981e-02,9.307791920091644522e-02
9.100000000000000311e-01,2.294888461289099346e-01,2.093939437487640429e-02,2.429768000852237930e-01
8.800000000000000044e-01,8.257605765832688460e-01,-1.847383318420118270e-01,2.425772972781441439e-01
6.400000000000000133e-01,1.142358202247785393e+00,2.374703335338627097e-01,3.738130547796805758e-02
2.700000000000000178e-01,1.103147489863227637e+00,-6.585688941298578625e-02,-2.889412891054428667e-01
-3.200000000000000067e-01,7.214482949750866680e-01,-6.740749204114079851e-02,-4.060967859464957308e-01
-1.169999999999999929e+00,9.895366542253752895e-02,2.287988757556817798e-02,-6.211006395388039836e-02
-1.860000000000000098e+00,-5.965183405499396851e-01,2.540926342966252222e-02,4.257795586558660861e-01
-1.590000000000000080e+00,-1.173196424229695944e+00,-1.442768428294719223e-03,4.339208626366356514e-01
-4.699999999999999734e-01,-1.465117828255855459e+00,1.232323194885970655e-02,-8.090309487888967810e-02
5.200000000000000178e-01,-1.381285331488576906e+00,-1.894251938286508827e-02,-4.549464352244708687e-01
1.060000000000000053e+00,-9.351784289982939535e-01,-9.898528421743983674e-02,-2.581177289756462212e-01
1.219999999999999973e+00,-2.449893372520095258e-01,1.831837057678187830e-01,1.668968544141214150e-01
1.270000000000000018e+00,4.963211245640228864e-01,-7.414587732003291576e-02,3.124122421659757953e-01
1.239999999999999991e+00,1.077926917902682025e+00,-7.147829019099698200e-02,1.409066680874030142e-01
9.399999999999999467e-01,1.331745467525196291e+00,4.366654160938517049e-02,-9.699812196867750591e-02
2.999999999999999889e-01,1.183570546537059176e+00,7.129645359419245487e-02,-2.327446902993633993e-01
-6.099999999999999867e-01,6.743855766051580769e-01,-7.087902996863970628e-02,-1.854550317014220795e-01
-1.219999999999999973e+00,-5.242752043123228428e-02,-5.474044556698393071e-03,4.840447856369579221e-02
-1.639999999999999902e+00,-7.930086765912656155e-01,1.728012199565361756e-02,2.765184880847255111e-01
-1.389999999999999902e+00,-1.344000585154653482e+00,1.669290223560419145e-02,2.385169167449979200e-01
-7.700000000000000178e-01,-1.559349347613300463e+00,1.266187858479939955e-02,-6.195119910832135035e-02
-7.000000000000000666e-02,-1.390424836731247282e+00,-8.244104219538579692e-02,-3.137029566599831565e-01
5.500000000000000444e-01,-8.946369857922829016e-01,8.006591288107718640e-02,-2.390068632605033827e-01
8.399999999999999689e-01,-2.149688053319246950e-01,6.865181309940963233e-03,8.626513127873958187e-02
9.899999999999999911e-01,4.640433443474085151e-01,-1.060283162852289629e-01,2.978432271587267421e-01
9.599999999999999645e-01,9.682188810245404564e-01,1.594383313334993280e-01,1.661868266600806388e-01
8.000000000000000444e-01,1.178702531518253105e+00,-1.190835977697610459e-01,-1.095982154452049967e-01
3.800000000000000044e-01,1.057359839898172060e+00,9.058272767967516861e-03,-1.846404980603767454e-01
-2.700000000000000178e-01,6.499759693392755944e-01,4.707306228306394613e-02,-5.067159827386975152e-02
-8.900000000000000133e-01,7.008659161067846977e-02,-1.504713523993374703e-03,4.131413208111219676e-02
-1.350000000000000089e+00,-5.308176474384354027e-01,-1.701540569964091545e-02,3.167453130373934500e-02
-1.320000000000000062e+00,-9.978663215462418856e-01,-4.153531031617224006e-02,5.081138675715500541e-02
-2.999999999999999889e-01,-1.209252773332425202e+00,3.565857116359465867e-02,6.930310923138735535e-02
3.900000000000000133e-01,-1.103388249879455607e+00,5.135660231431884298e-02,-3.403676977694251871e-02
8.000000000000000444e-01,-6.977244096917150085e-01,-3.887298483005906247e-02,-1.430433261874053119e-01
9.799999999999999822e-01,-8.772043798035233930e-02,-7.014695094523308583e-02,-4.806778982896377228e-02
1.030000000000000027e+00,5.722751926537417155e-01,6.246724782780507801e-02,1.551494830410168613e-01
1.110000000000000098e+00,1.108367109706971165e+00,5.886223700297405631e-02,1.665827519398836165e-01
7.800000000000000266e-01,1.377856159177207385e+00,-7.529846981659203686e-02,-6.220860734875292147e-02
2.099999999999999922e-01,1.311411462207806355e+00,-1.447095319765729325e-02,-2.426481993302095075e-01
-4.799999999999999822e-01,9.377907235377899164e-01,3.044674513632334226e-02,-1.246321532860267811e-01
-9.399999999999999467e-01,3.714177278776277791e-01,1.890860257411482170e-02,1.782376420015268914e-01
-1.320000000000000062e+00,-2.208235916695367729e-01,-1.390553678575659306e-02,2.923873068975837985e-01
-1.639999999999999902e+00,-6.734687259351620492e-01,-1.799789029023818668e-02,4.199266359615150268e-02
-1.189999999999999947e+00,-8.665762613429801586e-01,4.708619908674581585e-03,-2.801561469007828320e-01
-2.700000000000000178e-01,-7.561458468542592293e-01,-2.248607060127989950e-03,-2.808559519446363617e-01
1.499999999999999944e-01,-3.781189722591224989e-01,4.888653141870310387e-02,3.011433919945520361e-03
3.300000000000000155e-01,1.647290471750419982e-01,-7.300800256152246981e-02,2.360472691334128681e-01
4.099999999999999756e-01,7.276892849525369300e-01,3.843442542353293911e-02,2.814481201823599843e-01
4.400000000000000022e-01,1.153911514113497239e+00,2.391554425049357852e-03,1.818543556041401221e-01
3.300000000000000155e-01,1.308588139699911501e+00,-1.121254701101022204e-02,-1.030413013695367641e-01
-2.000000000000000111e-01,1.114268819016982492e+00,1.220445956402467849e-02,-4.565156549492394022e-01
-6.999999999999999556e-01,5.816723852058207633e-01,-2.283060069562811017e-02,-4.297437594375718151e-01
-1.169999999999999929e+00,-1.773621573456339584e-01,2.495617572103204368e-02,1.219801150211620999e-01
-1.320000000000000062e+00,-9.678013075437290613e-01,-5.648726047127600181e-03,5.825393689491170646e-01
