Original Signal,Approximation,D 1,D 2,D 3
-2.000000000000000111e-01,6.415351802071240783e-01,-8.471762491597401024e-02,2.108827955496479223e-01,7.718892781611174092e-01
-4.000000000000000083e-02,6.248893010634507528e-01,-6.902978504174296648e-03,1.097272106931828084e-01,3.950598563760090443e-01
3.300000000000000155e-01,5.825797310072107216e-01,3.624693345611352396e-02,-1.210862311889399599e-02,-1.066481298971871938e-01
6.999999999999999556e-01,5.232220585224164333e-01,6.037173754611043636e-02,-8.071325824095083867e-02,-5.851786868771832184e-01
9.599999999999999645e-01,4.542238773545770325e-01,-8.226954673212596991e-02,-1.800911161059975396e-01,-8.946356244996235274e-01
1.199999999999999956e+00,3.856087871004991174e-01,-1.229512718323462345e-01,-1.667651359379851983e-01,-9.460030562307307767e-01
1.229999999999999982e+00,3.227536610160579023e-01,2.870511668487326085e-01,9.285079337101244390e-02,-7.354958410989432815e-01
1.020000000000000018e+00,2.724501498732671556e-01,-1.369998035004437731e-01,3.067199272353827166e-01,-3.339482586068910352e-01
5.500000000000000444e-01,2.365421928102263704e-01,-7.225084629343717091e-02,1.542380890885524658e-01,1.397120896799140255e-01
-3.400000000000000244e-01,2.176139874751324699e-01,6.509703069677659406e-04,-1.491333409363356788e-01,5.621256976120951876e-01
-7.099999999999999645e-01,2.142548212641715022e-01,1.799019594789734999e-01,-2.049371143643368975e-01,8.333928643887666965e-01
-3.900000000000000133e-01,2.250932978480349456e-01,-1.527066913728004349e-01,-4.845756623321834100e-02,8.932885885377370716e-01
-2.000000000000000111e-01,2.461160808560453883e-01,3.602772526153485283e-02,5.132994554151505684e-02,7.286892830995054249e-01
1.300000000000000044e-01,2.727823884307365998e-01,-5.230554358469909765e-02,5.748936066720618243e-02,3.722907030233702508e-01
2.999999999999999889e-01,3.008084716755379806e-01,9.447484452071036598e-02,4.304522306266238968e-02,-9.646728798180320696e-02
7.399999999999999911e-01,3.263971586853031681e-01,-3.918135863009743203e-02,-2.252478579442978787e-02,-5.622069317976585712e-01
1.120000000000000107e+00,3.470348469165819294e-01,3.813689551456372201e-02,-8.907551306273281400e-02,-8.958930742259093583e-01
1.439999999999999947e+00,3.598152239850685441e-01,-1.683243117995958660e-01,5.774759539844254337e-03,-9.909212244243804646e-01
1.360000000000000098e+00,3.639896709940196318e-01,2.358111236525330667e-01,2.047008434140336897e-01,-8.026582213419996004e-01
1.010000000000000009e+00,3.601053138319848523e-01,-1.186842074043584216e-01,1.910035031647626391e-01,-3.719369380806294978e-01
3.699999999999999956e-01,3.499556660971783750e-01,-1.560201391864389671e-02,-1.380843268188416961e-01,1.790558209870099782e-01
