Original Signal,Approximation,D 1,D 2,D 3
-1.600000000000000033e-01,4.686315742239002269e-01,-7.018336576454366205e-02,5.172878196700719799e-02,9.371678651531512028e-01
-1.400000000000000133e-01,4.429253219528417329e-01,-2.809253605637096474e-02,4.578967106146153909e-04,4.474268381814768269e-01
2.099999999999999922e-01,4.007363168615415416e-01,4.115153633686265827e-02,-1.295415804150676364e-01,-1.662832167148258211e-01
5.100000000000000089e-01,3.476173391618138098e-01,9.171910279257709797e-02,-1.743297700588322952e-01,-7.288223314562529698e-01
9.200000000000000400e-01,2.891819515918372940e-01,-9.803430202303202445e-02,-6.358695774389198918e-02,-1.081983586372083916e+00
1.209999999999999964e+00,2.309071862761563620e-01,-2.061638136487704553e-01,1.129871660163991737e-01,-1.131925120933848783e+00
1.290000000000000036e+00,1.775390829295455108e-01,4.564090564554550422e-01,2.119823481101260898e-01,-8.739226596371308942e-01
9.599999999999999645e-01,1.330177797110609350e-01,-2.602824889347713500e-01,1.164419875845362912e-01,-3.881779640747068383e-01
3.800000000000000044e-01,9.946268010973817464e-02,-7.541878627934484047e-02,-1.129434757616950141e-01,1.894176311764970699e-01
-7.099999999999999645e-01,7.777218393113080608e-02,2.615886553142485887e-02,-2.178811987913541193e-01,7.071293627041392860e-01
-9.200000000000000400e-01,6.749138906797946813e-02,2.726606234544756147e-01,-7.236832118308919592e-02,1.035696312809532449e+00
-5.999999999999999778e-01,6.781160594101058592e-02,-2.922541017099777316e-01,1.242747460488570904e-01,1.096309230119857814e+00
-4.400000000000000022e-01,7.696171793422618146e-02,4.026966567670862973e-02,1.553947349600774686e-01,8.748899004072084873e-01
-2.899999999999999800e-01,9.305338242051398867e-02,-4.544480096036395897e-03,4.850479238995592662e-02,4.237755035132184656e-01
-5.999999999999999778e-02,1.139278734342073773e-01,2.435393523059080356e-01,-8.266118751333376147e-02,-1.477216368083004161e-01
4.600000000000000200e-01,1.379026384707640052e-01,-2.538139940022651198e-01,-1.667920192654431255e-01,-6.954904216966720787e-01
1.030000000000000027e+00,1.629998369993003182e-01,-9.561340016294161970e-02,-1.096065392372357894e-01,-1.072421429368774826e+00
1.530000000000000027e+00,1.874228881863047314e-01,2.701341547354862427e-01,9.805497550734210144e-02,-1.167249521342813123e+00
1.459999999999999964e+00,2.094645220781948258e-01,-7.428202936018067637e-02,2.366292169221561603e-01,-9.405846289595375387e-01
1.070000000000000062e+00,2.279361270890674085e-01,8.366893544736193900e-02,1.064402509926674900e-01,-4.434443020946599034e-01
1.400000000000000133e-01,2.413246751652542710e-01,-5.037032445501680167e-01,-1.460084883406102541e-01,1.888661366945099118e-01
-5.600000000000000533e-01,2.483845852210715688e-01,6.759136117168355051e-01,-2.077329845667660324e-01,7.739078768306669742e-01
-1.159999999999999920e+00,2.483963709966935940e-01,-2.580879530512455444e-01,-3.592220006236493401e-02,1.137880991493145366e+00
-9.200000000000000400e-01,2.423652301379622398e-01,-1.259248162022219009e-01,1.185779886476341638e-01,1.171934034840063976e+00
-9.200000000000000400e-01,2.315033455886380265e-01,2.310701019546298682e-02,9.318850640624272430e-02,8.690715961932234945e-01
-6.500000000000000222e-01,2.177308128328528658e-01,1.674363859648873576e-01,5.238244233898912798e-03,3.247382492349457084e-01
-6.500000000000000222e-01,2.028363943083506538e-01,-1.068875788668197102e-01,-7.026922519214323128e-03,-2.954069664242632842e-01
2.399999999999999911e-01,1.904620545703387124e-01,3.203280266391334702e-02,-2.860004277837257733e-02,-8.100731641833395225e-01
7.099999999999999645e-01,1.836879743371844786e-01,-1.085521483677186205e-01,-1.303889193137349189e-01,-1.077359228752869713e+00
1.110000000000000098e+00,1.846858250144415847e-01,1.486432815554170062e-01,-1.062256428625304311e-01,-1.032104929670676130e+00
1.149999999999999911e+00,1.928907471698827203e-01,-7.167616338456546388e-02,1.738865119607354570e-01,-6.989420431106687648e-01
