Original Signal,Approximation,D 1,D 2
1.400000000000000133e-01,2.482061749125736294e-01,-1.043839770790919996e-01,4.266817846080202536e-01
5.500000000000000444e-01,-9.890569400839110265e-03,-1.121858233279036075e-02,1.853663760782673919e-01
1.020000000000000018e+00,-5.519675969404550658e-02,-4.005936306120721525e-03,-1.704744052549089506e-01
1.310000000000000053e+00,1.487601218596996400e-01,2.817175261003052739e-02,-1.486051294341208251e-01
1.310000000000000053e+00,5.438179229406163717e-01,-1.764242273286714940e-03,7.390794788148724592e-02
1.199999999999999956e+00,9.811309314517556723e-01,-2.138533683169963409e-02,8.711396440251716056e-02
7.900000000000000355e-01,1.268848471411094803e+00,5.161740912760014177e-02,-1.216177690258131022e-01
4.400000000000000022e-01,1.252408395700846722e+00,-9.443234098929370601e-02,-2.481605245886206179e-01
-8.000000000000000167e-02,8.811518442475183566e-01,6.268786527428756028e-02,-7.923229377778948090e-02
-8.599999999999999867e-01,2.397535266066088688e-01,1.802715397933184888e-02,2.605184646160007000e-01
-7.600000000000000089e-01,-4.812945173023671641e-01,6.614932648486895710e-03,3.808667143218571471e-01
-3.800000000000000044e-01,-1.054690322531545155e+00,-1.054384866854617686e-01,8.441395139258434099e-02
8.999999999999999667e-02,-1.299515357055209819e+00,9.745612239473543104e-02,-3.068148270072484363e-01
6.999999999999999556e-01,-1.142490793808409233e+00,-4.535377526561290389e-03,-3.593673479811070881e-01
1.229999999999999982e+00,-6.368376595958403774e-01,2.233020645435797205e-04,-8.995397450851753962e-02
1.310000000000000053e+00,6.188948989185481808e-02,-3.949278655156842482e-02,1.931899831522104483e-01
1.320000000000000062e+00,7.480500332264410357e-01,-3.804876761479421970e-02,3.162866366792439488e-01
1.209999999999999964e+00,1.226351708930363493e+00,1.268194432843328390e-01,2.115033778998779146e-01
9.699999999999999734e-01,1.363526281581648458e+00,-4.966035256926599334e-02,-1.310305236759059522e-01
4.099999999999999756e-01,1.118168675464565665e+00,-1.819556593603561742e-02,-4.227077480683525956e-01
-8.199999999999999512e-01,5.498686432045786221e-01,-1.158319972760715189e-01,-2.582724253834736694e-01
-1.350000000000000089e+00,-1.993237541047323536e-01,2.630518467215081091e-01,2.473636647876563399e-01
