Original Signal,Approximation,D 1,D 2
-9.200000000000000400e-01,-1.289549218984328727e+00,-1.968882349460961134e-02,4.434320794437118796e-01
1.000000000000000056e-01,-1.953723108063187608e+00,1.146276028049179330e-01,2.870740656908983279e-01
2.200000000000000011e-01,-2.338010693588820743e+00,-2.107393822258807337e-01,-5.361961378548688734e-02
1.020000000000000018e+00,-2.363552219420995026e+00,2.005358790418196868e-01,-3.224053447152059881e-01
1.699999999999999956e+00,-2.049214992660441936e+00,-7.235853802804174950e-02,-3.501927534741598458e-01
1.610000000000000098e+00,-1.492346714926891416e+00,-1.176317573982896547e-01,-5.311159148694259008e-02
1.120000000000000107e+00,-8.299896155667777498e-01,2.803649148899923782e-01,2.721311252818998105e-01
3.499999999999999778e-01,-1.879570288473692008e-01,-2.901242656505312323e-01,2.419358140552255176e-01
-1.700000000000000122e-01,3.443315437454264050e-01,1.588461451008766623e-01,2.251414814889065100e-02
-5.999999999999999778e-01,7.183451321788120181e-01,-6.750031177875844002e-02,3.251653580275967216e-03
-1.459999999999999964e+00,9.099438375997156436e-01,7.586529656346080452e-02,4.814229283517942187e-02
-2.350000000000000089e+00,9.038833139349917722e-01,-2.680727868859505633e-02,-1.565861843058640734e-01
-2.620000000000000107e+00,6.979486673153257881e-01,-9.465200273387587571e-02,-3.469624665484040138e-01
-1.459999999999999964e+00,3.161158818256259995e-01,1.186554194249878208e-01,-1.031958615071718183e-01
-1.459999999999999964e+00,-1.704780516779543231e-01,-4.173722658302861377e-02,3.142963243214212388e-01
-2.100000000000000089e+00,-6.464410889662685067e-01,5.801739909239330556e-02,3.428754982924719918e-01
-1.659999999999999920e+00,-9.803919705527204265e-01,-1.435914384473463701e-01,1.813343575726764773e-02
-5.999999999999999778e-01,-1.070405153940591214e+00,1.018541202331120360e-01,-1.971610157740412428e-01
-2.999999999999999889e-02,-8.924327574265542573e-01,8.053165969571972338e-03,-1.727451140566394483e-01
-3.099999999999999978e-01,-5.118453444434850619e-01,-1.627542578812336133e-02,-8.791718520772379142e-02
1.000000000000000056e-01,-6.503518248907275145e-02,3.702257271123905735e-02,3.100955862637893787e-02
1.020000000000000018e+00,2.950889379619165975e-01,-1.891971777201833238e-01,1.849018138407759193e-01
9.100000000000000311e-01,4.574472081401270707e-01,2.477943538181053007e-01,1.498916421820671585e-01
2.200000000000000011e-01,3.901842863875994438e-01,-7.571305340385336979e-02,-1.169269627566923708e-01
2.200000000000000011e-01,1.492407255047294712e-01,-5.603394519394595125e-02,-2.143221104632468954e-01
5.799999999999999600e-01,-1.501956888643248000e-01,2.283897154409516086e-02,4.409188108218816543e-02
9.100000000000000311e-01,-3.745384588452942420e-01,-1.012952069008440231e-01,2.052476204276061089e-01
3.499999999999999778e-01,-4.144750353216941630e-01,2.263066085788443538e-01,-3.937421979852830101e-02
8.000000000000000444e-01,-2.162302129177689214e-01,6.829686200143525454e-02,-2.391036636966288598e-01
8.000000000000000444e-01,2.048376586922291132e-01,-7.086199476823397125e-01,1.998380624141226150e-02
4.600000000000000200e-01,7.661798459659263649e-01,9.419524148041652500e-01,3.269251359874812413e-01
3.499999999999999778e-01,1.336285726785640282e+00,-4.894820505136557864e-01,1.444119244874153274e-01
-2.999999999999999889e-02,1.767534745741689006e+00,-4.812161611820406359e-02,-2.696087414164485829e-01
-4.500000000000000111e-01,1.936250916937842126e+00,1.327346084871665888e-01,-3.227983196080375095e-01
-1.090000000000000080e+00,1.784770383348690981e+00,3.839338187655121776e-02,-1.157094094355086075e-02
-4.500000000000000111e-01,1.347750996701728932e+00,-2.424213522612466906e-02,2.191326346530342861e-01
-3.099999999999999978e-01,7.483770191047648401e-01,-1.323422034676334791e-01,1.843729631741838904e-01
-7.600000000000000089e-01,1.630963681080301875e-01,7.563028514119463086e-02,4.020314979094605917e-02
-7.600000000000000089e-01,-2.408851501990999511e-01,1.471756508650537421e-01,-7.344454380895205914e-02
3.499999999999999778e-01,-3.660456212458738090e-01,-9.035480305628920683e-02,-1.042345962996123199e-01
9.100000000000000311e-01,-2.210039301791477395e-01,-1.766899138910255351e-01,-2.222789637080814160e-02
9.100000000000000311e-01,8.601146093750819399e-02,5.102238209403964220e-02,6.422817523585586108e-02
1.320000000000000062e+00,3.974017627440928901e-01,3.985651993328148679e-01,-2.892761007455535091e-02
1.219999999999999973e+00,5.724237004828039987e-01,-3.379298092803071363e-01,-1.970865787039499106e-01
1.020000000000000018e+00,5.456723544723194319e-01,-2.236573803291552198e-01,-8.962737501398659878e-02
1.000000000000000056e-01,3.476652623424957289e-01,3.197203986068202219e-01,2.723075824390239208e-01
-9.200000000000000400e-01,8.072857449183333534e-02,1.580606696827398794e-01,3.733205060630385708e-01
-1.459999999999999964e+00,-1.344992156839439068e-01,-2.227864353143141352e-01,-2.284224935727748821e-03
-2.350000000000000089e+00,-2.186732776835042524e-01,-2.495011260443438239e-01,-3.607452433786299539e-01
-1.659999999999999920e+00,-1.645913428044674387e-01,2.930718358280415825e-01,-2.559564304057063699e-01
-1.090000000000000080e+00,-2.933507265360548594e-02,2.057368084949805220e-01,6.062765104734269689e-02
-1.700000000000000122e-01,1.031873480531378950e-01,-3.102617804125194501e-01,1.479818781479663725e-01
3.499999999999999778e-01,1.713821764981371398e-01,-1.215931102178735290e-01,3.742512609813242186e-02
6.899999999999999467e-01,1.625760217370861571e-01,2.630205639183372246e-01,-2.840737276525614444e-04
4.600000000000000200e-01,1.125467697766487918e-01,5.325466638518953910e-02,6.822826507478411961e-02
3.499999999999999778e-01,7.387825631082253763e-02,-1.368753242154342742e-01,1.032712101134311000e-01
-1.700000000000000122e-01,7.789263222990373825e-02,-2.016615788257153097e-01,3.380842367594276421e-02
-3.099999999999999978e-01,1.134801640980671045e-01,3.954470891644590869e-01,-1.180373263065747913e-01
-1.090000000000000080e+00,1.324518257942842725e-01,-1.563022919769247454e-01,-2.374858442869936803e-01
-1.459999999999999964e+00,8.155217646833189116e-02,-1.672413868145349314e-01,-1.551306448096062829e-01
-1.090000000000000080e+00,-6.507565507731367938e-02,1.816791427566830375e-01,1.200257591103287141e-01
-9.200000000000000400e-01,-2.865687128532860561e-01,4.452353081823731684e-02,3.126152335945755478e-01
-4.500000000000000111e-01,-5.258265447153986916e-01,-1.120200946833343064e-01,2.043200299937289743e-01
-1.270000000000000018e+00,-7.204730800488554632e-01,-1.675918341875169415e-01,-8.023207347140609569e-02
2.200000000000000011e-01,-8.363876630734524698e-01,3.763423316347954684e-01,-2.456820415873096908e-01
2.200000000000000011e-01,-8.849340199064568147e-01,-1.189164010674966243e-01,-1.760265787222526912e-01
-2.999999999999999889e-02,-9.090779444418780608e-01,-2.387590650009958348e-01,-6.749024362079698858e-03
4.600000000000000200e-01,-9.528608595765067912e-01,1.079328025290833687e-01,9.712895956222721006e-02
1.000000000000000056e-01,-1.029464437864270332e+00,2.738255904056842716e-01,1.241848513696885981e-01
5.799999999999999600e-01,-1.107717315775289979e+00,-2.414169289852935718e-01,1.295150370001192375e-01
-1.700000000000000122e-01,-1.128133053322510682e+00,-1.283678826430876829e-01,6.784897654632400521e-02
-1.700000000000000122e-01,-1.033809350710896968e+00,2.488784922914367981e-01,-1.082767378034588113e-01
-2.999999999999999889e-02,-8.025678000208554819e-01,-6.421316400853800677e-02,-2.391586580959438879e-01
2.200000000000000011e-01,-4.592296308713831876e-01,-8.505049593098244765e-03,-1.236228117527086862e-01
5.799999999999999600e-01,-6.000544862888042286e-02,-1.013828058674244165e-01,1.180456500599321723e-01
5.799999999999999600e-01,3.326310070171265010e-01,9.719164723420389840e-02,1.737576277808969838e-01
4.600000000000000200e-01,6.734829829760760056e-01,9.499413868970109365e-02,2.907046873944861554e-02
1.020000000000000018e+00,9.428187459818406779e-01,-2.608364933590862633e-01,-2.920837859931790445e-02
1.320000000000000062e+00,1.130014819637596313e+00,2.600381957006164257e-01,7.706866848172401474e-02
2.200000000000000011e-01,1.222991182954104694e+00,-1.504429255762443074e-01,7.960519616585121083e-02
4.600000000000000200e-01,1.197533029757022582e+00,3.988672613505532538e-02,-1.416487951800530221e-01
-1.700000000000000122e-01,1.039589140210659179e+00,-1.125129898656878139e-02,-2.859845762526649904e-01
-3.099999999999999978e-01,7.736443634323362240e-01,6.498473785150525595e-02,-1.073200796660503387e-01
-1.090000000000000080e+00,4.797018070393090916e-01,-9.546927015173692355e-02,1.560904413537420599e-01
-1.270000000000000018e+00,2.804063838247832785e-01,4.144522743630175976e-02,1.922705175492363527e-01
-7.600000000000000089e-01,2.904823017618065606e-01,-3.621784914093837543e-02,1.429059936634806960e-01
-1.649999999999999911e+00,5.542718377861118872e-01,1.684957635205117099e-01,2.157839107500235387e-01
-1.270000000000000018e+00,1.005707647572946506e+00,-2.180739512408469971e-01,1.232446158473743392e-01
-1.649999999999999911e+00,1.475326275521244623e+00,1.498806802181197606e-02,-3.723568554687912147e-01
-1.649999999999999911e+00,1.761675510052750138e+00,1.640519862172845345e-01,-7.126352416929999656e-01
-1.459999999999999964e+00,1.725602750302880573e+00,-5.373447928151334207e-02,-2.578471615507003101e-01
-1.649999999999999911e+00,1.368169151880121115e+00,-1.076939130243405535e-03,5.641833970251673991e-01
-1.270000000000000018e+00,8.411103474143639680e-01,-3.465907994053859520e-01,7.815994548235841721e-01
