sl.no.,rainfall,spi_1
1,36.91,-0.10
2,5.27,-0.86
3,26.37,-0.25
4,26.37,-0.25
5,116.02,0.55
6,342.77,1.44
7,279.49,1.24
8,363.87,1.50
9,290.04,1.28
10,26.37,-0.25
11,10.55,-0.62
12,0.00,0.52
13,31.64,-0.17
14,84.38,0.35
15,26.37,-0.25
16,52.73,0.08
17,126.56,0.61
18,205.66,0.98
19,406.05,1.61
20,522.07,1.89
21,100.20,0.46
22,68.55,0.23
23,15.82,-0.47
24,0.00,0.59
25,0.00,0.59
26,5.27,-0.86
27,0.00,0.11
28,10.55,-0.62
29,42.19,-0.03
30,205.66,0.98
31,205.66,0.98
32,305.86,1.33
33,189.84,0.91
34,100.20,0.46
35,0.00,1.03
36,10.55,-0.62
37,15.82,-0.47
38,10.55,-0.62
39,0.00,-0.57
40,21.09,-0.35
41,31.64,-0.17
42,205.66,0.98
43,421.88,1.65
44,279.49,1.24
45,84.38,0.35
46,15.82,-0.47
47,0.00,0.60
48,0.00,0.63
49,47.46,0.03
50,5.27,-0.86
51,0.00,-0.03
52,5.27,-0.86
53,5.27,-0.86
54,94.92,0.42
55,321.68,1.38
56,305.86,1.33
57,247.85,1.13
58,105.47,0.49
59,0.00,1.71
60,0.00,2.03
61,26.37,-0.25
62,26.37,-0.25
63,5.27,-0.86
64,26.37,-0.25
65,21.09,-0.35
66,379.69,1.54
67,274.22,1.23
68,384.96,1.56
69,152.93,0.75
70,26.37,-0.25
71,58.01,0.13
72,5.27,-0.86
73,5.27,-0.86
74,0.00,-0.12
75,10.55,-0.62
76,5.27,-0.86
77,26.37,-0.25
78,94.92,0.42
79,284.77,1.26
80,189.84,0.91
81,110.74,0.52
82,89.65,0.39
83,31.64,-0.17
84,10.55,-0.62
85,0.00,0.21
86,21.09,-0.35
87,5.27,-0.86
88,5.27,-0.86
89,21.09,-0.35
90,168.75,0.82
91,158.20,0.77
92,226.76,1.06
93,126.56,0.61
94,5.27,-0.86
95,0.00,0.61
96,0.00,0.73
97,0.00,0.85
98,0.00,0.98
99,21.09,-0.35
100,0.00,0.81
101,10.55,-0.62
102,321.68,1.38
103,279.49,1.24
104,374.41,1.53
105,205.66,0.98
106,5.27,-0.86
107,0.00,0.40
108,5.27,-0.86
109,0.00,-0.32
110,31.64,-0.17
111,21.09,-0.35
112,21.09,-0.35
113,174.02,0.84
114,268.95,1.21
115,263.67,1.19
116,374.41,1.53
117,268.95,1.21
118,210.94,1.00
119,10.55,-0.62
120,0.00,1.05
121,0.00,1.15
122,0.00,1.24
123,5.27,-0.86
124,0.00,0.80
125,0.00,0.83
126,179.30,0.87
127,305.86,1.33
128,353.32,1.47
129,126.56,0.61
130,31.64,-0.17
131,26.37,-0.25
132,5.27,-0.86
133,0.00,-1.00
134,0.00,-1.36
135,0.00,-1.71
136,21.09,-0.35
137,47.46,0.03
138,116.02,0.55
139,295.31,1.29
140,395.51,1.58
141,163.48,0.80
142,5.27,-0.86
143,15.82,-0.47
144,0.00,0.09
145,0.00,0.04
146,10.55,-0.62
147,15.82,-0.47
148,21.09,-0.35
149,31.64,-0.17
150,195.12,0.93
151,427.15,1.67
152,348.05,1.45
153,205.66,0.98
154,58.01,0.13
155,0.00,1.46
156,0.00,1.67
157,0.00,1.89
158,10.55,-0.62
159,0.00,1.48
160,5.27,-0.86
161,68.55,0.23
162,268.95,1.21
163,553.71,1.96
164,337.50,1.42
165,237.30,1.10
166,52.73,0.08
167,5.27,-0.86
168,0.00,0.45
169,58.01,0.13
170,5.27,-0.86
171,26.37,-0.25
172,5.27,-0.86
173,58.01,0.13
174,121.29,0.58
175,453.52,1.73
176,274.22,1.23
177,195.12,0.93
178,68.55,0.23
179,10.55,-0.62
180,0.00,0.85
181,0.00,0.97
182,5.27,-0.86
183,15.82,-0.47
184,21.09,-0.35
185,5.27,-0.86
186,94.92,0.42
187,311.13,1.34
188,284.77,1.26
189,105.47,0.49
190,31.64,-0.17
191,10.55,-0.62
192,0.00,0.54
193,15.82,-0.47
194,0.00,0.36
195,26.37,-0.25
196,68.55,0.23
197,15.82,-0.47
198,100.20,0.46
199,358.59,1.48
200,353.32,1.47
201,68.55,0.23
202,5.27,-0.86
203,26.37,-0.25
204,42.19,-0.03
205,10.55,-0.62
206,15.82,-0.47
207,15.82,-0.47
208,10.55,-0.62
209,31.64,-0.17
210,131.84,0.64
211,210.94,1.00
212,221.48,1.04
213,142.38,0.69
214,126.56,0.61
215,68.55,0.23
216,0.00,0.78
217,0.00,0.87
218,5.27,-0.86
219,0.00,0.65
220,0.00,0.71
221,42.19,-0.03
222,158.20,0.77
223,168.75,0.82
224,500.98,1.85
225,205.66,0.98
226,36.91,-0.10
227,0.00,0.85
228,0.00,0.88
229,0.00,0.92
230,31.64,-0.17
231,0.00,0.54
232,5.27,-0.86
233,31.64,-0.17
234,311.13,1.34
235,279.49,1.24
236,189.84,0.91
237,84.38,0.35
238,5.27,-0.86
239,0.00,0.37
240,0.00,0.39
241,5.27,-0.86
242,0.00,-0.08
243,15.82,-0.47
244,26.37,-0.25
245,47.46,0.03
246,316.41,1.36
247,321.68,1.38
248,326.95,1.39
249,116.02,0.55
250,68.55,0.23
251,15.82,-0.47
252,0.00,0.63
253,26.37,-0.25
254,0.00,-0.52
255,15.82,-0.47
256,5.27,-0.86
257,26.37,-0.25
258,195.12,0.93
259,137.11,0.67
260,290.04,1.28
261,73.83,0.27
262,31.64,-0.17
263,0.00,0.82
264,0.00,0.96
265,0.00,1.11
266,21.09,-0.35
267,26.37,-0.25
268,10.55,-0.62
269,0.00,0.30
270,73.83,0.27
271,395.51,1.58
272,453.52,1.73
273,290.04,1.28
274,168.75,0.82
275,0.00,1.38
276,42.19,-0.03
277,52.73,0.08
278,0.00,0.30
279,15.82,-0.47
280,15.82,-0.47
281,21.09,-0.35
282,253.12,1.15
283,311.13,1.34
284,221.48,1.04
285,216.21,1.02
286,36.91,-0.10
287,0.00,1.17
288,0.00,1.34
289,63.28,0.18
290,0.00,1.20
291,0.00,1.31
292,5.27,-0.86
293,36.91,-0.10
294,137.11,0.67
295,474.61,1.78
296,305.86,1.33
297,295.31,1.29
298,152.93,0.75
299,0.00,1.87
300,5.27,-0.86
301,0.00,1.12
302,0.00,1.21
303,31.64,-0.17
304,52.73,0.08
305,68.55,0.23
306,84.38,0.35
307,379.69,1.54
308,321.68,1.38
309,263.67,1.19
310,0.00,1.80
311,26.37,-0.25
312,0.00,1.33
313,0.00,1.46
314,21.09,-0.35
315,0.00,1.07
316,0.00,1.13
317,21.09,-0.35
318,537.89,1.93
319,274.22,1.23
320,300.59,1.31
321,184.57,0.89
322,26.37,-0.25
323,10.55,-0.62
324,0.00,-0.20
325,10.55,-0.62
326,15.82,-0.47
327,42.19,-0.03
328,10.55,-0.62
329,5.27,-0.86
330,221.48,1.04
331,232.03,1.08
332,258.40,1.17
333,337.50,1.42
334,5.27,-0.86
335,0.00,0.93
336,0.00,1.07
337,0.00,1.22
338,0.00,1.37
339,10.55,-0.62
340,5.27,-0.86
341,26.37,-0.25
342,73.83,0.27
343,553.71,1.96
344,279.49,1.24
345,84.38,0.35
346,42.19,-0.03
347,36.91,-0.10
348,10.55,-0.62
349,15.82,-0.47
350,0.00,-0.48
351,5.27,-0.86
352,21.09,-0.35
353,26.37,-0.25
354,179.30,0.87
355,448.24,1.72
356,268.95,1.21
357,284.77,1.26
358,68.55,0.23
359,31.64,-0.17
360,52.73,0.08
361,0.00,-0.28
362,10.55,-0.62
363,0.00,-1.06
364,94.92,0.42
365,42.19,-0.03
366,158.20,0.77
367,348.05,1.45
368,400.78,1.60
369,337.50,1.42
370,5.27,-0.86
371,0.00,0.67
372,21.09,-0.35
373,26.37,-0.25
374,0.00,-0.05
375,0.00,-0.14
376,36.91,-0.10
377,15.82,-0.47
378,237.30,1.10
379,564.26,1.99
380,500.98,1.85
381,258.40,1.17
382,21.09,-0.35
383,26.37,-0.25
384,0.00,0.28
385,0.00,0.17
386,5.27,-0.86
387,0.00,-0.42
388,47.46,0.03
389,0.00,-0.54
390,358.59,1.48
391,474.61,1.78
392,332.23,1.41
393,168.75,0.82
394,163.48,0.80
395,352.27,1.47
396,388.13,1.56
397,0.00,1.19
398,31.64,-0.17
399,10.55,-0.62
400,36.91,-0.10
401,15.82,-0.47
402,105.47,0.49
403,490.43,1.82
404,258.40,1.17
405,305.86,1.33
406,68.55,0.23
407,0.00,1.43
408,0.00,1.63
409,5.27,-0.86
410,0.00,1.14
411,26.37,-0.25
412,31.64,-0.17
413,21.09,-0.35
414,337.50,1.42
415,210.94,1.00
416,311.13,1.34
417,284.77,1.26
418,0.00,1.93
419,0.00,2.27
420,10.55,-0.62
421,0.00,1.51
422,0.00,1.63
423,15.82,-0.47
424,5.27,-0.86
425,15.82,-0.47
426,189.84,0.91
427,379.69,1.54
428,268.95,1.21
429,342.77,1.44
430,94.92,0.42
431,0.00,1.72
432,0.00,2.00
433,0.00,2.27
434,0.00,2.55
435,21.09,-0.35
436,0.00,0.14
437,5.27,-0.86
438,189.84,0.91
439,437.70,1.69
440,284.77,1.26
441,210.94,1.00
442,84.38,0.35
443,0.00,1.31
444,0.00,1.48
445,0.00,1.65
446,10.55,-0.62
447,5.27,-0.86
448,36.91,-0.10
449,21.09,-0.35
450,110.74,0.52
451,332.23,1.41
452,458.79,1.75
453,121.29,0.58
