sl.no,spi
1,-1.54
2,-1.54
3,-1.20
4,0.15
5,1.20
6,1.20
7,1.33
8,1.33
9,1.20
10,0.33
11,-1.21
12,-2.44
13,-1.21
14,-0.66
15,-0.92
16,-2.44
17,-1.20
18,-0.92
19,-0.66
20,-0.92
21,0.15
22,0.64
23,0.49
24,0.15
25,0.93
26,0.93
27,0.33
28,-0.66
29,-0.03
30,1.07
31,1.07
32,1.20
33,0.15
34,-0.44
35,-0.92
36,-0.03
37,-0.03
38,-0.44
39,-0.44
40,-0.22
41,-0.43
42,-0.43
43,0.79
44,1.57
45,1.57
46,1.20
47,0.15
48,-0.22
49,-1.54
50,-1.54
51,-1.93
52,-1.54
53,-0.66
54,0.15
55,0.93
56,1.07
57,0.93
58,-0.22
59,-0.66
60,-1.54
61,-0.03
62,-0.66
63,-0.43
64,-1.53
65,-0.43
66,-0.03
67,-0.22
68,0.79
69,0.49
70,0.33
71,-0.03
72,-0.22
73,0.64
74,-0.03
75,0.15
76,-0.66
77,0.49
78,0.79
79,1.33
80,0.33
81,0.79
82,0.64
83,0.15
84,-0.03
85,-0.92
86,-0.43
87,-1.53
88,-0.66
89,-0.43
90,-0.66
91,-0.92
92,-1.93
93,-1.53
94,-0.92
95,-0.43
96,-0.22
97,-0.43
98,-0.03
99,-0.44
100,-0.66
101,-0.43
102,-0.03
103,0.49
104,-0.03
105,0.79
106,0.49
107,0.64
108,-0.43
109,0.15
110,0.79
111,0.64
112,-0.44
113,-2.44
114,-1.21
115,1.07
116,2.21
117,2.21
118,1.20
119,0.64
120,0.93
121,1.07
122,0.15
123,-0.03
124,-0.66
125,0.15
126,-0.66
127,-0.92
128,-1.93
129,-1.53
130,-0.03
131,0.15
132,0.15
133,-0.22
134,-0.43
135,-0.03
136,0.33
137,0.33
138,-0.03
139,0.64
140,0.64
141,0.79
142,-0.66
143,-0.66
144,-0.03
145,0.15
146,0.49
147,-0.44
148,-0.66
149,-1.54
150,-1.54
151,-1.21
152,-0.66
153,0.15
154,0.49
155,-0.03
156,-0.92
157,-0.44
158,-0.03
159,-0.03
160,-1.20
161,0.15
162,1.45
163,2.11
164,1.68
165,0.64
166,0.15
167,-0.66
168,-0.66
169,-0.66
170,0.33
171,0.49
172,-0.22
173,0.15
174,0.15
175,1.57
176,0.79
177,0.64
178,-1.93
179,-0.03
180,0.49
181,1.45
182,0.93
183,0.15
184,-1.54
185,-1.54
186,-0.44
187,0.93
188,1.07
189,1.33
190,0.79
191,0.33
192,-0.92
193,-1.53
194,-1.53
195,-1.20
196,-1.93
197,-0.66
198,0.49
199,1.33
200,0.64
201,0.33
202,-0.22
203,-0.22
204,-1.54
205,-1.21
206,-1.21
207,-0.92
208,-1.54
209,-1.20
210,0.64
211,0.33
212,1.33
213,0.93
214,1.07
215,0.15
216,-0.92
217,-0.92
218,-1.93
219,-3.22
220,-0.92
221,0.64
222,1.20
223,1.33
224,0.64
225,1.20
226,0.64
227,0.64
228,-0.66
229,-0.66
230,-0.66
231,-0.66
232,-0.92
233,-0.66
234,-0.43
235,0.93
236,2.68
237,3.43
238,2.86
239,1.45
240,0.49
241,0.15
242,-0.44
243,-1.54
244,-1.54
245,-1.21
246,0.15
247,1.45
248,1.45
249,1.20
250,-0.03
251,-0.43
252,-0.66
253,-1.20
254,-0.43
255,-0.92
256,-0.66
257,-1.21
258,-0.22
259,-0.43
260,-0.43
261,-0.43
262,0.33
263,-0.22
264,-0.03
265,-0.92
266,-0.03
267,-1.21
268,-0.66
269,-1.54
270,-0.92
271,0.64
272,1.07
273,1.68
274,0.33
275,0.15
276,-0.43
277,0.49
278,0.93
279,0.49
280,-0.03
281,-0.43
282,0.79
283,1.07
284,0.93
285,0.33
286,1.45
287,2.21
288,2.50
289,1.33
290,0.33
291,-0.66
292,-0.92
293,-0.22
294,-0.22
295,0.49
296,-0.03
297,1.07
298,1.33
299,2.50
300,2.01
301,1.33
302,-0.43
303,-0.66
304,-0.44
305,-0.22
306,-0.66
307,-0.66
308,-1.54
309,0.33
310,0.93
311,1.90
312,1.33
313,1.33
314,0.49
315,-0.43
316,-1.20
317,-1.53
318,-0.43
319,0.33
320,1.07
321,1.33
322,1.07
323,0.93
324,0.64
325,-0.03
326,-0.92
327,-2.44
328,-0.92
329,-0.44
330,0.93
331,1.20
332,1.33
333,0.79
334,0.64
335,0.33
336,0.64
337,0.33
338,0.15
339,-0.43
340,-0.92
341,0.15
342,-0.44
343,0.33
344,0.33
345,2.01
346,1.79
347,1.33
348,-0.66
349,-0.92
350,-1.54
351,-1.20
352,-0.92
353,-0.92
354,-0.66
355,-0.66
356,-0.22
357,-0.92
358,-0.43
359,-0.92
360,-0.22
361,-0.92
362,-0.03
363,-0.66
364,-0.43
365,-1.20
366,0.15
367,0.49
368,0.64
369,1.20
370,1.33
371,1.68
372,0.93
373,0.64
374,-0.03
375,-0.43
376,-1.20
377,-0.43
378,-0.22
379,0.49
380,-0.22
381,0.33
382,0.15
383,0.64
384,-0.44
385,-1.54
386,-1.93
387,-1.93
388,-0.66
389,-0.03
390,0.93
391,0.49
392,0.15
393,0.79
394,0.79
395,0.64
396,-0.92
397,-0.92
398,-1.93
399,-3.22
400,-2.44
401,-1.53
402,-0.43
403,0.15
404,0.64
405,0.33
406,0.15
407,0.15
408,1.20
409,1.33
410,0.64
411,-0.66
412,-1.93
413,-1.54
414,-1.21
415,-0.03
416,0.33
417,0.49
418,0.49
419,0.15
420,0.33
421,-0.03
422,-0.03
423,-0.22
424,-0.03
425,-0.22
426,-0.43
427,0.49
428,1.79
429,1.90
430,1.57
431,0.79
432,1.07
433,0.79
434,0.15
435,-0.92
