sl.no.,rainfall,spi_6
1,31.64,-0.92
2,36.91,0.10
3,26.37,0.22
4,36.91,1.02
5,36.91,1.70
6,21.09,1.61
7,5.27,1.12
8,0.00,0.35
9,5.27,-0.17
10,21.09,-0.60
11,10.55,-1.46
12,0.00,-2.35
13,0.00,-2.62
14,26.37,-1.46
15,5.27,-1.46
16,5.27,-2.10
17,21.09,-1.66
18,31.64,-0.60
19,21.09,-0.03
20,15.82,-0.31
21,21.09,0.10
22,47.46,1.02
23,15.82,0.91
24,0.00,0.22
25,21.09,0.22
26,31.64,0.58
27,36.91,0.91
28,21.09,0.35
29,36.91,0.80
30,0.00,0.80
31,5.27,0.46
32,26.37,0.35
33,21.09,-0.03
34,5.27,-0.45
35,15.82,-1.09
36,21.09,-0.45
37,10.55,-0.31
38,10.55,-0.76
39,21.09,-0.76
40,47.46,0.35
41,42.19,0.91
42,21.09,0.91
43,31.64,1.32
44,5.27,1.22
45,10.55,1.02
46,5.27,0.10
47,5.27,-0.92
48,5.27,-1.46
49,10.55,-2.35
50,21.09,-1.66
51,26.37,-1.09
52,36.91,-0.17
53,26.37,0.35
54,21.09,0.69
55,0.00,0.46
56,15.82,0.35
57,5.27,-0.17
58,31.64,-0.31
59,0.00,-1.09
60,10.55,-1.46
61,10.55,-1.09
62,21.09,-0.92
63,21.09,-0.45
64,5.27,-1.27
65,52.73,0.22
66,10.55,0.22
67,0.00,-0.03
68,42.19,0.46
69,5.27,0.10
70,26.37,0.58
71,21.09,-0.17
72,10.55,-0.17
73,5.27,-0.03
74,52.73,0.22
75,21.09,0.58
76,26.37,0.58
77,15.82,0.46
78,36.91,1.02
79,21.09,1.32
80,0.00,0.22
81,31.64,0.46
82,0.00,-0.17
83,10.55,-0.31
84,10.55,-1.09
85,15.82,-1.27
86,15.82,-0.76
87,5.27,-1.65
88,10.55,-1.27
89,0.00,-1.65
90,10.55,-1.65
91,21.09,-1.46
92,10.55,-1.65
93,15.82,-1.27
94,15.82,-1.09
95,21.09,-0.45
96,5.27,-0.60
97,10.55,-0.92
98,26.37,-0.45
99,15.82,-0.45
100,26.37,-0.17
101,10.55,-0.45
102,42.19,0.47
103,15.82,0.58
104,15.82,0.35
105,10.55,0.22
106,31.64,0.35
107,36.91,0.91
108,5.27,0.10
109,0.00,-0.31
110,5.27,-0.60
111,21.09,-0.31
112,63.28,0.46
113,58.01,0.91
114,21.09,1.22
115,15.82,1.51
116,36.91,2.05
117,31.64,2.22
118,21.09,1.51
119,5.27,0.46
120,26.37,0.58
121,5.27,0.35
122,26.37,0.10
123,5.27,-0.60
124,0.00,-1.27
125,10.55,-1.09
126,10.55,-1.65
127,31.64,-0.76
128,15.82,-1.09
129,10.55,-0.92
130,21.09,-0.31
131,10.55,-0.31
132,21.09,-0.03
133,31.64,-0.03
134,10.55,-0.17
135,10.55,-0.17
136,52.73,0.58
137,10.55,0.58
138,15.82,0.46
139,10.55,-0.03
140,10.55,-0.03
141,31.64,0.46
142,15.82,-0.45
143,21.09,-0.17
