year,month,rainfall
1981,1,26.37
1981,2,0
1981,3,42.19
1981,4,58.01
1981,5,116.02
1981,6,232.03
1981,7,237.3
1981,8,321.68
1981,9,268.95
1981,10,42.19
1981,11,5.27
1981,12,0
1982,1,10.55
1982,2,31.64
1982,3,26.37
1982,4,89.65
1982,5,89.65
1982,6,247.85
1982,7,384.96
1982,8,411.33
1982,9,158.2
1982,10,58.01
1982,11,15.82
1982,12,0
1983,1,0
1983,2,10.55
1983,3,5.27
1983,4,10.55
1983,5,42.19
1983,6,216.21
1983,7,253.12
1983,8,268.95
1983,9,179.3
1983,10,126.56
1983,11,0
1983,12,10.55
1984,1,5.27
1984,2,15.82
1984,3,0
1984,4,42.19
1984,5,47.46
1984,6,216.21
1984,7,369.14
1984,8,263.67
1984,9,116.02
1984,10,36.91
1984,11,0
1984,12,0
1985,1,68.55
1985,2,5.27
1985,3,0
1985,4,0
1985,5,10.55
1985,6,100.2
1985,7,290.04
1985,8,305.86
1985,9,210.94
1985,10,137.11
1985,11,5.27
1985,12,0
1986,1,26.37
1986,2,21.09
1986,3,0
1986,4,26.37
1986,5,10.55
1986,6,263.67
1986,7,300.59
1986,8,353.32
1986,9,126.56
1986,10,58.01
1986,11,79.1
1986,12,0
1987,1,5.27
1987,2,0
1987,3,5.27
1987,4,5.27
1987,5,36.91
1987,6,84.38
1987,7,205.66
1987,8,226.76
1987,9,100.2
1987,10,63.28
1987,11,63.28
1987,12,5.27
1988,1,0
1988,2,15.82
1988,3,5.27
1988,4,21.09
1988,5,52.73
1988,6,147.66
1988,7,226.76
1988,8,232.03
1988,9,152.93
1988,10,31.64
1988,11,5.27
1988,12,0
1989,1,0
1989,2,0
1989,3,15.82
1989,4,5.27
1989,5,36.91
1989,6,221.48
1989,7,268.95
1989,8,337.5
1989,9,216.21
1989,10,10.55
1989,11,0
1989,12,5.27
1990,1,0
1990,2,42.19
1990,3,31.64
1990,4,21.09
1990,5,226.76
1990,6,232.03
1990,7,274.22
1990,8,400.78
1990,9,221.48
1990,10,195.12
1990,11,47.46
1990,12,0
1991,1,0
1991,2,0
1991,3,5.27
1991,4,0
1991,5,0
1991,6,147.66
1991,7,337.5
1991,8,284.77
1991,9,174.02
1991,10,58.01
1991,11,52.73
1991,12,5.27
1992,1,5.27
1992,2,0
1992,3,0
1992,4,10.55
1992,5,63.28
1992,6,142.38
1992,7,311.13
1992,8,358.59
1992,9,131.84
1992,10,31.64
1992,11,26.37
1992,12,0
1993,1,0
1993,2,5.27
1993,3,5.27
