year,month,rainfall
1981,1,42.19
1981,2,5.27
1981,3,73.83
1981,4,47.46
1981,5,110.74
1981,6,200.39
1981,7,295.31
1981,8,332.23
1981,9,268.95
1981,10,31.64
1981,11,0
1981,12,5.27
1982,1,15.82
1982,2,26.37
1982,3,26.37
1982,4,42.19
1982,5,79.1
1982,6,216.21
1982,7,390.23
1982,8,516.8
1982,9,152.93
1982,10,42.19
1982,11,10.55
1982,12,0
1983,1,0
1983,2,21.09
1983,3,0
1983,4,21.09
1983,5,21.09
1983,6,200.39
1983,7,247.85
1983,8,295.31
1983,9,237.3
1983,10,100.2
1983,11,0
1983,12,15.82
1984,1,10.55
1984,2,10.55
1984,3,0
1984,4,10.55
1984,5,26.37
1984,6,263.67
1984,7,506.25
1984,8,416.6
1984,9,147.66
1984,10,58.01
1984,11,0
1984,12,0
1985,1,58.01
1985,2,10.55
1985,3,0
1985,4,0
1985,5,31.64
1985,6,126.56
1985,7,316.41
1985,8,358.59
1985,9,210.94
1985,10,126.56
1985,11,0
1985,12,0
1986,1,31.64
1986,2,26.37
1986,3,10.55
1986,4,36.91
1986,5,5.27
1986,6,274.22
1986,7,379.69
1986,8,311.13
1986,9,147.66
1986,10,79.1
1986,11,73.83
1986,12,10.55
1987,1,5.27
1987,2,0
1987,3,15.82
1987,4,5.27
1987,5,31.64
1987,6,73.83
1987,7,268.95
1987,8,200.39
1987,9,116.02
1987,10,52.73
1987,11,52.73
1987,12,5.27
1988,1,0
1988,2,21.09
1988,3,5.27
1988,4,26.37
1988,5,63.28
1988,6,205.66
1988,7,268.95
1988,8,316.41
1988,9,195.12
1988,10,31.64
1988,11,0
1988,12,0
1989,1,0
1989,2,0
1989,3,5.27
1989,4,0
1989,5,42.19
1989,6,242.58
1989,7,311.13
1989,8,337.5
1989,9,195.12
1989,10,15.82
1989,11,0
1989,12,0
1990,1,0
1990,2,31.64
1990,3,36.91
1990,4,52.73
1990,5,163.48
1990,6,195.12
1990,7,326.95
1990,8,348.05
1990,9,226.76
1990,10,168.75
1990,11,73.83
1990,12,0
1991,1,0
1991,2,0
1991,3,0
1991,4,0
1991,5,0
1991,6,142.38
1991,7,374.41
1991,8,369.14
1991,9,189.84
1991,10,63.28
1991,11,47.46
1991,12,15.82
1992,1,10.55
1992,2,10.55
1992,3,0
1992,4,15.82
1992,5,73.83
1992,6,142.38
1992,7,363.87
1992,8,358.59
1992,9,189.84
1992,10,36.91
1992,11,10.55
1992,12,0
1993,1,0
1993,2,5.27
1993,3,0
1993,4,31.64
1993,5,63.28
1993,6,232.03
1993,7,395.51
1993,8,342.77
1993,9,237.3
1993,10,100.2
1993,11,5.27
1993,12,0
1994,1,5.27
1994,2,0
1994,3,0
1994,4,10.55
1994,5,21.09
1994,6,268.95
1994,7,622.27
1994,8,437.7
1994,9,258.4
1994,10,110.74
1994,11,15.82
1994,12,0
1995,1,42.19
1995,2,21.09
1995,3,21.09
1995,4,10.55
1995,5,152.93
1995,6,94.92
1995,7,369.14
1995,8,311.13
1995,9,242.58
1995,10,168.75
1995,11,73.83
1995,12,0
1996,1,15.82
1996,2,5.27
1996,3,10.55
1996,4,5.27
1996,5,21.09
1996,6,179.3
1996,7,400.78
1996,8,316.41
1996,9,116.02
1996,10,52.73
1996,11,5.27
1996,12,0
1997,1,31.64
1997,2,0
1997,3,21.09
1997,4,73.83
1997,5,10.55
1997,6,126.56
1997,7,332.23
1997,8,490.43
1997,9,163.48
1997,10,15.82
1997,11,31.64
1997,12,42.19
1998,1,42.19
1998,2,10.55
1998,3,26.37
1998,4,10.55
1998,5,31.64
1998,6,226.76
1998,7,284.77
1998,8,253.12
1998,9,205.66
1998,10,174.02
1998,11,68.55
1998,12,0
1999,1,0
1999,2,0
1999,3,0
1999,4,0
1999,5,89.65
1999,6,210.94
1999,7,247.85
1999,8,432.42
1999,9,226.76
1999,10,68.55
1999,11,0
1999,12,0
2000,1,5.27
2000,2,21.09
2000,3,0
2000,4,15.82
2000,5,47.46
2000,6,226.76
2000,7,237.3
2000,8,200.39
2000,9,131.84
2000,10,21.09
2000,11,0
2000,12,0
2001,1,0
2001,2,0
2001,3,42.19
2001,4,26.37
2001,5,68.55
2001,6,232.03
2001,7,569.53
2001,8,337.5
2001,9,158.2
2001,10,58.01
2001,11,26.37
2001,12,0
2002,1,36.91
2002,2,0
2002,3,15.82
2002,4,10.55
2002,5,52.73
2002,6,131.84
2002,7,232.03
2002,8,284.77
2002,9,147.66
2002,10,42.19
2002,11,5.27
2002,12,0
2003,1,0
2003,2,10.55
2003,3,26.37
2003,4,0
2003,5,26.37
2003,6,284.77
2003,7,379.69
2003,8,406.05
2003,9,284.77
2003,10,253.12
2003,11,0
2003,12,36.91
2004,1,26.37
2004,2,0
2004,3,10.55
2004,4,36.91
