year,month,rainfall
1981,1,0
1981,2,21.09
1981,3,0
1981,4,0
1981,5,26.37
1981,6,31.64
1981,7,36.91
1981,8,26.37
1981,9,36.91
1981,10,36.91
1981,11,21.09
1981,12,5.27
1982,1,0
1982,2,5.27
1982,3,21.09
1982,4,10.55
1982,5,0
1982,6,0
1982,7,26.37
1982,8,5.27
1982,9,5.27
1982,10,21.09
1982,11,31.64
1982,12,21.09
1983,1,15.82
1983,2,21.09
1983,3,47.46
1983,4,15.82
1983,5,0
1983,6,21.09
1983,7,31.64
1983,8,36.91
1983,9,21.09
1983,10,36.91
1983,11,0
1983,12,5.27
1984,1,26.37
1984,2,21.09
1984,3,5.27
1984,4,15.82
1984,5,21.09
1984,6,10.55
1984,7,10.55
1984,8,21.09
1984,9,47.46
1984,10,42.19
1984,11,21.09
1984,12,31.64
1985,1,5.27
1985,2,10.55
1985,3,5.27
1985,4,5.27
1985,5,5.27
1985,6,10.55
1985,7,21.09
1985,8,26.37
1985,9,36.91
1985,10,26.37
1985,11,21.09
1985,12,0
1986,1,15.82
1986,2,5.27
1986,3,31.64
1986,4,0
1986,5,10.55
1986,6,10.55
1986,7,21.09
1986,8,21.09
1986,9,5.27
1986,10,52.73
1986,11,10.55
1986,12,0
1987,1,42.19
1987,2,5.27
1987,3,26.37
1987,4,21.09
1987,5,10.55
1987,6,5.27
1987,7,52.73
1987,8,21.09
1987,9,26.37
1987,10,15.82
1987,11,36.91
1987,12,21.09
1988,1,0
1988,2,31.64
1988,3,0
1988,4,10.55
1988,5,10.55
1988,6,15.82
1988,7,15.82
1988,8,5.27
1988,9,10.55
1988,10,0
1988,11,10.55
1988,12,21.09
1989,1,10.55
1989,2,15.82
1989,3,15.82
1989,4,21.09
1989,5,5.27
1989,6,10.55
1989,7,26.37
1989,8,15.82
1989,9,26.37
1989,10,10.55
1989,11,42.19
1989,12,15.82
1990,1,15.82
1990,2,10.55
1990,3,31.64
1990,4,36.91
1990,5,5.27
1990,6,0
1990,7,5.27
1990,8,21.09
1990,9,63.28
1990,10,58.01
1990,11,21.09
1990,12,15.82
1991,1,36.91
1991,2,31.64
1991,3,21.09
1991,4,5.27
1991,5,26.37
1991,6,5.27
1991,7,26.37
1991,8,5.27
1991,9,0
1991,10,10.55
1991,11,10.55
1991,12,31.64
1992,1,15.82
1992,2,10.55
1992,3,21.09
1992,4,10.55
1992,5,21.09
1992,6,31.64
1992,7,10.55
1992,8,10.55
1992,9,52.73
1992,10,10.55
1992,11,15.82
1992,12,10.55
1993,1,10.55
1993,2,31.64
1993,3,15.82
1993,4,21.09
1993,5,5.27
1993,6,10.55
1993,7,5.27
1993,8,5.27
1993,9,15.82
1993,10,15.82
1993,11,26.37
1993,12,26.37
1994,1,0
1994,2,5.27
1994,3,36.91
1994,4,10.55
1994,5,5.27
1994,6,10.55
1994,7,42.19
1994,8,52.73
1994,9,42.19
1994,10,21.09
1994,11,10.55
1994,12,26.37
1995,1,0
1995,2,10.55
1995,3,26.37
1995,4,26.37
1995,5,15.82
1995,6,5.27
1995,7,36.91
1995,8,15.82
1995,9,58.01
1995,10,5.27
1995,11,10.55
1995,12,0
1996,1,42.19
1996,2,26.37
1996,3,36.91
1996,4,21.09
1996,5,0
1996,6,0
1996,7,21.09
1996,8,21.09
1996,9,42.19
1996,10,26.37
1996,11,31.64
1996,12,21.09
1997,1,10.55
1997,2,0
1997,3,10.55
1997,4,10.55
1997,5,5.27
1997,6,0
1997,7,31.64
1997,8,36.91
1997,9,31.64
1997,10,5.27
1997,11,26.37
1997,12,15.82
1998,1,5.27
1998,2,0
1998,3,21.09
1998,4,5.27
1998,5,5.27
1998,6,10.55
1998,7,10.55
1998,8,52.73
1998,9,0
1998,10,47.46
1998,11,36.91
1998,12,5.27
1999,1,15.82
1999,2,10.55
1999,3,5.27
1999,4,0
1999,5,0
1999,6,31.64
1999,7,42.19
1999,8,21.09
1999,9,36.91
1999,10,15.82
1999,11,42.19
1999,12,15.82
2000,1,15.82
2000,2,5.27
2000,3,15.82
2000,4,15.82
2000,5,5.27
2000,6,10.55
2000,7,21.09
2000,8,10.55
2000,9,52.73
2000,10,105.47
2000,11,58.01
2000,12,15.82
2001,1,31.64
2001,2,21.09
2001,3,5.27
2001,4,15.82
2001,5,0
2001,6,5.27
2001,7,21.09
2001,8,31.64
2001,9,52.73
2001,10,21.09
2001,11,21.09
2001,12,10.55
2002,1,10.55
2002,2,15.82
2002,3,0
2002,4,26.37
2002,5,5.27
2002,6,5.27
2002,7,15.82
2002,8,26.37
2002,9,0
2002,10,15.82
2002,11,26.37
2002,12,21.09
2003,1,0
2003,2,31.64
2003,3,0
2003,4,21.09
2003,5,5.27
2003,6,10.55
2003,7,5.27
2003,8,15.82
2003,9,52.73
2003,10,21.09
2003,11,42.19
2003,12,0
2004,1,15.82
2004,2,26.37
2004,3,26.37
2004,4,31.64
2004,5,10.55
2004,6,10.55
2004,7,21.09
2004,8,47.46
2004,9,21.09
2004,10,15.82
2004,11,26.37
2004,12,63.28
2005,1,52.73
2005,2,42.19
2005,3,5.27
2005,4,15.82
2005,5,15.82
2005,6,0
2005,7,31.64
2005,8,15.82
2005,9,21.09
2005,10,15.82
2005,11,52.73
2005,12,31.64
2006,1,73.83
2006,2,26.37
2006,3,0
2006,4,15.82
2006,5,21.09
2006,6,5.27
2006,7,21.09
2006,8,10.55
2006,9,5.27
2006,10,5.27
2006,11,52.73
2006,12,26.37
2007,1,47.46
2007,2,26.37
2007,3,26.37
2007,4,15.82
2007,5,0
2007,6,10.55
2007,7,10.55
2007,8,21.09
2007,9,31.64
2007,10,36.91
2007,11,31.64
2007,12,21.09
2008,1,31.64
2008,2,21.09
2008,3,0
2008,4,10.55
2008,5,0
2008,6,21.09
2008,7,21.09
2008,8,42.19
2008,9,31.64
2008,10,26.37
2008,11,21.09
2008,12,26.37
2009,1,15.82
2009,2,31.64
2009,3,15.82
2009,4,10.55
2009,5,15.82
2009,6,5.27
2009,7,36.91
2009,8,0
2009,9,26.37
2009,10,36.91
2009,11,68.55
2009,12,15.82
2010,1,15.82
2010,2,5.27
2010,3,10.55
2010,4,5.27
2010,5,10.55
2010,6,15.82
2010,7,5.27
2010,8,15.82
2010,9,15.82
2010,10,15.82
2010,11,0
2010,12,26.37
2011,1,5.27
2011,2,15.82
2011,3,10.55
2011,4,26.37
2011,5,0
2011,6,15.82
2011,7,10.55
2011,8,31.64
2011,9,26.37
2011,10,15.82
2011,11,52.73
2011,12,31.64
2012,1,31.64
2012,2,21.09
2012,3,21.09
2012,4,10.55
2012,5,10.55
2012,6,5.27
2012,7,26.37
2012,8,15.82
2012,9,26.37
2012,10,5.27
2012,11,31.64
2012,12,21.09
2013,1,21.09
2013,2,0
2013,3,0
2013,4,15.82
2013,5,0
2013,6,21.09
2013,7,31.64
2013,8,31.64
2013,9,5.27
2013,10,21.09
2013,11,52.73
2013,12,5.27
2014,1,15.82
2014,2,10.55
2014,3,5.27
2014,4,0
2014,5,0
2014,6,10.55
2014,7,10.55
2014,8,21.09
2014,9,26.37
2014,10,26.37
2014,11,10.55
2014,12,21.09
2015,1,26.37
2015,2,47.46
2015,3,26.37
2015,4,0
2015,5,10.55
2015,6,5.27
2015,7,5.27
2015,8,15.82
2015,9,31.64
2015,10,15.82
2015,11,21.09
2015,12,31.64
2016,1,5.27
2016,2,26.37
2016,3,21.09
2016,4,5.27
2016,5,21.09
2016,6,26.37
2016,7,0
2016,8,15.82
2016,9,52.73
2016,10,52.73
2016,11,21.09
2016,12,36.91
2017,1,21.09
2017,2,31.64
2017,3,26.37
2017,4,0
2017,5,5.27
2017,6,5.27
2017,7,36.91
2017,8,31.64
2017,9,36.91
2017,10,15.82
2017,11,0
2017,12,15.82
2018,1,31.64
2018,2,26.37
2018,3,10.55
2018,4,5.27
2018,5,15.82
2018,6,36.91
2018,7,26.37
2018,8,15.82
2018,9,15.82
2018,10,5.27
2018,11,21.09
2018,12,26.37
2019,1,31.64
2019,2,15.82
2019,3,10.55
2019,4,15.82
2019,5,5.27
2019,6,10.55
2019,7,21.09
2019,8,10.55
2019,9,26.37
2019,10,5.27
2019,11,10.55
2019,12,5.27
2020,1,5.27
2020,2,26.37
2020,3,15.82
2020,4,21.09
2020,5,21.09
2020,6,26.37
2020,7,21.09
2020,8,26.37
2020,9,36.91
2020,10,31.64
2020,11,36.91
2020,12,5.27
2021,1,15.82
2021,2,21.09
2021,3,26.37
2021,4,31.44
2021,5,14.94
2021,6,28.99
2021,7,31.26
2021,8,33.9
2021,9,54.05
2021,10,33.42
2021,11,19.74
2021,12,27.38
