year,month,rainfall
1981,1,36.91
1981,2,5.27
1981,3,26.37
1981,4,26.37
1981,5,116.02
1981,6,342.77
1981,7,279.49
1981,8,363.87
1981,9,290.04
1981,10,26.37
1981,11,10.55
1981,12,0
1982,1,31.64
1982,2,84.38
1982,3,26.37
1982,4,52.73
1982,5,126.56
1982,6,205.66
1982,7,406.05
1982,8,522.07
1982,9,100.2
1982,10,68.55
1982,11,15.82
1982,12,0
1983,1,0
1983,2,5.27
1983,3,0
1983,4,10.55
1983,5,42.19
1983,6,205.66
1983,7,205.66
1983,8,305.86
1983,9,189.84
1983,10,100.2
1983,11,0
1983,12,10.55
1984,1,15.82
1984,2,10.55
1984,3,0
1984,4,21.09
1984,5,31.64
1984,6,205.66
1984,7,421.88
1984,8,279.49
1984,9,84.38
1984,10,15.82
1984,11,0
1984,12,0
1985,1,47.46
1985,2,5.27
1985,3,0
1985,4,5.27
1985,5,5.27
1985,6,94.92
1985,7,321.68
1985,8,305.86
1985,9,247.85
1985,10,105.47
1985,11,0
1985,12,0
1986,1,26.37
1986,2,26.37
1986,3,5.27
1986,4,26.37
1986,5,21.09
1986,6,379.69
1986,7,274.22
1986,8,384.96
1986,9,152.93
1986,10,26.37
1986,11,58.01
1986,12,5.27
1987,1,5.27
1987,2,0
1987,3,10.55
1987,4,5.27
1987,5,26.37
1987,6,94.92
1987,7,284.77
1987,8,189.84
1987,9,110.74
1987,10,89.65
1987,11,31.64
1987,12,10.55
1988,1,0
1988,2,21.09
1988,3,5.27
1988,4,5.27
1988,5,21.09
1988,6,168.75
1988,7,158.2
1988,8,226.76
1988,9,126.56
1988,10,5.27
1988,11,0
1988,12,0
1989,1,0
1989,2,0
1989,3,21.09
1989,4,0
1989,5,10.55
1989,6,321.68
1989,7,279.49
1989,8,374.41
1989,9,205.66
1989,10,5.27
1989,11,0
1989,12,5.27
1990,1,0
1990,2,31.64
1990,3,21.09
1990,4,21.09
1990,5,174.02
1990,6,268.95
1990,7,263.67
1990,8,374.41
1990,9,268.95
1990,10,210.94
1990,11,10.55
1990,12,0
1991,1,0
1991,2,0
1991,3,5.27
1991,4,0
1991,5,0
1991,6,179.3
1991,7,305.86
1991,8,353.32
1991,9,126.56
1991,10,31.64
